x p1 p2 p3
1.019404895418643875e+00 5.204242414059613298e-01 1.333061691889854961e-01 3.713417862145291237e-01
1.079015114389973773e+00 1.984379925810007661e+00 5.083100257707582337e-01 1.415935070563206555e+00
1.138469858605252405e+00 3.283261367048629253e+00 8.410709061741007408e-01 2.342764651768801443e+00
1.197845839226452158e+00 4.455837133852724286e+00 1.141538953426684211e+00 3.179504528969805843e+00
1.256958184272398693e+00 5.522816690387723604e+00 1.415031775762709776e+00 3.940939064589644936e+00
