x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;655;1.04692;-20.8414;20.8677;-0.016612;0.0212984;-0.000295116
678;655;0.657871;-21.2532;21.2634;-0.00993114;0.0267227;0.00724259
701;655;0.585277;-21.3208;21.3288;-0.00208698;0.0227933;0.0114775
724;655;0.561764;-21.2299;21.2374;-0.000537981;0.0146756;0.0113699
747;655;0.560453;-21.2402;21.2476;0.000326685;0.016529;0.00938101
770;655;0.576734;-21.1586;21.1664;-0.00158812;0.013524;0.00717241
793;655;0.487339;-21.2253;21.2309;-0.00186285;0.015347;0.00536276
816;655;0.490546;-21.3541;21.3598;0.000184019;0.0204848;0.00592807
839;655;0.49562;-21.355;21.3608;-0.000242196;0.0214238;0.00609332
862;655;0.479387;-21.3148;21.3202;0.000730111;0.0192323;0.00686524
885;655;0.529104;-21.2649;21.2715;-0.00066676;0.0151503;0.00513192
908;655;0.448665;-21.2537;21.2585;-0.00146155;0.0133963;0.0040528
931;655;0.46174;-21.3528;21.3578;0.00128845;0.0179373;0.00301
954;655;0.507854;-21.3156;21.3217;-0.00103832;0.0150174;0.00324822
977;655;0.413918;-21.2965;21.3005;-0.00116399;0.0139605;0.0028654
1000;655;0.454279;-21.3122;21.3171;0.00089258;0.0152993;0.00274123
1023;655;0.454957;-21.3081;21.313;-0.000821078;0.0145851;0.00193523
1046;655;0.416492;-21.3003;21.3043;-0.00209393;0.0135902;0.00306424
1069;655;0.358433;-21.2115;21.2145;0.00137538;0.010733;0.00240806
1092;655;0.479712;-21.3206;21.326;0.0017372;0.0150739;-0.000345708
1115;655;0.438253;-21.256;21.2605;-0.000584564;0.0111555;0.00151894
1138;655;0.452754;-21.2461;21.2509;-0.000655305;0.00973868;0.000848248
1161;655;0.408069;-21.203;21.2069;-0.00205661;0.00892445;0.000363918
1184;655;0.358048;-21.2279;21.2309;-0.000329836;0.0100929;-0.000493991
1207;655;0.392758;-21.315;21.3186;0.000136704;0.0118454;3.81293e-05
1230;655;0.364332;-21.2078;21.2109;0.00227699;0.00887439;0.000905078
1253;655;0.497367;-21.2793;21.2851;0.00238758;0.0101157;-0.00456323
1276;655;0.473697;-21.3831;21.3884;-0.000521791;0.012293;-0.00447526
1299;655;0.473145;-21.4192;21.4244;-0.00167639;0.0147129;-0.00241716
