x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;655;4.23752;-105.895;105.98;-0.0594409;0.0967035;0.0123403
678;655;2.79279;-107.113;107.149;-0.0374853;0.12956;0.0495838
701;655;2.46324;-107.099;107.127;-0.0116114;0.0994061;0.0558957
724;655;2.25545;-107.192;107.216;-0.00876578;0.0872664;0.0495345
747;655;2.05809;-107.211;107.231;-0.00450869;0.0832994;0.0460993
770;655;2.04744;-107.077;107.096;0.00130172;0.0816174;0.036692
793;655;2.11776;-107.338;107.359;0.000111288;0.0898221;0.0293943
816;655;2.0517;-107.357;107.376;-0.00298151;0.0911262;0.0308213
839;655;1.98037;-107.284;107.302;-0.00499479;0.088037;0.0256535
862;655;1.82137;-107.353;107.368;-0.00153739;0.0896282;0.0296489
885;655;1.90926;-107.109;107.126;-0.00101036;0.0692716;0.0246084
908;655;1.77419;-107.103;107.118;-0.002204;0.0678637;0.0187201
931;655;1.80748;-107.272;107.287;-0.00175059;0.0716894;0.0131445
954;655;1.69317;-107.3;107.313;-0.0050319;0.0673985;0.0141546
977;655;1.57531;-107.376;107.387;-0.0012059;0.0729821;0.0129301
1000;655;1.63764;-107.347;107.359;0.00149085;0.0712521;0.010685
1023;655;1.64373;-107.475;107.488;-0.0021512;0.0749125;0.00557059
1046;655;1.53793;-107.59;107.601;-0.0028253;0.0810783;0.00527038
1069;655;1.51348;-107.572;107.582;0.00190505;0.0771113;0.00550371
1092;655;1.62538;-107.492;107.505;0.000921757;0.0747392;0.00374519
1115;655;1.55559;-107.413;107.425;-0.00167431;0.0672368;0.00176487
1138;655;1.54829;-107.469;107.48;-0.000718956;0.0675016;0.00122581
1161;655;1.52245;-107.34;107.351;-0.00426964;0.0670478;-0.000908414
1184;655;1.35142;-107.405;107.413;-0.00195261;0.0706032;-0.00244839
1207;655;1.43234;-107.475;107.485;0.00208529;0.071525;-0.00509826
1230;655;1.44724;-107.416;107.425;0.00219183;0.0666464;-0.00615547
1253;655;1.53298;-107.557;107.568;0.00194042;0.0644615;-0.0118813
1276;655;1.53534;-107.73;107.741;-0.000109088;0.0668071;-0.0148171
1299;655;1.52715;-107.831;107.841;-0.00231337;0.0694565;-0.0136828
1322;655;1.42874;-107.806;107.816;-0.000849774;0.0643244;-0.0129329
1345;655;1.48803;-107.859;107.869;0.00319818;0.0612618;-0.0153168
1368;655;1.57557;-107.876;107.888;0.000826794;0.065242;-0.0217427
1391;655;1.52597;-107.946;107.957;-0.000369757;0.0624059;-0.0217582
1414;655;1.55811;-108.079;108.09;-0.000375211;0.0678979;-0.0232449
1437;655;1.50867;-108.004;108.015;-0.0105138;0.0648739;-0.019385
1460;655;1.07079;-107.76;107.765;-5.81712e-05;0.0558551;-0.0178984
1483;655;1.50592;-107.92;107.93;0.00784976;0.0579855;-0.0327994
1506;655;1.42878;-108.155;108.165;-0.0036722;0.0719742;-0.0308972
1529;655;1.33651;-108.046;108.054;0.00428096;0.0655082;-0.0322337
1552;655;1.62505;-108.008;108.02;0.00375997;0.0678664;-0.0440951
1575;655;1.50914;-108.017;108.028;-0.00520282;0.085068;-0.0485568
1598;655;1.38482;-107.85;107.859;-0.0186694;0.0982903;-0.0489232
1621;655;0.634163;-107.167;107.169;-0.0316636;0.143387;-0.0535166
655;678;6.25777;-103.851;104.039;-0.0166571;0.121633;0.0332537
678;678;5.86244;-104.487;104.652;-0.0243266;0.138706;0.0463191
701;678;5.10862;-105.055;105.179;-0.0265537;0.113687;0.0437786
724;678;4.61546;-105.378;105.479;-0.0210991;0.103911;0.0440198
747;678;4.12582;-105.455;105.536;-0.0175462;0.103869;0.0456178
770;678;3.8011;-105.332;105.401;-0.0108999;0.0954885;0.0396392
793;678;3.62163;-105.402;105.465;-0.00772128;0.0971219;0.0329443
816;678;3.44451;-105.387;105.444;-0.00989775;0.0984436;0.0314197
839;678;3.16405;-105.369;105.417;-0.00762241;0.0961486;0.0284583
862;678;3.09252;-105.408;105.454;-0.00551185;0.0950351;0.0253296
885;678;2.90928;-105.588;105.628;-0.00796823;0.0842314;0.0198935
908;678;2.72407;-105.61;105.645;-0.0084525;0.0831595;0.0196924
931;678;2.5187;-105.689;105.719;-0.00694508;0.0846591;0.0140146
954;678;2.40304;-105.809;105.837;-0.00699439;0.0846435;0.0148836
977;678;2.19576;-105.762;105.785;-0.00480661;0.0876404;0.0145639
1000;678;2.18139;-105.768;105.791;-0.00356621;0.0850112;0.011081
1023;678;2.03139;-105.815;105.835;-0.00753867;0.0871652;0.00822016
1046;678;1.83328;-105.797;105.813;-0.00688196;0.0885534;0.00685918
1069;678;1.7137;-105.863;105.876;-0.00261813;0.0865164;0.00450717
1092;678;1.71268;-105.833;105.847;-0.00194309;0.0841481;0.0028333
1115;678;1.6242;-105.916;105.928;-0.00318991;0.0810631;9.73129e-05
1138;678;1.56552;-105.965;105.977;-0.00385825;0.0824095;-0.000318873
1161;678;1.44632;-105.846;105.856;-0.00551405;0.0784183;-0.000956784
1184;678;1.31098;-105.834;105.843;-0.00525109;0.0819515;-0.00369858
1207;678;1.20412;-105.886;105.893;-0.00223069;0.0835938;-0.00698083
1230;678;1.20815;-105.932;105.939;-0.00106973;0.0786425;-0.01032
1253;678;1.15428;-106.122;106.128;-0.00450585;0.0782285;-0.0151693
1276;678;0.999322;-106.248;106.252;-0.00470478;0.0800513;-0.0159014
1299;678;0.937032;-106.292;106.296;-0.0032744;0.0799227;-0.0156606
1322;678;0.848265;-106.379;106.382;-0.00247573;0.0782348;-0.0182465
1345;678;0.822539;-106.499;106.503;-0.00489217;0.0786987;-0.0198824
1368;678;0.622631;-106.44;106.442;-0.00412954;0.0787017;-0.022845
1391;678;0.632133;-106.569;106.571;-0.00223675;0.0764261;-0.023019
1414;678;0.519384;-106.589;106.59;-0.00424932;0.0809835;-0.0240236
1437;678;0.436246;-106.581;106.582;-0.00685449;0.0799422;-0.027383
1460;678;0.202944;-106.525;106.525;-0.00477896;0.0742151;-0.0282218
1483;678;0.215823;-106.657;106.657;-0.00288962;0.0760042;-0.0347779
1506;678;0.069778;-106.593;106.593;-0.00938392;0.0855753;-0.0353655
1529;678;-0.217887;-106.635;106.635;-0.0103946;0.0834146;-0.0398529
1552;678;-0.410888;-106.581;106.582;-0.0130039;0.088016;-0.0442941
1575;678;-0.821665;-106.247;106.25;-0.0207276;0.0999296;-0.0460434
1598;678;-1.3805;-105.843;105.852;-0.0392051;0.120775;-0.0399896
1621;678;-2.70523;-104.291;104.326;-0.0536618;0.16109;-0.0270155
655;701;8.78965;-100.807;101.189;-0.00993733;0.144901;0.0354976
678;701;8.55108;-101.442;101.802;-0.0246827;0.142576;0.0334042
701;701;7.61167;-102.397;102.68;-0.0360199;0.13521;0.032287
724;701;6.84095;-102.846;103.073;-0.0284833;0.129415;0.0390713
747;701;6.28008;-102.835;103.027;-0.0249864;0.123444;0.0390467
770;701;5.67656;-103.007;103.164;-0.0224832;0.116398;0.0337443
793;701;5.23275;-103.165;103.297;-0.0159904;0.111309;0.033732
816;701;4.93489;-103.114;103.232;-0.0127639;0.108653;0.0311748
839;701;4.6418;-103.126;103.23;-0.0114598;0.107555;0.0280423
862;701;4.40452;-103.238;103.331;-0.0143901;0.106067;0.0229624
885;701;3.97401;-103.428;103.505;-0.0149534;0.105657;0.0184091
908;701;3.71088;-103.463;103.529;-0.0140601;0.105601;0.0179918
931;701;3.32246;-103.553;103.606;-0.0120721;0.102102;0.0163875
954;701;3.15202;-103.58;103.628;-0.00963072;0.104328;0.0155479
977;701;2.87729;-103.524;103.564;-0.0093832;0.105052;0.0137386
1000;701;2.71834;-103.601;103.637;-0.00951918;0.103943;0.00963849
1023;701;2.43717;-103.633;103.661;-0.0106656;0.103662;0.00777595
1046;701;2.225;-103.687;103.711;-0.0101338;0.100684;0.00573651
1069;701;1.96847;-103.753;103.771;-0.00608437;0.10164;0.00352682
1092;701;1.94418;-103.773;103.791;-0.00566488;0.100419;0.0022273
1115;701;1.70709;-103.825;103.839;-0.0108222;0.103112;-0.000697065
1138;701;1.44361;-103.822;103.832;-0.00897054;0.101162;-0.00263767
1161;701;1.29256;-103.864;103.872;-0.00846721;0.0988005;-0.00299152
1184;701;1.05243;-103.779;103.784;-0.00862337;0.0983814;-0.00520719
1207;701;0.894085;-103.781;103.785;-0.00652537;0.0971758;-0.00928741
1230;701;0.751014;-103.935;103.938;-0.00910648;0.098909;-0.0131009
1253;701;0.472144;-104.1;104.102;-0.010831;0.101828;-0.0159082
1276;701;0.249283;-104.201;104.201;-0.0053902;0.0994403;-0.0165004
1299;701;0.223055;-104.307;104.308;-0.00606146;0.0988323;-0.0170868
1322;701;-0.0306702;-104.36;104.36;-0.0109516;0.0995477;-0.0184679
1345;701;-0.283608;-104.402;104.403;-0.00927696;0.0998709;-0.0233575
1368;701;-0.459462;-104.43;104.431;-0.0033129;0.100881;-0.0250934
1391;701;-0.436657;-104.594;104.595;-0.00410382;0.102075;-0.0267883
1414;701;-0.648765;-104.542;104.544;-0.0142621;0.101982;-0.0259987
1437;701;-1.0975;-104.532;104.537;-0.0174061;0.0996169;-0.0322939
1460;701;-1.45654;-104.529;104.539;-0.0114923;0.100915;-0.0359804
1483;701;-1.62937;-104.647;104.66;-0.00916033;0.10539;-0.0385998
1506;701;-1.87988;-104.484;104.501;-0.0162138;0.107535;-0.0410428
1529;701;-2.3816;-104.496;104.523;-0.0225386;0.110953;-0.0443848
1552;701;-2.92888;-104.331;104.373;-0.026891;0.118006;-0.0439771
1575;701;-3.63974;-103.893;103.957;-0.0374689;0.128151;-0.0403606
1598;701;-4.70733;-102.958;103.065;-0.0426192;0.145695;-0.0225923
1621;701;-5.76275;-100.661;100.826;-0.0398501;0.161741;0.000357237
655;724;11.01;-97.8253;98.4429;-0.00602874;0.129713;0.0273803
678;724;10.8585;-98.5796;99.1758;-0.0247098;0.140158;0.0239422
701;724;9.83047;-99.4227;99.9075;-0.0428734;0.145381;0.0260538
724;724;8.82109;-99.9385;100.327;-0.0389378;0.139024;0.0301244
747;724;7.99555;-100.236;100.554;-0.0313859;0.128081;0.0316047
770;724;7.35173;-100.382;100.65;-0.0235795;0.125472;0.0289312
793;724;6.89594;-100.645;100.881;-0.0224341;0.125;0.0275868
816;724;6.30668;-100.716;100.913;-0.0211775;0.119045;0.0281502
839;724;5.91114;-100.737;100.91;-0.0158077;0.116425;0.024332
862;724;5.57355;-100.825;100.979;-0.0221464;0.115635;0.0194651
885;724;4.8801;-100.999;101.117;-0.0221596;0.116236;0.0180063
908;724;4.54225;-101.018;101.12;-0.0151893;0.114365;0.015199
931;724;4.17538;-101.237;101.323;-0.0156683;0.112892;0.0151089
954;724;3.81514;-101.257;101.329;-0.014673;0.113606;0.0152625
977;724;3.49535;-101.177;101.237;-0.0133395;0.111247;0.0137555
1000;724;3.19736;-101.223;101.273;-0.0139241;0.111079;0.00914755
1023;724;2.85021;-101.278;101.318;-0.0150549;0.114465;0.00693901
1046;724;2.49926;-101.382;101.413;-0.0154324;0.111984;0.00487919
1069;724;2.13458;-101.405;101.427;-0.0108365;0.111048;0.00497919
1092;724;1.99803;-101.426;101.446;-0.0112503;0.113281;0.00128932
1115;724;1.61412;-101.395;101.408;-0.0136725;0.111278;-0.00172446
1138;724;1.36462;-101.526;101.536;-0.0106665;0.107486;-0.00216205
1161;724;1.12067;-101.507;101.513;-0.0135736;0.110235;-0.0026042
1184;724;0.735942;-101.515;101.518;-0.0130592;0.107793;-0.00701359
1207;724;0.515837;-101.619;101.62;-0.00847683;0.106081;-0.00935394
1230;724;0.344272;-101.595;101.595;-0.0118;0.1122;-0.00957229
1253;724;-0.0302326;-101.669;101.669;-0.0138681;0.110788;-0.0146376
1276;724;-0.299159;-101.897;101.898;-0.00949095;0.108655;-0.0163925
1299;724;-0.469905;-101.97;101.971;-0.0100624;0.108113;-0.01767
1322;724;-0.764584;-102.033;102.036;-0.0172144;0.108905;-0.0198117
1345;724;-1.26909;-102.158;102.166;-0.0154891;0.108617;-0.0200426
1368;724;-1.48269;-102.057;102.067;-0.00972873;0.110805;-0.0219869
1391;724;-1.71881;-102.147;102.161;-0.0106867;0.114716;-0.0276465
1414;724;-1.9771;-102.177;102.196;-0.0190319;0.111565;-0.0302308
1437;724;-2.60303;-102.298;102.332;-0.0223835;0.110096;-0.0294201
1460;724;-3.01853;-102.199;102.243;-0.0175467;0.113656;-0.0322152
1483;724;-3.41756;-102.171;102.228;-0.0197734;0.119784;-0.0355188
1506;724;-3.93754;-102.046;102.122;-0.0247073;0.120351;-0.0384642
1529;724;-4.56893;-101.973;102.075;-0.028222;0.126302;-0.0395517
1552;724;-5.25619;-101.67;101.806;-0.0362013;0.136125;-0.0365585
1575;724;-6.27667;-100.977;101.172;-0.0444694;0.144339;-0.0301917
1598;724;-7.38451;-99.915;100.188;-0.0378939;0.145977;-0.0110959
1621;724;-8.17907;-97.6553;97.9972;-0.0291231;0.147711;0.00673328
655;747;13.0239;-95.3576;96.2429;-0.0156171;0.135293;0.0313208
678;747;12.661;-95.5552;96.3903;-0.027524;0.138914;0.0231956
701;747;11.73;-96.2985;97.0103;-0.0416126;0.139685;0.0183811
724;747;10.6821;-96.9848;97.5713;-0.0408842;0.13295;0.022315
747;747;9.79549;-97.3988;97.8901;-0.0384832;0.131139;0.0267392
770;747;8.87126;-97.6576;98.0597;-0.0338046;0.130913;0.0271681
793;747;8.21126;-97.8215;98.1656;-0.0254018;0.126134;0.023181
816;747;7.68621;-98.0044;98.3054;-0.0251308;0.121132;0.0225065
839;747;7.03943;-98.1068;98.359;-0.0247292;0.121443;0.0199039
862;747;6.53363;-98.2392;98.4562;-0.0247021;0.117338;0.016203
885;747;5.8878;-98.3966;98.5725;-0.0243472;0.120691;0.018384
908;747;5.39892;-98.5004;98.6482;-0.0190168;0.117715;0.0154568
931;747;5.00383;-98.6519;98.7787;-0.0191522;0.116371;0.0149929
954;747;4.5091;-98.6395;98.7425;-0.0189923;0.116543;0.0131433
977;747;4.12172;-98.6787;98.7647;-0.0177454;0.114673;0.0103747
1000;747;3.68529;-98.757;98.8257;-0.0184511;0.114162;0.0115931
1023;747;3.26498;-98.6452;98.6993;-0.0185516;0.116977;0.00860413
1046;747;2.82383;-98.7998;98.8401;-0.0168946;0.12024;0.00349707
1069;747;2.48041;-98.903;98.9341;-0.0166232;0.113329;0.00537574
1092;747;2.05269;-98.828;98.8493;-0.017705;0.117998;0.0011507
1115;747;1.6586;-98.9628;98.9767;-0.0147554;0.114931;-0.00268431
1138;747;1.36792;-99.1185;99.128;-0.0134145;0.114686;-0.00241781
1161;747;1.03726;-99.0466;99.052;-0.0181899;0.114522;-0.00294685
1184;747;0.523401;-99.0649;99.0663;-0.0198632;0.113395;-0.00578359
1207;747;0.114197;-99.142;99.1421;-0.0131251;0.114034;-0.00691689
