x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;655;8.7188;-244.455;244.61;-0.101536;0.227115;0.0279502
678;655;6.13405;-246.644;246.72;-0.0700047;0.313647;0.0946845
701;655;5.31747;-246.712;246.769;-0.0296601;0.256622;0.108559
724;655;4.74686;-247.064;247.109;-0.0194757;0.236009;0.0997729
747;655;4.41199;-246.963;247.002;-0.00954235;0.221072;0.0986529
770;655;4.30444;-246.713;246.75;0.00170059;0.210439;0.0807329
793;655;4.48986;-247.127;247.168;0.000970964;0.218715;0.0661282
816;655;4.34864;-246.916;246.954;-0.00682408;0.214028;0.0644922
839;655;4.17471;-247.003;247.039;-0.00862158;0.224669;0.0524645
862;655;3.94892;-247.273;247.305;-0.00185426;0.229448;0.0554307
885;655;4.08932;-246.976;247.009;-0.0027147;0.19617;0.0449233
908;655;3.82375;-247.169;247.198;-0.00536421;0.199844;0.0336588
931;655;3.83895;-247.495;247.525;-0.00328781;0.20445;0.0278912
954;655;3.6715;-247.433;247.461;-0.00961792;0.190702;0.027689
977;655;3.39437;-247.534;247.557;-0.00540056;0.198306;0.0268354
1000;655;3.42236;-247.495;247.519;0.00180108;0.19602;0.0245322
1023;655;3.47709;-247.601;247.626;-0.00300811;0.194872;0.0153737
1046;655;3.28333;-247.698;247.72;-0.00607948;0.203578;0.0102137
1069;655;3.19591;-247.849;247.869;0.0033982;0.200049;0.0109719
1092;655;3.43916;-247.557;247.581;0.0016863;0.189;0.00755163
1115;655;3.27157;-247.436;247.458;-0.00323257;0.174564;0.00326375
1138;655;3.29016;-247.481;247.503;-0.000553189;0.169043;-0.000723772
1161;655;3.2461;-247.403;247.424;-0.00686374;0.171966;-0.00585244
1184;655;2.97318;-247.603;247.621;-0.00237318;0.1852;-0.00960159
1207;655;3.13461;-247.851;247.871;0.00536994;0.195726;-0.017599
1230;655;3.21807;-247.971;247.992;0.00338685;0.191843;-0.0189321
1253;655;3.28907;-248.167;248.189;0.000435417;0.182748;-0.0242332
1276;655;3.23601;-248.409;248.43;0.000181047;0.180608;-0.0283553
1299;655;3.29677;-248.405;248.427;-0.00280013;0.17568;-0.027196
1322;655;3.10697;-248.341;248.36;-0.00166435;0.15647;-0.0297617
1345;655;3.21987;-248.567;248.588;0.00387723;0.15921;-0.0335494
1368;655;3.28465;-248.514;248.536;-0.000330025;0.16475;-0.0424375
1391;655;3.20452;-248.69;248.711;0.000256867;0.165757;-0.0469931
1414;655;3.29546;-248.817;248.839;-0.00213751;0.160251;-0.0467529
1437;655;3.10608;-248.669;248.688;-0.0189183;0.160644;-0.0411789
1460;655;2.41407;-248.318;248.33;0.00204446;0.142614;-0.04086
1483;655;3.19981;-248.526;248.547;0.0122399;0.141408;-0.0689487
1506;655;2.97054;-248.861;248.878;-0.00730848;0.162203;-0.0668521
1529;655;2.86169;-248.778;248.794;0.00593026;0.165387;-0.0755131
1552;655;3.24251;-248.822;248.843;0.002914;0.169817;-0.0947467
1575;655;2.9952;-248.956;248.974;-0.011265;0.207362;-0.102176
1598;655;2.72085;-248.605;248.62;-0.0318726;0.224188;-0.101513
1621;655;1.47869;-247.428;247.433;-0.0512394;0.322583;-0.105743
655;678;13.104;-240.068;240.425;-0.031204;0.296619;0.0803129
678;678;12.3564;-240.971;241.288;-0.0494935;0.335758;0.0945545
701;678;10.7278;-241.941;242.178;-0.0578922;0.288447;0.0863038
724;678;9.58148;-242.581;242.77;-0.0412291;0.276826;0.0900793
747;678;8.78405;-242.69;242.849;-0.0315074;0.270601;0.091944
770;678;8.10855;-242.562;242.697;-0.0243585;0.251045;0.0796879
