x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;655;7.40225;-204.462;204.596;-0.0909981;0.194568;0.0233506
678;655;5.11009;-206.439;206.502;-0.0609222;0.268646;0.0843117
701;655;4.46438;-206.419;206.467;-0.0234331;0.214433;0.0949885
724;655;4.01851;-206.695;206.734;-0.0152339;0.196137;0.0852958
747;655;3.75786;-206.595;206.629;-0.00753708;0.183773;0.0835987
770;655;3.66946;-206.388;206.421;0.00135489;0.177458;0.0691424
793;655;3.82008;-206.674;206.709;0.000556319;0.180982;0.0567887
816;655;3.69478;-206.544;206.577;-0.00667399;0.17777;0.0542116
839;655;3.51199;-206.608;206.638;-0.00745131;0.185427;0.0456045
862;655;3.34997;-206.808;206.835;-0.00106204;0.189799;0.0479102
885;655;3.46307;-206.544;206.573;-0.00272149;0.159962;0.0383129
908;655;3.22455;-206.736;206.761;-0.00492965;0.164141;0.0287738
931;655;3.23285;-207.059;207.084;-0.00286877;0.172139;0.0248307
954;655;3.09187;-206.955;206.978;-0.00829824;0.157206;0.0257796
977;655;2.84948;-206.991;207.011;-0.00451251;0.16148;0.0243007
1000;655;2.88383;-206.948;206.968;0.00148231;0.15867;0.0199643
1023;655;2.91724;-207.177;207.198;-0.00167176;0.163614;0.0106975
1046;655;2.80483;-207.38;207.399;-0.00375701;0.176038;0.00761872
1069;655;2.74328;-207.45;207.468;0.00275014;0.172031;0.011585
1092;655;2.92994;-207.044;207.064;0.00100489;0.156657;0.00873083
1115;655;2.78631;-206.909;206.928;-0.00323738;0.143339;0.00306816
1138;655;2.78065;-206.936;206.954;-0.000427673;0.139416;0.0010361
1161;655;2.76633;-206.743;206.762;-0.00632011;0.135522;-0.00406148
1184;655;2.489;-206.913;206.928;-0.00255455;0.146863;-0.00709993
1207;655;2.64743;-207.08;207.097;0.00520993;0.151953;-0.0147129
1230;655;2.72701;-207.221;207.239;0.00344899;0.151725;-0.0167394
1253;655;2.80454;-207.423;207.442;0.00102543;0.145147;-0.0220302
1276;655;2.77202;-207.664;207.683;-0.000507644;0.144277;-0.0261067
1299;655;2.78007;-207.742;207.761;-0.00302709;0.144911;-0.0243424
1322;655;2.63256;-207.682;207.699;-0.000249415;0.129844;-0.0249263
1345;655;2.76855;-207.809;207.828;0.00384918;0.128335;-0.0288502
1368;655;2.8092;-207.769;207.788;-0.00114921;0.133025;-0.0369081
1391;655;2.71558;-207.892;207.909;-0.000486713;0.130004;-0.0404453
1414;655;2.78564;-208.097;208.115;-0.00102507;0.134718;-0.0405973
1437;655;2.66838;-207.936;207.953;-0.0150642;0.131169;-0.0360684
1460;655;2.08532;-207.664;207.675;0.000884737;0.117898;-0.0361955
