x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;655;5.23236;-135.237;135.338;-0.0693757;0.128018;0.0160726
678;655;3.5268;-136.703;136.748;-0.0439645;0.175129;0.0621097
701;655;3.14214;-136.606;136.642;-0.0140335;0.13373;0.0690999
724;655;2.87665;-136.735;136.766;-0.00979222;0.118565;0.0609872
747;655;2.68934;-136.715;136.741;-0.00468605;0.111441;0.056983
770;655;2.66015;-136.535;136.561;-6.61851e-05;0.107954;0.0469568
793;655;2.68627;-136.758;136.785;-0.00136597;0.112527;0.0382377
816;655;2.5963;-136.833;136.857;-0.00342682;0.11557;0.0368688
839;655;2.52832;-136.822;136.845;-0.00454166;0.116306;0.0317799
862;655;2.38686;-136.898;136.919;-0.000429141;0.117962;0.0355897
885;655;2.50821;-136.637;136.66;-0.00127822;0.0951318;0.0278917
908;655;2.32762;-136.705;136.725;-0.00326142;0.0963348;0.0206838
931;655;2.35679;-136.961;136.981;-0.00259113;0.102881;0.0159516
954;655;2.20773;-136.929;136.947;-0.00666501;0.096674;0.0179919
977;655;2.04917;-136.948;136.963;-0.00150836;0.0985256;0.0171214
1000;655;2.13828;-136.9;136.917;0.00192336;0.0950623;0.0131761
1023;655;2.13741;-137.067;137.084;-0.00207369;0.0991496;0.00627222
1046;655;2.04155;-137.237;137.252;-0.00279677;0.107262;0.00490508
1069;655;2.00818;-137.258;137.272;0.0022869;0.103065;0.00653237
1092;655;2.14645;-137.107;137.123;0.000912107;0.0990642;0.00387517
1115;655;2.04957;-137.032;137.048;-0.00253667;0.0915107;0.00248145
1138;655;2.02946;-136.987;137.002;-0.00100603;0.0872495;0.00294091
1161;655;2.00243;-136.754;136.769;-0.00477936;0.0812374;-0.00161001
1184;655;1.80897;-136.888;136.9;-0.00205847;0.0896349;-0.00487098
1207;655;1.90709;-136.979;136.993;0.00239795;0.0901429;-0.00819637
1230;655;1.91907;-136.974;136.987;0.00228263;0.0859707;-0.00822528
1253;655;2.01188;-137.069;137.084;0.00133955;0.0790774;-0.0143626
1276;655;1.97957;-137.288;137.302;-0.000593754;0.0823839;-0.0188805
1299;655;1.98298;-137.45;137.464;-0.00196368;0.0877724;-0.0177799
1322;655;1.88884;-137.457;137.47;-0.000144883;0.0821556;-0.0163374
1345;655;1.9763;-137.492;137.506;0.00340098;0.0771879;-0.0182342
1368;655;2.04502;-137.464;137.48;0.000346501;0.0800652;-0.0261311
1391;655;1.99217;-137.567;137.582;-0.000408714;0.0788365;-0.027722
1414;655;2.02547;-137.726;137.741;-0.000324027;0.083471;-0.0290645
1437;655;1.97715;-137.672;137.686;-0.0115403;0.0829522;-0.0243556
1460;655;1.4898;-137.331;137.339;-0.000440086;0.0685203;-0.0219987
1483;655;1.95637;-137.451;137.465;0.00707114;0.0661726;-0.0392564
1506;655;1.8122;-137.731;137.743;-0.00483784;0.081853;-0.0371844
1529;655;1.73316;-137.557;137.568;0.00571371;0.0751591;-0.0402909
1552;655;2.07407;-137.591;137.607;0.00543207;0.0836939;-0.0566676
1575;655;1.98218;-137.689;137.703;-0.00615716;0.106964;-0.0620025
1598;655;1.78975;-137.449;137.461;-0.0219282;0.117743;-0.0613231
1621;655;0.952269;-136.745;136.748;-0.0352801;0.178851;-0.0693517
655;678;7.79591;-132.588;132.817;-0.0190223;0.160722;0.0454951
678;678;7.34443;-133.251;133.453;-0.0297877;0.182576;0.0589701
701;678;6.38487;-133.916;134.068;-0.0333563;0.149607;0.0542886
724;678;5.77075;-134.318;134.441;-0.0251158;0.137856;0.0544938
747;678;5.21198;-134.406;134.507;-0.0199429;0.135586;0.0555156
770;678;4.84401;-134.267;134.354;-0.0129512;0.124728;0.0484825
793;678;4.61231;-134.374;134.453;-0.0110381;0.124614;0.0412236
816;678;4.33331;-134.372;134.442;-0.0125104;0.126534;0.0391851
839;678;4.03316;-134.331;134.391;-0.00889388;0.125257;0.0355931
862;678;3.92235;-134.374;134.432;-0.00746786;0.123459;0.0307703
885;678;3.68771;-134.572;134.623;-0.00999887;0.111781;0.024015
908;678;3.45946;-134.612;134.657;-0.0102046;0.112116;0.0235269
931;678;3.21564;-134.72;134.758;-0.00920094;0.114486;0.0177079
954;678;3.03379;-134.817;134.851;-0.0085178;0.112775;0.0182048
977;678;2.82207;-134.796;134.825;-0.00489712;0.115267;0.0176086
1000;678;2.80797;-134.817;134.847;-0.00456524;0.111592;0.0131493
1023;678;2.61148;-134.894;134.919;-0.00940601;0.113763;0.00936726
1046;678;2.37318;-134.892;134.913;-0.00811625;0.117765;0.00733826
1069;678;2.23649;-134.999;135.018;-0.00372907;0.114956;0.00543984
1092;678;2.2013;-134.931;134.949;-0.00298457;0.110453;0.0034366
1115;678;2.09899;-135.016;135.032;-0.00405698;0.107097;-0.000110217
1138;678;2.01412;-135.061;135.076;-0.00487337;0.106315;-0.0010066
1161;678;1.87423;-134.956;134.969;-0.00665213;0.0999478;-0.00184626
1184;678;1.70685;-134.912;134.922;-0.00643415;0.105403;-0.00519786
1207;678;1.57728;-134.994;135.003;-0.00253238;0.107064;-0.00980434
1230;678;1.58991;-135.077;135.086;-0.0011999;0.103109;-0.0136797
1253;678;1.52089;-135.322;135.33;-0.00589358;0.101646;-0.019079
1276;678;1.31628;-135.474;135.48;-0.00574121;0.103145;-0.0195567
1299;678;1.25558;-135.523;135.529;-0.00338825;0.104102;-0.0197745
1322;678;1.15982;-135.65;135.655;-0.00240287;0.103212;-0.0234583
1345;678;1.14412;-135.794;135.799;-0.00597877;0.102036;-0.0248915
1368;678;0.883915;-135.718;135.721;-0.00621861;0.102555;-0.0282163
1391;678;0.857136;-135.846;135.849;-0.0030167;0.0999179;-0.0295598
1414;678;0.744523;-135.913;135.915;-0.00496836;0.105011;-0.0303587
1437;678;0.628013;-135.874;135.875;-0.00832485;0.10621;-0.0342895
1460;678;0.359899;-135.832;135.832;-0.00549966;0.0969575;-0.0365146
1483;678;0.37407;-136.028;136.028;-0.00453325;0.0961606;-0.0433207
1506;678;0.150669;-135.975;135.975;-0.0120578;0.108661;-0.0434545
1529;678;-0.184017;-135.964;135.964;-0.0129345;0.105509;-0.0486519
1552;678;-0.448342;-135.869;135.87;-0.0168028;0.114339;-0.0553682
1575;678;-0.965729;-135.52;135.523;-0.0251697;0.131577;-0.0592742
1598;678;-1.62746;-135.114;135.124;-0.0461963;0.157035;-0.0513099
1621;678;-3.2001;-133.269;133.307;-0.0628206;0.216682;-0.033523
655;701;11.0454;-128.679;129.152;-0.0139331;0.191171;0.0461753
678;701;10.71;-129.438;129.881;-0.0308545;0.186422;0.0419138
701;701;9.56342;-130.568;130.918;-0.0444661;0.176823;0.0408104
724;701;8.58567;-131.094;131.375;-0.0366097;0.170622;0.0489268
747;701;7.84408;-131.108;131.343;-0.0308484;0.162528;0.0480179
770;701;7.14352;-131.312;131.506;-0.0258123;0.153461;0.0416565
793;701;6.6393;-131.497;131.664;-0.0203388;0.14878;0.0416282
816;701;6.19796;-131.466;131.612;-0.017325;0.145188;0.0383522
839;701;5.83532;-131.488;131.617;-0.0148311;0.143004;0.0340315
862;701;5.51031;-131.627;131.742;-0.0178475;0.139497;0.0285381
885;701;5.00569;-131.816;131.911;-0.0178808;0.138698;0.0237509
908;701;4.67969;-131.863;131.946;-0.0167101;0.138565;0.0223514
931;701;4.23012;-132;132.068;-0.0150565;0.133988;0.0200445
954;701;3.98147;-132.036;132.096;-0.0119403;0.135861;0.0200982
977;701;3.67751;-131.946;131.998;-0.011209;0.137663;0.0172113
1000;701;3.46293;-132.042;132.088;-0.0126662;0.136282;0.0113682
1023;701;3.09083;-132.111;132.147;-0.0134488;0.136652;0.00987725
1046;701;2.84001;-132.112;132.143;-0.0115981;0.134279;0.00723869
1069;701;2.55399;-132.246;132.271;-0.00774275;0.135072;0.00368665
1092;701;2.48215;-132.28;132.303;-0.00802091;0.132795;0.00294744
1115;701;2.18343;-132.345;132.363;-0.0132056;0.135326;-0.000545273
1138;701;1.87059;-132.333;132.346;-0.0111765;0.133592;-0.00266904
1161;701;1.66639;-132.367;132.378;-0.0108382;0.130624;-0.00356406
1184;701;1.36926;-132.273;132.28;-0.0104037;0.129424;-0.00679067
1207;701;1.18526;-132.298;132.304;-0.00757339;0.128222;-0.0113963
1230;701;1.01917;-132.461;132.465;-0.0108056;0.130621;-0.0154694
1253;701;0.684295;-132.627;132.629;-0.0135;0.13511;-0.0196722
1276;701;0.392727;-132.79;132.791;-0.00718047;0.130786;-0.0207389
1299;701;0.351896;-132.914;132.914;-0.00798765;0.13046;-0.0210622
1322;701;0.0234746;-132.967;132.967;-0.0130452;0.132453;-0.0236308
1345;701;-0.2524;-133.065;133.066;-0.0115227;0.133363;-0.0285988
1368;701;-0.509707;-133.031;133.032;-0.00582966;0.134742;-0.0307626
1391;701;-0.521696;-133.243;133.244;-0.00522973;0.134589;-0.0337369
1414;701;-0.751224;-133.202;133.204;-0.0166618;0.135782;-0.0323001
1437;701;-1.29478;-133.127;133.133;-0.0208234;0.131997;-0.0394395
1460;701;-1.7193;-133.171;133.182;-0.0128435;0.134814;-0.0466422
1483;701;-1.89007;-133.37;133.383;-0.0126748;0.1415;-0.0485883
1506;701;-2.30609;-133.145;133.165;-0.0221254;0.146132;-0.0508216
1529;701;-2.91989;-133.15;133.182;-0.0278351;0.148068;-0.0546843
1552;701;-3.60541;-132.919;132.968;-0.0331804;0.156483;-0.0543402
1575;701;-4.47882;-132.395;132.47;-0.0470724;0.171228;-0.050041
1598;701;-5.85513;-131.275;131.406;-0.0502829;0.194986;-0.0254127
1621;701;-7.04978;-128.257;128.45;-0.0419795;0.251869;0.00721193
655;724;13.908;-124.851;125.623;-0.0125411;0.168686;0.0355426
678;724;13.6012;-125.717;126.451;-0.0329186;0.179849;0.0299229
701;724;12.3283;-126.728;127.326;-0.0524349;0.185362;0.0319933
724;724;11.0932;-127.311;127.793;-0.0484926;0.177522;0.0373273
747;724;10.0305;-127.675;128.068;-0.0395371;0.165802;0.0391367
770;724;9.23359;-127.863;128.196;-0.0284349;0.162662;0.0365952
793;724;8.70099;-128.135;128.43;-0.0282364;0.162266;0.034239
816;724;7.91424;-128.241;128.485;-0.0279598;0.157268;0.0347536
839;724;7.39613;-128.274;128.487;-0.0202417;0.15219;0.0293292
862;724;6.97306;-128.441;128.63;-0.0259664;0.149767;0.0236896
