x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
678;632;1.04746;-335.364;335.366;-0.0512816;0.467199;0.197583
701;632;-0.194836;-336.525;336.525;-0.0251994;0.400353;0.188277
724;632;-0.138243;-336.382;336.382;-0.0061964;0.324755;0.169311
747;632;-0.480781;-336.57;336.57;-0.0139461;0.304982;0.142945
770;632;-0.787136;-336.889;336.89;-0.000482316;0.315812;0.147712
793;632;-0.503137;-336.447;336.448;-0.00252595;0.325982;0.139985
816;632;-0.906782;-336.338;336.339;-0.00845288;0.365327;0.139938
839;632;-0.893673;-336.383;336.384;0.00753947;0.37041;0.120411
862;632;-0.561266;-336.35;336.351;0.00529417;0.402302;0.109502
885;632;-0.651332;-336.157;336.158;-0.00493891;0.409174;0.10444
908;632;-0.789579;-336.124;336.125;-0.00225283;0.461863;0.0997537
931;632;-0.755122;-336.095;336.096;-0.00297864;0.516873;0.0921286
954;632;-0.927337;-336.346;336.347;0.0017298;0.531093;0.0930123
977;632;-0.678176;-335.609;335.61;-0.00292963;0.54143;0.0757889
1000;632;-1.06266;-336.162;336.164;-0.0121858;0.604425;0.0584236
1023;632;-1.24602;-336.2;336.202;-0.000709403;0.600883;0.0621572
1046;632;-1.09537;-336.235;336.237;-0.00082787;0.629676;0.0565395
1069;632;-1.28411;-336.207;336.209;-0.00635943;0.668324;0.045279
1092;632;-1.38893;-336.145;336.148;-0.00504939;0.665821;0.0383302
1115;632;-1.51711;-336.318;336.321;-0.00385164;0.648087;0.031608
1138;632;-1.56671;-336.301;336.304;0.00219867;0.672519;0.0224966
1161;632;-1.41628;-336.184;336.187;-0.00264973;0.688632;0.0109346
1184;632;-1.68937;-336.063;336.068;-0.00944142;0.639947;0.00462535
1207;632;-1.85363;-335.885;335.891;-0.00883653;0.646351;-0.0112013
1230;632;-2.09787;-335.925;335.931;-0.00733243;0.602734;-0.0229387
1253;632;-2.19369;-336.259;336.266;0.00089177;0.577567;-0.0312801
1276;632;-2.05833;-336.291;336.297;-0.00210798;0.551128;-0.0411362
1299;632;-2.29088;-336.361;336.368;-0.00368468;0.524852;-0.0559797
1322;632;-2.23086;-336.791;336.798;0.00130099;0.51243;-0.0705573
1345;632;-2.23153;-336.567;336.575;-0.0056145;0.45499;-0.0701981
1368;632;-2.49005;-336.925;336.935;-0.0174162;0.45159;-0.0778378
1391;632;-3.04029;-336.781;336.795;-0.00486455;0.390258;-0.0685895
1414;632;-2.71449;-336.821;336.832;0.0105385;0.366954;-0.0788229
1437;632;-2.56281;-336.115;336.125;-0.0015165;0.304768;-0.0967521
1460;632;-2.7853;-336.518;336.529;-0.00779144;0.285756;-0.103484
1483;632;-2.92402;-336.472;336.485;0.00139219;0.280759;-0.10954
1506;632;-2.7214;-336.612;336.623;-0.00748861;0.268788;-0.126424
1529;632;-3.27094;-336.795;336.811;-0.00118599;0.254159;-0.127507
1552;632;-2.7807;-337.27;337.282;-0.0111267;0.287803;-0.146323
1575;632;-3.78604;-336.986;337.007;-0.0257288;0.294505;-0.138399
1598;632;-3.98321;-336.722;336.745;-0.0280811;0.357466;-0.169359
1621;632;-5.10346;-336.193;336.232;-0.0662338;0.435146;-0.161615
1644;632;-7.25325;-333.584;333.662;-0.0826641;0.259723;-0.106216
678;655;12.2532;-328.402;328.631;-0.114849;0.484222;0.141048
701;655;9.36136;-330.178;330.31;-0.0920701;0.466498;0.149475
724;655;7.72704;-330.908;330.999;-0.0598903;0.400702;0.150976
747;655;6.5056;-331.235;331.299;-0.0381746;0.400975;0.150922
770;655;5.9345;-331.289;331.342;-0.0192514;0.421081;0.161597
793;655;5.60574;-330.524;330.571;-0.00791815;0.434913;0.161868
816;655;5.54373;-329.776;329.823;-0.0211427;0.472791;0.148825
839;655;4.61192;-329.54;329.573;-0.0264526;0.513323;0.136834
862;655;4.30055;-328.838;328.866;-0.0124147;0.54614;0.127125
885;655;4.02528;-328.497;328.522;-0.0111529;0.577227;0.125348
908;655;3.76639;-327.551;327.572;-0.00721234;0.609377;0.128848
931;655;3.65254;-326.592;326.612;-0.0163148;0.656936;0.109388
954;655;2.99865;-326.551;326.565;-0.0205462;0.700748;0.103581
977;655;2.68628;-325.586;325.597;-0.0188516;0.716618;0.102484
1000;655;2.10062;-325.126;325.133;-0.0218255;0.760171;0.0793459
1023;655;1.66941;-325.196;325.2;-0.0126619;0.771112;0.0701515
1046;655;1.51299;-324.762;324.766;-0.0196626;0.812961;0.0758903
1069;655;0.742707;-324.107;324.108;-0.0223403;0.849713;0.0611517
1092;655;0.468316;-324.074;324.074;-0.0146819;0.863387;0.033863
1115;655;0.0605939;-324.501;324.501;-0.0237326;0.866853;0.0326995
1138;655;-0.636659;-324.092;324.092;-0.0246696;0.897347;0.0392992
1161;655;-1.09532;-323.723;323.725;-0.0228726;0.894555;0.00819529
1184;655;-1.70177;-324.335;324.339;-0.0296037;0.86549;0.000229334
1207;655;-2.47918;-324.065;324.075;-0.0252689;0.835213;-0.0145296
1230;655;-2.88139;-324.777;324.79;-0.0185338;0.805146;-0.0431839
1253;655;-3.36306;-325.515;325.532;-0.021146;0.776077;-0.048055
1276;655;-3.88104;-325.993;326.016;-0.0245472;0.735221;-0.0565293
1299;655;-4.51743;-326.507;326.539;-0.0305711;0.701924;-0.0687048
1322;655;-5.32608;-327.209;327.252;-0.0182141;0.66643;-0.0830963
1345;655;-5.38571;-327.938;327.982;-0.0139019;0.614651;-0.0886288
1368;655;-5.98542;-328.389;328.443;-0.0188428;0.576639;-0.0976335
1391;655;-6.28025;-329.262;329.322;-0.0156496;0.529677;-0.101885
1414;655;-6.73313;-329.803;329.872;-0.0197646;0.508539;-0.110025
1437;655;-7.21072;-330.308;330.387;-0.0131837;0.45955;-0.125584
1460;655;-7.36077;-331.05;331.132;-0.0146526;0.430947;-0.122651
1483;655;-7.89785;-331.165;331.259;-0.0218935;0.393592;-0.120828
1506;655;-8.38327;-331.66;331.766;-0.0180891;0.381802;-0.14018
1529;655;-8.74697;-332.084;332.199;-0.0232848;0.393157;-0.143913
1552;655;-9.47022;-332.185;332.32;-0.0408736;0.408507;-0.14808
1575;655;-10.668;-331.821;331.993;-0.0635845;0.417958;-0.136826
1598;655;-12.5157;-330.836;331.073;-0.0941283;0.472806;-0.138016
1621;655;-15.2923;-329.435;329.789;-0.0728798;0.50459;-0.178949
1644;655;-16.0175;-329.621;330.01;-0.0310026;0.246548;-0.182762
678;678;21.3006;-320.086;320.794;-0.10305;0.52058;0.112128
701;678;18.749;-321.44;321.986;-0.104296;0.555195;0.1152
724;678;16.1309;-322.824;323.227;-0.0880912;0.531168;0.129872
747;678;14.4828;-322.662;322.987;-0.0571271;0.536881;0.158963
770;678;13.4172;-322.092;322.371;-0.0419672;0.56029;0.165508
793;678;12.4747;-320.9;321.142;-0.034691;0.59884;0.17213
816;678;11.7127;-319.429;319.643;-0.0358781;0.643307;0.167826
839;678;10.694;-317.931;318.11;-0.0393588;0.690055;0.16127
862;678;9.77575;-316.621;316.772;-0.0319727;0.73339;0.149607
885;678;9.12408;-315.35;315.482;-0.0296618;0.804539;0.139941
908;678;8.32548;-314.214;314.324;-0.0235927;0.848956;0.13997
931;678;7.94539;-312.665;312.766;-0.0219268;0.856441;0.131261
954;678;7.2253;-311.528;311.612;-0.0256803;0.90563;0.120453
977;678;6.68247;-310.233;310.305;-0.0300914;0.952171;0.109148
1000;678;5.77139;-309.455;309.509;-0.0417325;0.980355;0.0855479
1023;678;4.70631;-309.098;309.133;-0.0322836;1.02902;0.0888456
1046;678;4.23384;-307.885;307.914;-0.0284594;1.0616;0.0980149
1069;678;3.31728;-306.769;306.787;-0.0377732;1.09431;0.08011
1092;678;2.4331;-306.282;306.291;-0.0366838;1.15552;0.0477325
1115;678;1.59546;-306.325;306.33;-0.0345464;1.20378;0.0429068
1138;678;0.807498;-305.437;305.438;-0.038656;1.18517;0.0451192
1161;678;-0.228816;-305.37;305.37;-0.0401878;1.16891;0.00557291
1184;678;-1.08408;-306.048;306.049;-0.0473944;1.19187;-0.0220451
1207;678;-2.48398;-306.717;306.728;-0.0559274;1.1366;-0.0313129
1230;678;-3.76168;-307.624;307.647;-0.0465707;1.10764;-0.0577296
1253;678;-4.72887;-308.816;308.852;-0.041782;1.0463;-0.0722045
1276;678;-5.79447;-310.086;310.141;-0.0442177;0.980857;-0.0766724
1299;678;-6.87407;-311.188;311.264;-0.0410313;0.942241;-0.0894466
1322;678;-7.80305;-312.753;312.85;-0.037288;0.889828;-0.10165
1345;678;-8.7247;-314.193;314.314;-0.037751;0.844456;-0.117673
1368;678;-9.67936;-315.809;315.957;-0.0361057;0.783517;-0.12429
1391;678;-10.5184;-317.194;317.368;-0.0384737;0.750588;-0.121662
1414;678;-11.5435;-318.09;318.299;-0.0421883;0.694903;-0.123574
1437;678;-12.5466;-319.178;319.424;-0.0311492;0.637887;-0.142031
1460;678;-13.0701;-320.598;320.865;-0.0181708;0.613448;-0.154115
1483;678;-13.4716;-321.888;322.17;-0.0325207;0.563695;-0.146158
1506;678;-14.6408;-322.698;323.03;-0.0559342;0.542183;-0.131738
1529;678;-16.128;-322.674;323.077;-0.0572807;0.551328;-0.138779
1552;678;-17.3569;-323.001;323.467;-0.0638269;0.559665;-0.142657
1575;678;-19.1643;-322.584;323.153;-0.0882208;0.563776;-0.118798
1598;678;-21.6579;-321.041;321.771;-0.111548;0.57593;-0.11118
1621;678;-24.701;-320.005;320.957;-0.0472718;0.619952;-0.245407
1644;678;-24.1659;-325.98;326.874;0.0572794;0.62093;-0.376061
678;701;28.0799;-310.617;311.883;-0.0995989;0.546076;0.089461
701;701;25.6483;-311.368;312.422;-0.107668;0.553256;0.0769484
724;701;22.7796;-312.586;313.415;-0.0965049;0.579822;0.0903447
747;701;20.9533;-312.587;313.289;-0.0740476;0.572977;0.12582
770;701;19.2264;-311.635;312.227;-0.0594553;0.588286;0.152652
793;701;18.0192;-309.47;309.994;-0.0425347;0.630871;0.171483
816;701;16.9988;-307.167;307.637;-0.0466704;0.687681;0.160253
839;701;15.6334;-305.434;305.834;-0.0514681;0.742267;0.153631
862;701;14.395;-303.299;303.641;-0.0435663;0.802856;0.162286
885;701;13.3367;-300.781;301.076;-0.0351691;0.861952;0.164144
908;701;12.4872;-298.499;298.76;-0.0358035;0.902298;0.137202
931;701;11.5171;-297.235;297.458;-0.046327;0.920966;0.112485
954;701;10.2189;-295.763;295.939;-0.0412132;0.959819;0.128437
977;701;9.42039;-293.482;293.634;-0.0381105;1.00113;0.119606
1000;701;8.28866;-292.217;292.335;-0.0436942;1.04596;0.0991754
1023;701;7.29158;-290.951;291.043;-0.034938;1.1074;0.102895
1046;701;6.57669;-289.626;289.701;-0.0375377;1.13986;0.102576
1069;701;5.43921;-288.101;288.152;-0.0481139;1.14776;0.105301
1092;701;4.19226;-286.454;286.485;-0.0596386;1.21426;0.0861641
1115;701;2.53762;-285.623;285.635;-0.0492806;1.27925;0.0451539
1138;701;1.85969;-285.68;285.686;-0.0411994;1.24927;0.0203884
1161;701;0.601646;-285.699;285.7;-0.0648647;1.25555;0.0174405
1184;701;-1.22771;-285.719;285.722;-0.065037;1.25687;-0.0156128
1207;701;-2.50946;-286.842;286.853;-0.0672268;1.25627;-0.0512549
1230;701;-4.51018;-288.309;288.345;-0.0652289;1.22687;-0.0892165
1253;701;-5.78472;-290.656;290.714;-0.0477259;1.14747;-0.108763
1276;701;-7.00106;-292.89;292.974;-0.0516337;1.07913;-0.0962171
1299;701;-8.39257;-294.478;294.598;-0.0568554;1.0251;-0.0987417
1322;701;-9.85889;-296.65;296.814;-0.0602424;0.978996;-0.115691
1345;701;-11.4649;-298.753;298.973;-0.0594863;0.923633;-0.123948
1368;701;-12.9028;-301.013;301.289;-0.0537093;0.868907;-0.131564
1391;701;-14.2085;-302.946;303.279;-0.0494866;0.81722;-0.141382
1414;701;-15.4424;-305.227;305.618;-0.0506757;0.742594;-0.150868
1437;701;-16.8495;-307.587;308.048;-0.0451942;0.674116;-0.141963
1460;701;-17.7504;-309.196;309.705;-0.0365579;0.626593;-0.136098
1483;701;-18.6906;-310.945;311.506;-0.0467003;0.614026;-0.146169
1506;701;-20.0602;-312.283;312.927;-0.065765;0.611231;-0.131289
1529;701;-21.8576;-312.683;313.446;-0.0751245;0.576501;-0.109663
1552;701;-23.659;-312.739;313.633;-0.0819726;0.577518;-0.106912
1575;701;-25.7977;-312.453;313.516;-0.0957674;0.582345;-0.0911744
1598;701;-28.3255;-311.236;312.522;-0.114105;0.562884;-0.0548082
1621;701;-31.5755;-308.543;310.154;-0.0926541;0.568276;-0.0763295
1644;701;-32.8749;-308.841;310.586;-0.0548165;0.847399;-0.147466
678;724;32.8969;-300.569;302.363;-0.119404;0.513997;0.0334304
701;724;29.9359;-301.62;303.102;-0.1126;0.509793;0.0421166
724;724;27.3559;-302.162;303.398;-0.0909818;0.531753;0.0622076
747;724;25.5369;-302.189;303.266;-0.0787767;0.549875;0.0890473
770;724;23.5607;-300.99;301.91;-0.0693042;0.597238;0.131075
793;724;22.0605;-298.387;299.201;-0.0509503;0.63742;0.167074
816;724;20.7559;-295.112;295.841;-0.0491827;0.707492;0.174604
839;724;19.2598;-291.931;292.566;-0.0562109;0.775188;0.169891
862;724;17.6285;-288.783;289.32;-0.0461711;0.818385;0.163734
885;724;16.6541;-285.804;286.289;-0.0424987;0.839191;0.147245
908;724;15.3114;-283.495;283.909;-0.0514951;0.867691;0.129157
931;724;13.9931;-281.354;281.702;-0.0464637;0.943839;0.127419
954;724;12.9043;-279.134;279.432;-0.0420394;1.00387;0.136182
977;724;11.7692;-276.691;276.942;-0.0425641;1.02921;0.128164
1000;724;10.6807;-274.718;274.926;-0.0398723;1.07546;0.122267
1023;724;9.72261;-272.773;272.946;-0.0384107;1.12508;0.125679
1046;724;8.69525;-270.698;270.838;-0.0450673;1.18582;0.108774
1069;724;7.46812;-269.366;269.47;-0.0539046;1.20366;0.103794
1092;724;6.0024;-267.182;267.249;-0.0604341;1.22181;0.11084
1115;724;4.4337;-265.598;265.634;-0.0641684;1.27281;0.0711291
1138;724;2.91332;-265.423;265.439;-0.0602614;1.28823;0.0358691
1161;724;1.57082;-265.194;265.199;-0.0679179;1.32942;0.0144393
1184;724;-0.326764;-265.824;265.824;-0.0808854;1.2949;-0.00866165
1207;724;-2.33437;-266.506;266.516;-0.0945313;1.29264;-0.0393432
1230;724;-4.96789;-268.145;268.191;-0.0813302;1.21761;-0.0937154
1253;724;-6.51957;-271.336;271.414;-0.054204;1.17095;-0.127461
1276;724;-7.98067;-274.367;274.483;-0.0566399;1.13799;-0.121947
1299;724;-9.56144;-276.895;277.06;-0.0635644;1.07077;-0.120256
1322;724;-11.3384;-279.717;279.947;-0.0653174;1.01591;-0.132349
1345;724;-13.0651;-282.695;282.997;-0.0712395;0.958685;-0.139186
1368;724;-15.1917;-285.895;286.299;-0.0744837;0.902017;-0.146773
1391;724;-17.0739;-288.82;289.324;-0.0616586;0.829233;-0.152045
1414;724;-18.5435;-291.912;292.5;-0.0508931;0.753129;-0.158578
1437;724;-19.9289;-295.075;295.747;-0.0410983;0.707177;-0.15764
1460;724;-20.8964;-297.995;298.726;-0.0555424;0.646912;-0.140354
1483;724;-22.8243;-299.865;300.733;-0.0805025;0.619249;-0.115076
1506;724;-24.8613;-300.887;301.913;-0.0727725;0.613186;-0.110266
1529;724;-26.3549;-301.957;303.105;-0.0749847;0.587667;-0.101329
1552;724;-28.4775;-302.395;303.733;-0.0943974;0.568007;-0.0809487
1575;724;-30.9241;-301.935;303.514;-0.109306;0.567625;-0.0619128
1598;724;-33.8363;-301.088;302.983;-0.109331;0.560876;-0.0523013
1621;724;-36.3204;-299.779;301.971;-0.0741905;0.49048;-0.0369347
1644;724;-37.5248;-297.658;300.014;-0.0467422;0.508469;-0.0330877
678;747;35.0284;-291.479;293.576;-0.0987038;0.489171;-0.00333326
701;747;32.6143;-292.368;294.182;-0.102751;0.478112;0.0114128
724;747;30.0056;-292.904;294.437;-0.0944875;0.485118;0.0360662
747;747;28.0405;-292.309;293.651;-0.0768863;0.513779;0.0810361
770;747;26.2109;-289.85;291.033;-0.0558888;0.568118;0.131087
793;747;24.9946;-286.442;287.53;-0.0432631;0.616472;0.165835
816;747;23.4646;-281.975;282.949;-0.0551765;0.712595;0.169473
839;747;21.5952;-278.215;279.052;-0.063439;0.781233;0.151322
862;747;19.845;-274.803;275.519;-0.0546941;0.804494;0.147796
885;747;18.5112;-271.676;272.306;-0.0445558;0.824916;0.140283
908;747;17.3032;-268.572;269.129;-0.0415618;0.864105;0.147609
931;747;16.0792;-265.2;265.687;-0.0410326;0.910685;0.154987
954;747;14.9009;-262.123;262.546;-0.0415758;0.95635;0.1487
977;747;13.7077;-259.15;259.512;-0.0378083;1.00599;0.13748
1000;747;12.7922;-256.688;257.006;-0.0344324;1.04555;0.134631
1023;747;11.8125;-254.145;254.42;-0.0410073;1.13798;0.144009
1046;747;10.5293;-251.254;251.474;-0.0598729;1.19999;0.125644
1069;747;8.69225;-249.252;249.403;-0.0571146;1.24332;0.110252
1092;747;7.62847;-247.161;247.279;-0.0525761;1.22654;0.114447
1115;747;6.00574;-245.076;245.149;-0.0629714;1.26469;0.0805271
1138;747;4.56551;-244.729;244.771;-0.0657151;1.31434;0.0571741
1161;747;2.85555;-243.739;243.755;-0.0821654;1.36366;0.0285189
1184;747;0.616131;-244.584;244.585;-0.0921496;1.4055;-0.0223245
1207;747;-1.64755;-245.746;245.752;-0.0934472;1.34676;-0.0710602
1230;747;-4.14598;-249.052;249.087;-0.0823476;1.22152;-0.118657
1253;747;-6.16257;-252.565;252.64;-0.0748305;1.12167;-0.112741
1276;747;-8.24238;-255.641;255.773;-0.0722358;1.09606;-0.111967
