x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
678;632;-0.110416;-111.007;111.007;-0.0167791;0.129862;0.0767066
701;632;-0.503155;-111.406;111.407;-0.00777995;0.0953526;0.0692715
724;632;-0.471446;-111.406;111.407;-0.000784143;0.0781956;0.0617274
747;632;-0.53928;-111.466;111.468;-0.00380129;0.074199;0.0550224
770;632;-0.646916;-111.565;111.567;0.000653365;0.0799601;0.0592461
793;632;-0.509395;-111.345;111.346;0.0002687;0.0812222;0.0566836
816;632;-0.635088;-111.344;111.346;-0.0023084;0.0950953;0.0588504
839;632;-0.61579;-111.256;111.257;0.00349428;0.0906645;0.0508527
862;632;-0.474749;-111.24;111.241;0.00280207;0.100805;0.0463602
885;632;-0.487271;-111.122;111.123;-0.00222628;0.0997311;0.0454925
908;632;-0.577361;-111.15;111.151;-0.0015498;0.113846;0.0426339
931;632;-0.558618;-111.109;111.111;-0.00226014;0.121475;0.0382597
954;632;-0.681451;-111.173;111.175;9.88254e-05;0.124903;0.0403549
977;632;-0.554505;-110.91;110.911;-0.00142344;0.128883;0.03357
1000;632;-0.747027;-111.104;111.107;-0.00634573;0.142909;0.026896
1023;632;-0.848075;-111.169;111.172;0.000755527;0.14224;0.0275186
1046;632;-0.712356;-111.185;111.187;0.00158051;0.150706;0.0243335
1069;632;-0.775509;-111.083;111.086;-0.00355506;0.15677;0.0177991
1092;632;-0.876243;-111.109;111.113;-0.00404679;0.155685;0.0148639
1115;632;-0.962117;-111.168;111.172;-0.00328053;0.152856;0.0120267
1138;632;-1.02742;-111.154;111.159;0.000678896;0.158828;0.00745413
1161;632;-0.930927;-111.116;111.12;-0.000488292;0.161037;-9.63436e-05
1184;632;-1.04991;-111.103;111.108;-0.0052426;0.151351;-0.00144858
1207;632;-1.17326;-110.894;110.9;-0.00667711;0.136009;-0.00745245
1230;632;-1.35848;-110.914;110.923;-0.00318116;0.132269;-0.0140088
1253;632;-1.32094;-111.214;111.222;0.00193718;0.136202;-0.0177804
1276;632;-1.26988;-111.112;111.12;-0.00115736;0.125853;-0.0196868
1299;632;-1.37454;-111.041;111.05;-0.0019135;0.114823;-0.0268244
1322;632;-1.35841;-111.308;111.317;0.00106244;0.117814;-0.0344225
1345;632;-1.32618;-111.254;111.262;-0.00253049;0.10891;-0.0354997
1368;632;-1.47516;-111.446;111.455;-0.00805144;0.102998;-0.0362687
1391;632;-1.69837;-111.425;111.438;-0.00175439;0.0914955;-0.0315638
1414;632;-1.55594;-111.443;111.454;0.00606117;0.0899258;-0.0355267
1437;632;-1.42115;-111.161;111.17;0.00110365;0.0698456;-0.0409694
1460;632;-1.50599;-111.173;111.184;-0.00298793;0.0579003;-0.0403843
1483;632;-1.55885;-111.091;111.102;0.000177916;0.0560395;-0.0433167
1506;632;-1.49782;-111.14;111.15;-0.00317401;0.0537281;-0.0517258
1529;632;-1.70563;-111.314;111.327;0.0030713;0.0599715;-0.0514036
1552;632;-1.35819;-111.505;111.513;-0.00367377;0.0692801;-0.0585096
1575;632;-1.875;-111.387;111.403;-0.0109999;0.0703271;-0.0531793
1598;632;-1.86736;-111.324;111.34;-0.008779;0.0933442;-0.0661029
1621;632;-2.28175;-111.066;111.089;-0.0136993;0.133912;-0.072219
1644;632;-2.51649;-110.174;110.202;-0.0094021;0.127333;-0.0675834
