x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
678;632;-0.056864;-143.873;143.873;-0.0241601;0.175985;0.097873
701;632;-0.626753;-144.447;144.448;-0.0112977;0.129094;0.0887899
724;632;-0.582511;-144.394;144.395;-0.00141524;0.104815;0.0793065
747;632;-0.691959;-144.52;144.522;-0.00503649;0.101176;0.0695895
770;632;-0.815393;-144.632;144.634;0.000600768;0.105784;0.0742889
793;632;-0.664506;-144.394;144.396;-0.000700543;0.109344;0.0712192
816;632;-0.84847;-144.354;144.356;-0.00326333;0.12449;0.0734132
839;632;-0.814938;-144.312;144.315;0.00523617;0.121259;0.0640984
862;632;-0.608378;-144.238;144.239;0.00376784;0.132438;0.0585375
885;632;-0.642296;-144.132;144.133;-0.00288346;0.131482;0.0548466
908;632;-0.741221;-144.205;144.207;-0.0015492;0.152254;0.0521839
931;632;-0.713617;-144.117;144.119;-0.00304088;0.161933;0.0480873
954;632;-0.881317;-144.22;144.222;-0.000179373;0.167899;0.0502848
977;632;-0.722502;-143.876;143.878;-0.00158325;0.172427;0.0420716
1000;632;-0.954341;-144.108;144.111;-0.00713589;0.189424;0.0336041
1023;632;-1.05289;-144.171;144.175;0.000402775;0.191879;0.0333845
1046;632;-0.935927;-144.208;144.211;0.000388368;0.200242;0.0294826
1069;632;-1.03504;-144.139;144.143;-0.0043558;0.210623;0.022081
1092;632;-1.13674;-144.179;144.184;-0.00377974;0.212328;0.0190881
1115;632;-1.20932;-144.227;144.232;-0.00314344;0.203991;0.0153016
1138;632;-1.28157;-144.196;144.201;0.000593377;0.212514;0.0103972
1161;632;-1.18219;-144.108;144.112;-0.00137643;0.213072;0.000815799
1184;632;-1.34504;-144.093;144.099;-0.00635607;0.199996;-0.00214921
1207;632;-1.47585;-143.929;143.937;-0.00738388;0.185399;-0.00976067
1230;632;-1.68619;-143.951;143.96;-0.00383866;0.179924;-0.0163171
1253;632;-1.65417;-144.288;144.297;0.00248813;0.1833;-0.0210638
1276;632;-1.57265;-144.217;144.226;-0.000908886;0.169957;-0.0242861
1299;632;-1.6962;-144.154;144.164;-0.00234712;0.158673;-0.0328413
1322;632;-1.68118;-144.417;144.426;0.000785636;0.161939;-0.0412597
1345;632;-1.6605;-144.353;144.362;-0.00319983;0.146842;-0.0435376
1368;632;-1.82888;-144.577;144.589;-0.0100086;0.139023;-0.044555
1391;632;-2.12353;-144.52;144.535;-0.00181911;0.12085;-0.0381784
