x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
678;632;0.164337;-233.757;233.757;-0.0363943;0.302627;0.148806
701;632;-0.707008;-234.661;234.662;-0.0181496;0.247597;0.13872
724;632;-0.686516;-234.621;234.622;-0.00435596;0.197846;0.12478
747;632;-0.907942;-234.767;234.769;-0.00899309;0.187449;0.107986
770;632;-1.10327;-234.95;234.953;0.000205161;0.192633;0.111911
793;632;-0.898736;-234.621;234.623;-0.0023406;0.19985;0.107015
816;632;-1.21265;-234.568;234.571;-0.00513983;0.223843;0.108702
839;632;-1.13596;-234.492;234.495;0.00752373;0.222604;0.0945871
862;632;-0.867985;-234.458;234.459;0.00494079;0.245555;0.0863778
885;632;-0.909644;-234.3;234.301;-0.00329653;0.244262;0.0803733
908;632;-1.02009;-234.318;234.32;-0.0021912;0.275951;0.0755259
931;632;-1.01056;-234.266;234.268;-0.00326047;0.305317;0.0706583
954;632;-1.17047;-234.438;234.441;0.000890585;0.316589;0.0732187
977;632;-0.971545;-233.844;233.846;-0.00300528;0.318753;0.0595991
1000;632;-1.30916;-234.292;234.295;-0.0101264;0.356639;0.0472466
1023;632;-1.44226;-234.324;234.328;-0.000379282;0.353031;0.0493421
1046;632;-1.32664;-234.343;234.346;-0.00101216;0.370567;0.0433283
1069;632;-1.48885;-234.3;234.305;-0.00622845;0.390409;0.0340537
1092;632;-1.61407;-234.297;234.302;-0.00370797;0.390897;0.0289118
1115;632;-1.65998;-234.451;234.457;-0.0020624;0.380312;0.0222545
1138;632;-1.70923;-234.429;234.436;0.00131401;0.394325;0.0162684
1161;632;-1.59971;-234.339;234.345;-0.00204588;0.40135;0.00527394
1184;632;-1.80374;-234.264;234.27;-0.00803;0.369798;6.23599e-05
1207;632;-1.97158;-234.039;234.047;-0.00846294;0.356758;-0.0129806
1230;632;-2.19492;-234.118;234.129;-0.00638717;0.345166;-0.0225583
1253;632;-2.26899;-234.532;234.543;0.00132559;0.341686;-0.0259644
1276;632;-2.13492;-234.412;234.421;-0.001302;0.318638;-0.0320626
1299;632;-2.3291;-234.405;234.417;-0.00343629;0.301395;-0.0462724
1322;632;-2.29504;-234.816;234.827;0.0012042;0.306838;-0.0585659
1345;632;-2.27466;-234.697;234.708;-0.00464774;0.271165;-0.0581979
1368;632;-2.50951;-234.94;234.954;-0.0137711;0.264465;-0.0624751
1391;632;-2.91284;-234.857;234.875;-0.00235723;0.229872;-0.0567516
1414;632;-2.61807;-234.951;234.965;0.0079193;0.221368;-0.0636084
1437;632;-2.55259;-234.365;234.379;-0.000347092;0.17751;-0.0722437
1460;632;-2.63544;-234.592;234.606;-0.00247534;0.162119;-0.0801294
1483;632;-2.66745;-234.643;234.659;0.000969837;0.165874;-0.0863432
1506;632;-2.59094;-234.682;234.696;-0.0075205;0.158392;-0.0974451
1529;632;-3.01521;-234.859;234.878;0.000649849;0.155474;-0.0985397
1552;632;-2.56424;-235.223;235.237;-0.00813227;0.178233;-0.110971
1575;632;-3.39094;-234.962;234.987;-0.0184852;0.179853;-0.103389
1598;632;-3.42447;-234.809;234.834;-0.0170774;0.226211;-0.129952
1621;632;-4.18617;-234.456;234.493;-0.0452777;0.295975;-0.128279
1644;632;-5.62517;-232.358;232.427;-0.056451;0.198856;-0.0886688
678;655;8.42081;-228.811;228.965;-0.0848874;0.311262;0.107342
701;655;6.31514;-230.428;230.515;-0.0675663;0.291573;0.112699
724;655;5.13975;-231.08;231.138;-0.042744;0.246511;0.115845
747;655;4.29626;-231.305;231.345;-0.0253142;0.246745;0.116122
770;655;3.95931;-231.358;231.391;-0.0104039;0.257092;0.122669
793;655;3.81259;-230.821;230.852;-0.00458383;0.264055;0.1213
816;655;3.73668;-230.341;230.371;-0.0148981;0.286907;0.113412
839;655;3.11743;-230.171;230.192;-0.0164045;0.30957;0.105902
862;655;2.97028;-229.636;229.655;-0.00859612;0.328231;0.096442
885;655;2.71496;-229.474;229.49;-0.0113041;0.346338;0.0920056
908;655;2.44097;-228.875;228.888;-0.00806343;0.367453;0.0933395
931;655;2.32661;-228.268;228.28;-0.0110061;0.394405;0.0824718
954;655;1.92699;-228.209;228.217;-0.0137355;0.418036;0.0783444
977;655;1.68441;-227.533;227.539;-0.0154299;0.423732;0.074182
1000;655;1.20235;-227.291;227.294;-0.0177201;0.449554;0.0585615
1023;655;0.861645;-227.37;227.372;-0.0118555;0.458723;0.0526752
1046;655;0.653125;-227.058;227.059;-0.0172199;0.484718;0.0549995
1069;655;0.0567921;-226.646;226.646;-0.0178641;0.506424;0.0451183
1092;655;-0.178134;-226.629;226.629;-0.0129986;0.513191;0.0268328
1115;655;-0.546118;-226.953;226.954;-0.0184896;0.513533;0.0236688
1138;655;-1.03669;-226.676;226.679;-0.0197865;0.531426;0.0253917
1161;655;-1.4682;-226.459;226.463;-0.0207202;0.527006;0.00355388
1184;655;-2.00061;-226.929;226.937;-0.0257205;0.51043;-0.00545874
1207;655;-2.66954;-226.939;226.955;-0.0197011;0.486168;-0.012961
1230;655;-2.91694;-227.224;227.243;-0.0128722;0.470729;-0.0284569
1253;655;-3.27202;-227.707;227.731;-0.0165688;0.461603;-0.0363913
1276;655;-3.69257;-228.023;228.053;-0.0200586;0.431733;-0.0440784
1299;655;-4.20871;-228.348;228.386;-0.0237048;0.410392;-0.0518034
1322;655;-4.80144;-228.707;228.757;-0.0144456;0.391644;-0.0630907
1345;655;-4.88712;-229.253;229.305;-0.0110912;0.36562;-0.0706538
1368;655;-5.32408;-229.64;229.702;-0.0135274;0.343346;-0.0757681
1391;655;-5.52335;-230.191;230.257;-0.0103838;0.315654;-0.0772373
1414;655;-5.81254;-230.51;230.583;-0.0120235;0.304647;-0.0839684
1437;655;-6.08423;-230.826;230.906;-0.00759827;0.271322;-0.0948637
1460;655;-6.17135;-231.361;231.444;-0.0107318;0.254633;-0.0934348
1483;655;-6.58409;-231.392;231.485;-0.0175032;0.237707;-0.091717
1506;655;-6.98463;-231.657;231.762;-0.0140916;0.230244;-0.104355
1529;655;-7.23942;-231.866;231.979;-0.0143746;0.239883;-0.108089
1552;655;-7.65147;-231.923;232.05;-0.0265741;0.253009;-0.114481
1575;655;-8.47913;-231.63;231.785;-0.0455392;0.260841;-0.106098
1598;655;-9.80976;-230.836;231.044;-0.0714888;0.302056;-0.106572
1621;655;-11.948;-229.493;229.804;-0.0567268;0.337261;-0.129561
1644;655;-12.5342;-229.059;229.402;-0.0249817;0.269589;-0.136453
678;678;15.4147;-223.183;223.714;-0.0804429;0.327328;0.0810915
701;678;13.4398;-224.538;224.94;-0.0788319;0.343835;0.0859989
724;678;11.5541;-225.763;226.058;-0.0636396;0.327909;0.0997935
747;678;10.3971;-225.699;225.939;-0.0392228;0.328947;0.119566
770;678;9.71141;-225.389;225.598;-0.0281264;0.340157;0.121368
793;678;9.07193;-224.638;224.821;-0.0239204;0.360607;0.123273
816;678;8.56561;-223.695;223.859;-0.0248537;0.38943;0.121029
839;678;7.87025;-222.656;222.795;-0.0287021;0.417112;0.115674
862;678;7.18577;-221.804;221.921;-0.0252454;0.440036;0.106093
885;678;6.66079;-220.933;221.033;-0.0237367;0.486536;0.101219
908;678;6.04984;-220.142;220.226;-0.0184667;0.5171;0.100473
931;678;5.7668;-219.117;219.193;-0.0190233;0.522132;0.0919979
954;678;5.13366;-218.427;218.488;-0.022358;0.549619;0.0828837
977;678;4.70022;-217.578;217.629;-0.0250024;0.579193;0.075345
1000;678;3.94969;-217.118;217.154;-0.033263;0.597423;0.0617812
1023;678;3.13682;-216.791;216.814;-0.0245222;0.62409;0.06468
1046;678;2.79146;-215.919;215.937;-0.0212276;0.643223;0.0696207
1069;678;2.11938;-215.138;215.148;-0.0310215;0.664715;0.0562325
1092;678;1.32954;-214.882;214.886;-0.031902;0.697284;0.032308
1115;678;0.627482;-214.999;215;-0.0294845;0.723878;0.0280025
1138;678;-0.0501499;-214.382;214.382;-0.0325051;0.714775;0.0278093
1161;678;-0.89669;-214.416;214.418;-0.0334347;0.70704;0.00354737
1184;678;-1.61745;-214.872;214.878;-0.0395348;0.715513;-0.0146025
1207;678;-2.76463;-215.441;215.459;-0.0452546;0.688063;-0.0220287
1230;678;-3.76417;-216.043;216.076;-0.0376057;0.665037;-0.0380479
1253;678;-4.54856;-216.78;216.827;-0.0339252;0.629727;-0.0499122
1276;678;-5.38312;-217.702;217.768;-0.0360399;0.592645;-0.0560231
1299;678;-6.26925;-218.46;218.55;-0.0329307;0.569418;-0.0647495
1322;678;-6.96281;-219.565;219.676;-0.0278614;0.532763;-0.0711725
1345;678;-7.61171;-220.408;220.539;-0.0287931;0.510023;-0.0824711
1368;678;-8.3482;-221.485;221.642;-0.0283205;0.475964;-0.0901152
1391;678;-8.97871;-222.418;222.6;-0.0269147;0.454906;-0.0907137
1414;678;-9.6297;-223.019;223.226;-0.0277216;0.420099;-0.0926586
1437;678;-10.2922;-223.758;223.995;-0.0208774;0.383271;-0.103905
1460;678;-10.6298;-224.648;224.899;-0.0124149;0.370672;-0.109809
1483;678;-10.8957;-225.378;225.641;-0.0238629;0.343805;-0.105941
1506;678;-11.757;-225.851;226.157;-0.0401309;0.330424;-0.0983367
1529;678;-12.782;-225.761;226.123;-0.0409298;0.338239;-0.104285
1552;678;-13.68;-225.877;226.291;-0.04724;0.348901;-0.108257
1575;678;-15.0103;-225.421;225.92;-0.0663505;0.35857;-0.0933978
1598;678;-16.8767;-224.123;224.757;-0.0857944;0.372293;-0.0857901
1621;678;-19.2208;-222.86;223.687;-0.0567318;0.398923;-0.112376
1644;678;-19.5789;-223.021;223.879;-0.0154225;0.44526;-0.142901
678;701;20.3192;-216.848;217.798;-0.0735208;0.329475;0.0528958
701;701;18.5333;-217.932;218.718;-0.0776644;0.341312;0.051965
724;701;16.5413;-218.997;219.621;-0.0682441;0.358793;0.0674623
747;701;15.263;-219.1;219.631;-0.0524387;0.34921;0.0890309
770;701;14.0604;-218.591;219.043;-0.0431633;0.359102;0.10434
793;701;13.1918;-217.204;217.605;-0.0316124;0.384491;0.117034
816;701;12.483;-215.616;215.977;-0.0348641;0.422329;0.110794
839;701;11.4726;-214.434;214.741;-0.0388022;0.454568;0.104573
862;701;10.586;-213.024;213.287;-0.031548;0.493661;0.109148
885;701;9.88427;-211.258;211.489;-0.0260805;0.527066;0.111911
908;701;9.24072;-209.621;209.825;-0.0288059;0.551568;0.0935311
931;701;8.47106;-208.786;208.958;-0.0372002;0.566614;0.0765853
954;701;7.45858;-207.791;207.925;-0.0333695;0.594817;0.0880815
977;701;6.83121;-206.148;206.261;-0.032224;0.623691;0.0816369
1000;701;5.88198;-205.303;205.387;-0.0357804;0.651227;0.0669388
1023;701;5.12522;-204.53;204.594;-0.0257458;0.682117;0.0685924
1046;701;4.65028;-203.617;203.67;-0.028162;0.701183;0.0685294
1069;701;3.76652;-202.537;202.572;-0.0410319;0.70398;0.0667279
1092;701;2.67175;-201.504;201.522;-0.0515395;0.747393;0.0529587
1115;701;1.30442;-201.009;201.013;-0.0424834;0.788211;0.0299549
1138;701;0.67121;-200.997;200.998;-0.0351742;0.767576;0.0159855
1161;701;-0.343095;-200.996;200.996;-0.0509437;0.773563;0.0093933
1184;701;-1.73565;-201.207;201.215;-0.053813;0.772405;-0.012673
1207;701;-2.90131;-202.032;202.053;-0.0561487;0.77217;-0.0312848
1230;701;-4.43347;-203.024;203.072;-0.0522916;0.750733;-0.0541696
1253;701;-5.44873;-204.597;204.669;-0.0410694;0.701991;-0.0663057
1276;701;-6.46919;-206.079;206.181;-0.0432629;0.665324;-0.0614836
1299;701;-7.55847;-207.157;207.295;-0.0450104;0.632264;-0.0654312
1322;701;-8.66736;-208.709;208.889;-0.0477204;0.601204;-0.076397
1345;701;-9.90551;-210.067;210.3;-0.0470962;0.562582;-0.0819334
1368;701;-10.9844;-211.623;211.908;-0.0412661;0.527777;-0.0893706
1391;701;-11.9388;-212.946;213.28;-0.0352495;0.496456;-0.0964323
1414;701;-12.7285;-214.493;214.871;-0.0342682;0.45536;-0.105599
1437;701;-13.6594;-216.157;216.589;-0.0310317;0.416252;-0.101189
1460;701;-14.2612;-217.201;217.669;-0.0274739;0.389221;-0.0948962
1483;701;-14.989;-218.228;218.742;-0.0343829;0.376658;-0.10151
1506;701;-15.9096;-219.051;219.628;-0.0470645;0.374322;-0.0926559
1529;701;-17.2172;-219.147;219.823;-0.0562938;0.360895;-0.0799946
1552;701;-18.5764;-218.99;219.776;-0.0613745;0.364455;-0.0778922
1575;701;-20.1378;-218.49;219.416;-0.0738904;0.370226;-0.0671121
1598;701;-22.1431;-217.343;218.468;-0.0869913;0.361088;-0.0440903
1621;701;-24.4682;-215.099;216.486;-0.0650935;0.361999;-0.0307505
1644;701;-25.4478;-213.143;214.657;-0.0380706;0.438273;-0.0418873
678;724;23.6882;-210.515;211.844;-0.0836364;0.308432;0.0223083
701;724;21.6563;-211.437;212.543;-0.0790433;0.319886;0.0271638
724;724;19.8679;-212.052;212.981;-0.0660657;0.333158;0.0390507
