x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;655;7.67717;-276.951;277.057;-0.0607779;0.416178;0.150108
678;655;6.21872;-277.763;277.832;-0.0394458;0.315513;0.140593
701;655;5.81154;-278.057;278.117;-0.0143202;0.280688;0.135471
724;655;5.55475;-277.965;278.02;-0.0185849;0.242976;0.114103
747;655;4.94845;-278.145;278.189;-0.00961416;0.227646;0.104739
770;655;5.10824;-278.403;278.45;0.00332995;0.225014;0.0933264
793;655;5.10127;-278.242;278.289;-0.00933399;0.207073;0.0809891
816;655;4.6767;-278.522;278.561;-0.00661989;0.218074;0.0768569
839;655;4.79411;-278.628;278.669;-0.00356877;0.216181;0.067743
862;655;4.51221;-278.579;278.615;-0.00153452;0.208627;0.0690761
885;655;4.72299;-278.419;278.459;0.000176558;0.196468;0.0527019
908;655;4.5202;-278.687;278.724;-0.00874522;0.213551;0.0476536
931;655;4.31802;-278.708;278.742;-0.00598488;0.215059;0.0537215
954;655;4.24358;-278.476;278.508;-0.00111005;0.207299;0.0455532
977;655;4.26639;-278.485;278.518;0.00545634;0.195124;0.0356339
1000;655;4.49388;-278.446;278.482;0.000593542;0.191452;0.0246669
1023;655;4.29367;-278.52;278.553;-0.00440379;0.198548;0.0249736
1046;655;4.29078;-278.53;278.563;-0.00227147;0.194666;0.0190423
1069;655;4.18905;-278.555;278.586;-0.00929745;0.209535;0.017041
1092;655;3.86109;-278.555;278.582;-0.00123813;0.198193;0.0125881
1115;655;4.13117;-278.841;278.872;0.00371739;0.20596;-0.00121089
1138;655;4.03144;-278.73;278.759;-0.000423707;0.193802;-0.00175541
1161;655;4.11136;-278.672;278.702;-0.000650807;0.18566;-0.0123366
1184;655;4.00149;-278.716;278.744;-0.00581413;0.201604;-0.0228722
1207;655;3.8422;-278.962;278.989;-0.00414067;0.206668;-0.022242
1230;655;3.80978;-278.993;279.019;-0.00450842;0.212092;-0.0206634
1253;655;3.6343;-278.894;278.917;-0.00452868;0.203161;-0.0284102
1276;655;3.60098;-279.019;279.043;-0.0016153;0.200612;-0.037604
1299;655;3.55881;-279.215;279.237;-0.00324904;0.20562;-0.041029
1322;655;3.45099;-279.182;279.203;0.00551576;0.204834;-0.0438112
1345;655;3.81175;-279.306;279.332;0.00345968;0.211615;-0.0569175
1368;655;3.60966;-279.321;279.344;-0.00720445;0.206416;-0.0574016
1391;655;3.47914;-279.318;279.34;-0.0124767;0.198153;-0.0631406
1414;655;3.0321;-279.317;279.334;-0.00588267;0.213708;-0.0652303
1437;655;3.20731;-279.121;279.14;0.00667594;0.203428;-0.0787552
1460;655;3.33807;-279.219;279.239;-0.0107081;0.229363;-0.0899265
1483;655;2.71194;-279.009;279.023;-0.0134427;0.214146;-0.0907658
1506;655;2.71546;-279.272;279.286;-0.00465607;0.236413;-0.110893
