Time,Displacement,Force
(s),(mm),(N)
"0.0000","-0.0025","0.0524"
"0.0460","-0.0007","0.0786"
"0.0640","0.0031","0.1045"
"0.0950","0.0081","0.1303"
"0.1060","0.0104","0.1567"
"0.1140","0.0130","0.1833"
"0.1210","0.0160","0.2094"
"0.1280","0.0196","0.2360"
"0.1350","0.0235","0.2619"
"0.1430","0.0282","0.2884"
"0.1530","0.0339","0.3137"
"0.1690","0.0421","0.3388"
"0.1900","0.0517","0.3641"
"0.2100","0.0603","0.3899"
"0.2280","0.0677","0.4158"
"0.2530","0.0782","0.4415"
"0.2860","0.0912","0.4672"
"0.3080","0.0998","0.4928"
"0.3270","0.1078","0.5188"
"0.3500","0.1173","0.5441"
"0.3800","0.1296","0.5700"
"0.4120","0.1424","0.5952"
"0.4390","0.1525","0.6206"
"0.4600","0.1612","0.6464"
"0.4920","0.1744","0.6721"
"0.5210","0.1862","0.6979"
"0.5510","0.1982","0.7232"
"0.5820","0.2102","0.7487"
"0.6110","0.2222","0.7738"
"0.6380","0.2331","0.7989"
"0.6640","0.2438","0.8241"
"0.7060","0.2601","0.8500"
"0.7340","0.2715","0.8752"
"0.7690","0.2852","0.9007"
"0.7950","0.2961","0.9266"
"0.8420","0.3141","0.9523"
"0.8680","0.3246","0.9776"
"0.8980","0.3370","1.0028"
"0.9360","0.3519","1.0280"
"0.9760","0.3678","1.0536"
"1.0020","0.3781","1.0789"
"1.0340","0.3913","1.1043"
"1.0710","0.4064","1.1299"
"1.1120","0.4222","1.1551"
"1.1380","0.4329","1.1808"
"1.1830","0.4508","1.2062"
"1.2080","0.4612","1.2313"
"1.2550","0.4794","1.2570"
"1.2850","0.4916","1.2824"
"1.3210","0.5062","1.3076"
"1.3500","0.5181","1.3330"
"1.3990","0.5372","1.3584"
"1.4300","0.5499","1.3837"
"1.4630","0.5632","1.4091"
"1.5170","0.5842","1.4341"
"1.5440","0.5950","1.4598"
"1.5800","0.6097","1.4853"
"1.6160","0.6242","1.5107"
"1.6660","0.6434","1.5367"
"1.6920","0.6540","1.5618"
"1.7310","0.6701","1.5869"
"1.7760","0.6879","1.6123"
"1.8060","0.6998","1.6380"
"1.8460","0.7166","1.6634"
"1.8860","0.7324","1.6887"
"1.9290","0.7488","1.7143"
"1.9610","0.7620","1.7396"
"2.0030","0.7790","1.7651"
"2.0420","0.7947","1.7905"
"2.0860","0.8118","1.8157"
"2.1200","0.8257","1.8409"
"2.1500","0.8380","1.8661"
"2.2060","0.8599","1.8917"
"2.2360","0.8722","1.9173"
"2.2780","0.8888","1.9430"
"2.3260","0.9082","1.9681"
"2.3590","0.9210","1.9934"
"2.4030","0.9387","2.0186"
"2.4400","0.9536","2.0444"
"2.4830","0.9706","2.0700"
"2.5210","0.9859","2.0952"
"2.5600","1.0019","2.1205"
"2.6030","1.0189","2.1455"
"2.6460","1.0361","2.1710"
"2.6830","1.0507","2.1964"
"2.7230","1.0674","2.2217"
"2.7710","1.0857","2.2472"
"2.8060","1.1001","2.2729"
"2.8420","1.1148","2.2981"
"2.8970","1.1362","2.3232"
"2.9270","1.1484","2.3489"
"2.9680","1.1652","2.3745"
"3.0190","1.1851","2.4000"
"3.0490","1.1973","2.4255"
"3.1030","1.2187","2.4510"
"3.1440","1.2352","2.4760"
"3.1820","1.2498","2.5015"
"3.2240","1.2673","2.5267"
"3.2600","1.2819","2.5520"
"3.3110","1.3017","2.5770"
"3.3510","1.3181","2.6025"
"3.3800","1.3301","2.6276"
"3.4430","1.3544","2.6532"
"3.4750","1.3678","2.6786"
"3.5160","1.3840","2.7039"
"3.5690","1.4053","2.7294"
"3.6010","1.4180","2.7546"
"3.6440","1.4355","2.7801"
"3.6950","1.4558","2.8054"
"3.7270","1.4687","2.8309"
"3.7780","1.4890","2.8566"
"3.8340","1.5108","2.8816"
"3.8640","1.5226","2.9069"
"3.9060","1.5401","2.9325"
"3.9420","1.5546","2.9577"
"3.9960","1.5755","2.9828"
"4.0360","1.5921","3.0080"
"4.0680","1.6052","3.0334"
"4.1260","1.6280","3.0592"
"4.1660","1.6443","3.0848"
"4.2100","1.6620","3.1099"
"4.2620","1.6818","3.1351"
"4.2950","1.6958","3.1603"
"4.3480","1.7171","3.1856"
"4.3870","1.7323","3.2107"
"4.4270","1.7488","3.2362"
"4.4740","1.7679","3.2618"
"4.5290","1.7888","3.2874"
"4.5700","1.8057","3.3127"
"4.6080","1.8208","3.3384"
"4.6660","1.8434","3.3637"
"4.7010","1.8578","3.3888"
"4.7370","1.8724","3.4138"
"4.7940","1.8950","3.4389"
"4.8280","1.9088","3.4641"
"4.8710","1.9262","3.4892"
"4.9260","1.9478","3.5144"
"4.9570","1.9604","3.5395"
"5.0110","1.9820","3.5649"
"5.0550","1.9997","3.5903"
"5.0950","2.0157","3.6156"
"5.1430","2.0351","3.6408"
"5.1850","2.0520","3.6659"
"5.2360","2.0722","3.6909"
"5.2790","2.0893","3.7161"
"5.3360","2.1118","3.7414"
"5.3730","2.1266","3.7672"
"5.4160","2.1439","3.7925"
"5.4690","2.1651","3.8175"
"5.5060","2.1796","3.8431"
"5.5500","2.1976","3.8687"
"5.6080","2.2208","3.8939"
"5.6410","2.2341","3.9192"
"5.6940","2.2553","3.9448"
"5.7440","2.2751","3.9700"
"5.7820","2.2903","3.9951"
"5.8280","2.3091","4.0201"
"5.8850","2.3315","4.0453"
"5.9300","2.3497","4.0708"
"5.9630","2.3631","4.0963"
"6.0270","2.3881","4.1220"
"6.0620","2.4026","4.1474"
"6.1050","2.4196","4.1727"
"6.1690","2.4443","4.1983"
"6.1990","2.4568","4.2234"
"6.2480","2.4770","4.2488"
"6.2990","2.4968","4.2738"
"6.3390","2.5133","4.2991"
"6.3840","2.5317","4.3241"
"6.4390","2.5528","4.3494"
"6.4870","2.5726","4.3748"
"6.5240","2.5874","4.4003"
"6.5790","2.6090","4.4254"
"6.6230","2.6271","4.4510"
"6.6640","2.6438","4.4762"
"6.7200","2.6658","4.5016"
"6.7670","2.6845","4.5269"
"6.8220","2.7068","4.5520"
"6.8590","2.7209","4.5777"
"6.9130","2.7426","4.6031"
"6.9600","2.7615","4.6283"
"7.0060","2.7797","4.6536"
"7.0500","2.7977","4.6791"
"7.1020","2.8185","4.7047"
