x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;655;4.42493;-151.743;151.807;-0.0387863;0.209411;0.0837906
678;655;3.5068;-152.339;152.379;-0.0244837;0.162034;0.0819993
701;655;3.27864;-152.471;152.506;-0.00694961;0.14108;0.0785164
724;655;3.18584;-152.46;152.493;-0.00993742;0.122561;0.0636608
747;655;2.81918;-152.532;152.558;-0.00570072;0.11131;0.0582285
770;655;2.92187;-152.76;152.788;0.00296364;0.114484;0.052245
793;655;2.95517;-152.642;152.67;-0.0049573;0.105894;0.0456633
816;655;2.69321;-152.831;152.855;-0.00376198;0.113882;0.043412
839;655;2.78083;-152.94;152.966;-0.00180988;0.115714;0.0384039
862;655;2.60986;-152.869;152.891;-0.00179031;0.108992;0.03938
885;655;2.69783;-152.712;152.736;-0.00118529;0.100999;0.02979
908;655;2.55514;-152.993;153.015;-0.00522528;0.114771;0.027898
931;655;2.45614;-152.964;152.983;-0.00297606;0.113754;0.0319551
954;655;2.41756;-152.785;152.804;-0.000617049;0.106506;0.0261619
977;655;2.42743;-152.792;152.811;0.00293588;0.101025;0.0206956
1000;655;2.55239;-152.741;152.763;0.00050595;0.098771;0.0145221
1023;655;2.4507;-152.79;152.809;-0.00186299;0.102141;0.0152449
1046;655;2.46661;-152.715;152.734;-0.00147409;0.096925;0.0111081
1069;655;2.38276;-152.706;152.725;-0.00631755;0.102304;0.00991432
1092;655;2.17507;-152.693;152.708;-0.000595428;0.0955645;0.00713235
1115;655;2.35476;-152.942;152.96;0.00146857;0.104;-0.0011874
1138;655;2.24232;-152.847;152.864;-0.00169256;0.0975408;-0.000418909
1161;655;2.27676;-152.856;152.873;0.000100506;0.0947252;-0.0059005
1184;655;2.2469;-152.787;152.804;-0.00293189;0.096649;-0.0117154
1207;655;2.14169;-152.87;152.885;-0.0025339;0.0950628;-0.0128954
1230;655;2.13006;-152.898;152.913;-0.00285022;0.0987631;-0.0133548
1253;655;2.01031;-152.959;152.972;-0.00311974;0.0976862;-0.01579
1276;655;1.98627;-152.97;152.983;-0.00145941;0.0966342;-0.0215176
1299;655;1.94278;-153.137;153.15;-0.00170599;0.10403;-0.023421
1322;655;1.90758;-153.088;153.099;0.00388185;0.102055;-0.0234016
1345;655;2.121;-153.12;153.134;0.00245808;0.101114;-0.0299445
1368;655;2.02045;-153.015;153.028;-0.00459114;0.0915519;-0.0317678
1391;655;1.90922;-153.024;153.036;-0.00717465;0.0910538;-0.0393616
1414;655;1.68845;-153.282;153.291;-0.0020731;0.108832;-0.040199
1437;655;1.81364;-153.126;153.137;0.00380642;0.101115;-0.0457778
1460;655;1.86309;-153.176;153.188;-0.00752774;0.111996;-0.0492467
1483;655;1.4653;-152.865;152.872;-0.00580595;0.0965693;-0.0494921
1506;655;1.59514;-153.082;153.09;-0.00142169;0.111804;-0.0647839
1529;655;1.39907;-153.134;153.141;-0.00862035;0.124943;-0.0691345
1552;655;1.19687;-153.099;153.103;-0.00458145;0.132256;-0.0744042
1575;655;1.18623;-152.75;152.754;-0.0231645;0.150984;-0.0839819
1598;655;0.105209;-151.999;151.999;-0.0725001;0.200758;-0.0262495
1621;655;-2.71897;-146.65;146.675;-0.088207;0.448284;0.0725164
655;678;9.16792;-147.76;148.044;-0.05572;0.214045;0.0561005
678;678;7.79907;-149.223;149.427;-0.0454624;0.183731;0.0637687
701;678;6.98424;-149.692;149.855;-0.0344901;0.15835;0.0687596
724;678;6.1779;-149.97;150.098;-0.027895;0.140675;0.0607724
747;678;5.67903;-150.261;150.369;-0.0171822;0.13243;0.0601058
770;678;5.37874;-150.381;150.477;-0.0123918;0.131714;0.0552163
793;678;5.10517;-150.415;150.501;-0.0111463;0.122252;0.0496062
816;678;4.86308;-150.438;150.517;-0.0115307;0.122235;0.0449323
839;678;4.57161;-150.48;150.55;-0.0121905;0.124982;0.0390309
862;678;4.29874;-150.542;150.603;-0.00937983;0.124299;0.0372107
885;678;4.13806;-150.537;150.594;-0.00679026;0.117361;0.0334889
908;678;3.98532;-150.53;150.583;-0.00700052;0.124234;0.0308172
931;678;3.8149;-150.518;150.566;-0.00990811;0.121954;0.02873
954;678;3.52723;-150.478;150.519;-0.00999226;0.117748;0.0236606
977;678;3.35287;-150.592;150.63;-0.00668236;0.116145;0.0199228
1000;678;3.2187;-150.581;150.615;-0.00464923;0.115736;0.0156393
1023;678;3.1385;-150.559;150.591;-0.00619505;0.118855;0.0127968
1046;678;2.93283;-150.588;150.617;-0.0066861;0.117207;0.0107618
1069;678;2.82981;-150.467;150.493;-0.00651894;0.116978;0.00707112
1092;678;2.63198;-150.595;150.618;-0.00961447;0.112879;0.00490766
1115;678;2.38498;-150.663;150.682;-0.00986527;0.118252;-0.000176674
1138;678;2.17579;-150.704;150.72;-0.00892572;0.116441;-0.00306021
1161;678;1.97241;-150.773;150.786;-0.00997767;0.113881;-0.00505747
1184;678;1.71449;-150.668;150.678;-0.00789883;0.115084;-0.0104504
1207;678;1.60762;-150.785;150.793;-0.00329568;0.113082;-0.0118795
1230;678;1.56259;-150.735;150.743;-0.00621044;0.115846;-0.0140631
1253;678;1.32103;-150.822;150.828;-0.0101636;0.11414;-0.0170826
1276;678;1.09249;-150.861;150.865;-0.0084972;0.112684;-0.0204742
1299;678;0.928447;-150.878;150.881;-0.00578758;0.118563;-0.0243599
1322;678;0.825482;-150.872;150.875;-0.00479512;0.119137;-0.0274929
1345;678;0.707297;-150.941;150.942;-0.00704143;0.119451;-0.0340811
1368;678;0.500105;-151.044;151.045;-0.0102924;0.114758;-0.0372312
1391;678;0.23119;-151.073;151.074;-0.0131308;0.115628;-0.039236
1414;678;-0.107997;-150.966;150.966;-0.0123711;0.126144;-0.0409564
1437;678;-0.341506;-151;151;-0.00986707;0.123388;-0.0461203
1460;678;-0.564299;-150.847;150.848;-0.011555;0.130473;-0.0533365
1483;678;-0.876385;-150.852;150.854;-0.0146079;0.124655;-0.0573348
1506;678;-1.24127;-150.799;150.804;-0.019854;0.135122;-0.0621683
1529;678;-1.79951;-150.62;150.631;-0.0260504;0.150472;-0.0709942
1552;678;-2.45665;-150.494;150.514;-0.0341448;0.163605;-0.073613
1575;678;-3.40362;-149.91;149.949;-0.0543868;0.18253;-0.0653293
1598;678;-5.08746;-148.27;148.357;-0.0478286;0.219295;0.0522104
1621;678;-7.22849;-138.298;138.487;0.00523683;0.193331;0.16761
655;701;13.5797;-143.539;144.18;-0.0633152;0.20906;0.0361717
678;701;12.0081;-145.223;145.719;-0.0586415;0.212254;0.0442513
701;701;10.7153;-146.213;146.605;-0.0504399;0.192806;0.0525974
724;701;9.59824;-146.786;147.099;-0.038188;0.175823;0.0579703
747;701;8.91369;-147.157;147.427;-0.02903;0.169291;0.0598337
770;701;8.23958;-147.329;147.559;-0.0273798;0.163049;0.0551559
793;701;7.63485;-147.539;147.737;-0.0276292;0.154241;0.0481579
816;701;6.9491;-147.692;147.855;-0.0236663;0.147155;0.0446262
839;701;6.53287;-147.648;147.793;-0.0176486;0.147181;0.0433418
862;701;6.12985;-147.589;147.716;-0.016085;0.146703;0.0376603
885;701;5.78689;-147.691;147.804;-0.0159819;0.145129;0.0322907
908;701;5.38864;-147.673;147.772;-0.0155218;0.142521;0.0289532
931;701;5.06725;-147.726;147.813;-0.0148541;0.142445;0.0259133
954;701;4.70019;-147.706;147.78;-0.0146621;0.147333;0.0227275
977;701;4.38776;-147.766;147.831;-0.0159494;0.143339;0.0205393
1000;701;3.96057;-147.714;147.767;-0.0160398;0.143549;0.0180592
1023;701;3.6437;-147.627;147.672;-0.0129579;0.144755;0.0125371
1046;701;3.36048;-147.614;147.653;-0.012924;0.145455;0.00786827
1069;701;3.0453;-147.612;147.644;-0.0110252;0.144513;0.00489788
1092;701;2.85024;-147.769;147.797;-0.0126247;0.143342;0.0010299
1115;701;2.4605;-147.791;147.811;-0.0165627;0.145653;0.00159011
1138;701;2.08194;-147.771;147.786;-0.0149745;0.144913;-0.00339443
1161;701;1.76633;-147.888;147.899;-0.0170548;0.14306;-0.00424918
1184;701;1.29061;-147.776;147.782;-0.0139563;0.142475;-0.00924197
1207;701;1.11977;-147.944;147.948;-0.00910886;0.142861;-0.0130648
1230;701;0.869592;-147.862;147.864;-0.0120174;0.141977;-0.0153471
1253;701;0.563569;-147.999;148;-0.0155295;0.146854;-0.0200546
1276;701;0.149064;-148.083;148.083;-0.018569;0.144259;-0.021329
1299;701;-0.298694;-148.022;148.023;-0.0153817;0.148284;-0.0246946
1322;701;-0.564186;-147.96;147.961;-0.0118013;0.144935;-0.0303301
1345;701;-0.844797;-148.005;148.007;-0.0156949;0.149855;-0.035011
1368;701;-1.29218;-148.116;148.122;-0.021332;0.152272;-0.0383594
1391;701;-1.83691;-148.119;148.13;-0.0197493;0.153916;-0.0398063
1414;701;-2.2101;-147.953;147.97;-0.016562;0.153552;-0.0427465
1437;701;-2.60548;-147.953;147.976;-0.0227513;0.155568;-0.0475213
1460;701;-3.26918;-147.778;147.814;-0.0286303;0.159521;-0.0518037
1483;701;-3.94242;-147.735;147.788;-0.0265129;0.165103;-0.0593734
1506;701;-4.50575;-147.598;147.667;-0.036619;0.17331;-0.0616407
1529;701;-5.66286;-147.144;147.253;-0.0455069;0.182362;-0.0612329
1552;701;-6.65839;-146.69;146.841;-0.0471251;0.199657;-0.0607709
1575;701;-7.90553;-145.78;145.994;-0.0599695;0.218799;-0.0440895
1598;701;-9.60961;-143.688;144.009;-0.0604543;0.220571;0.00494994
1621;701;-11.2865;-139.164;139.621;-0.0509009;0.00641135;0.0290141
655;724;17.0004;-139.544;140.576;-0.0610251;0.192173;0.0290527
678;724;15.5106;-140.865;141.717;-0.0613511;0.21161;0.0336159
701;724;14.0157;-142.003;142.693;-0.0549308;0.20399;0.0366246
724;724;12.8621;-142.91;143.488;-0.0424977;0.194129;0.0443843
747;724;11.9946;-143.417;143.917;-0.038508;0.185989;0.0486866
770;724;11.0479;-143.714;144.138;-0.0404887;0.176959;0.0445103
793;724;10.0886;-144.032;144.385;-0.039366;0.17267;0.0398675
816;724;9.19627;-144.285;144.578;-0.0336677;0.173075;0.040743
839;724;8.51208;-144.294;144.545;-0.028419;0.166778;0.0382012
862;724;7.86982;-144.349;144.563;-0.0269504;0.159598;0.0337228
885;724;7.25511;-144.379;144.561;-0.0244347;0.159476;0.0297514
908;724;6.73162;-144.457;144.614;-0.0211399;0.155586;0.0276143
931;724;6.27214;-144.433;144.569;-0.0222588;0.154005;0.0278938
954;724;5.69522;-144.182;144.295;-0.0212732;0.15491;0.0215269
977;724;5.28293;-144.449;144.546;-0.0203691;0.156592;0.0150275
1000;724;4.74789;-144.416;144.494;-0.0234161;0.157381;0.0171482
1023;724;4.19273;-144.333;144.394;-0.0236054;0.156457;0.0138367
1046;724;3.64883;-144.329;144.375;-0.0157373;0.154296;0.0105302
1069;724;3.46294;-144.244;144.286;-0.0154328;0.155396;0.00459447
1092;724;2.93327;-144.417;144.447;-0.0199301;0.159398;0.00021325
1115;724;2.53659;-144.391;144.413;-0.0207015;0.15796;0.000487175
1138;724;1.97092;-144.462;144.475;-0.0205712;0.155567;-0.00422745
