component,n,min,max,mean,std,rmse,p1,p5,p95,p99
exx,28709,-0.0130104,0.0227211,0.002389567001504727,0.00533947338912361,0.00584970199756339,-0.006961909600000001,-0.00518756,0.012133779999999997,0.014009335999999985
eyy,28709,-0.0207256,0.0195898,-0.0014785246069189107,0.0035907036216928675,0.003883135126952457,-0.010205552,-0.008389838,0.003772669999999999,0.005414855199999999
exy,28709,-0.00957469,0.00740621,8.910732879418301e-05,0.0010398670175910997,0.0010436598417855978,-0.0025249648,-0.001537046,0.0017055099999999997,0.0025902615999999976
