file,exx_n,exx_min,exx_max,exx_mean,exx_std,exx_rmse,exx_p1,exx_p5,exx_p95,exx_p99,eyy_n,eyy_min,eyy_max,eyy_mean,eyy_std,eyy_rmse,eyy_p1,eyy_p5,eyy_p95,eyy_p99,exy_n,exy_min,exy_max,exy_mean,exy_std,exy_rmse,exy_p1,exy_p5,exy_p95,exy_p99
Static Images0002.csv,3190,-0.0049839,0.0189997,0.005911781760815047,0.0014296790370234285,0.006082146413039936,0.0027619345,0.003770903,0.008069951499999999,0.009492702100000005,3190,-0.0156115,0.00904379,-0.00283344876839185,0.0014589588978524985,0.003186899077191201,-0.0061981971,-0.004978509999999999,-0.0006552390000000017,0.0007774002000000045,3190,-0.00918401,0.00740621,5.059748209937305e-05,0.0009930235139066672,0.000994156267121779,-0.002327595,-0.0014598624999999999,0.0014908665,0.0023924721
Static Images0003.csv,3190,-0.000404385,0.0167015,0.00684297757539185,0.0015958541430884199,0.007026542121766325,0.0030856062,0.004262712,0.009319801999999999,0.010771069000000003,3190,-0.0207256,-2.9548e-05,-0.008143602507210032,0.001673302318204891,0.008313682981639743,-0.012642426,-0.0106691,-0.0057385145,-0.004223130199999996,3190,-0.005921,0.00548049,0.00012203539127366771,0.0009489355208459978,0.0009566028317680588,-0.0022746985,-0.001393264,0.0015791094999999993,0.0024405085000000016
Static Images0004.csv,3190,-0.00638253,0.00978438,0.0004921202580388715,0.0014039828610189107,0.0014875255632907434,-0.0024612897,-0.0015882015,0.0027535199999999993,0.004234564400000001,3190,-0.00538889,0.0195898,0.002166117944322884,0.0017954330766874183,0.0028132963503612845,-0.0017223461,-0.0005089912999999999,0.005039156999999999,0.0063074751,3190,-0.00511392,0.00698679,-1.99711006476489e-05,0.0009253905098301754,0.0009254609624520487,-0.0020873321000000004,-0.00143224,0.0014365899999999976,0.002216203300000004
Static Images0005.csv,3189,-0.0116155,0.00858938,-0.0010554452101561617,0.0025721729035012896,0.0027799214705762844,-0.0065993172,-0.005119594,0.0031827459999999993,0.004886669999999999,3189,-0.0138007,0.0138573,-0.0033436559964032607,0.0022768389241482113,0.004045047011130599,-0.0086040956,-0.006827448,2.7480479999992324e-06,0.002156655999999995,3189,-0.00957469,0.00642353,3.56715474120414e-05,0.0013520446687897121,0.0013523032268983545,-0.0032122852,-0.002052302,0.0021350979999999998,0.0030991876
Static Images0006.csv,3190,-0.0107517,0.00479118,-0.0033228630997962382,0.0013303113083545522,0.003579188816394048,-0.0062621773,-0.005384819999999999,-0.001265455000000001,0.0002249794000000016,3190,-0.0051993,0.010957,0.0012235984626564264,0.0012571705247375574,0.0017541879826633048,-0.0018453884,-0.0006797848,0.0031746995,0.004405810600000005,3190,-0.00518382,0.00518468,8.841751819880878e-05,0.0008540394380478901,0.0008584709502619934,-0.0019296673999999998,-0.0012319185,0.0014284719999999986,0.002217845700000004
Static Images0007.csv,3190,0.0050339,0.0227211,0.011917375510971787,0.0016183343303168055,0.01202672125182815,0.008208595400000001,0.0093697135,0.01452337,0.015935614,3190,-0.0086512,0.0191287,0.002415679849909404,0.0019077074064905006,0.0030779401918712584,-0.0016202992,-0.00042691184999999967,0.0054064675,0.007161873800000006,3190,-0.00655611,0.00612566,0.00021424388109498433,0.0010210626132549252,0.0010431406792372332,-0.002567417,-0.001452474,0.0017897519999999995,0.0025399310000000026
Static Images0008.csv,3190,-0.0130104,0.00336894,-0.004481376866865204,0.0017444716516700155,0.004808842479330355,-0.0087904132,-0.007414069,-0.001820504000000002,-0.00056518969,3190,-0.0153212,0.0107365,-0.0022126368418009406,0.0025009976679004776,0.0033389804307355194,-0.0076767013,-0.0061154985,0.0015956634999999989,0.0028727062000000005,3190,-0.00768527,0.0060204,7.13674858213166e-05,0.0011657164826079781,0.0011677166822430499,-0.0029369641,-0.0017672545,0.0018354929999999999,0.002733141500000001
Static Images0009.csv,3190,-0.00944037,0.00816135,0.0002080822620981818,0.001690643676547548,0.001703137768224277,-0.0042292361,-0.002525289,0.0028181084999999986,0.004445108900000016,3190,-0.0132406,0.00722027,-0.0013501216786285266,0.0014050310186622262,0.0019484152192403327,-0.0056084901,-0.0034141975,0.0006302295499999972,0.0020946668000000105,3190,-0.00664852,0.00681954,0.00010548764391880878,0.0010196329047883704,0.001024916091229254,-0.0023306947,-0.0015156405000000001,0.0016401234999999963,0.002436503900000003
Static Images0010.csv,3190,-0.00422705,0.0140867,0.004992370881912225,0.0018045261816474584,0.005308395329522509,0.0009711107000000001,0.0021600315000000004,0.007893743,0.009184601300000015,3190,-0.0147188,0.00857127,-0.0012292366074106583,0.0017754768571210475,0.0021592481375905096,-0.005733868699999999,-0.003873233,0.0014713564999999994,0.0027463535000000023,3190,-0.00486319,0.00569782,0.00013409935894764888,0.0009786799569689256,0.0009876724360469043,-0.0022629239000000003,-0.0013795885,0.0017654714999999997,0.0024178728000000004
