x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
632;609;-4.17931;-68.5205;68.6479;-0.00102584;0.0148294;-0.0260006
655;609;-4.36864;-71.2751;71.4089;-0.00258597;0.0349247;-0.000818704
678;609;-4.41469;-71.7849;71.9205;0.00215574;0.0417241;0.0228372
701;609;-4.27282;-71.8217;71.9487;0.00227377;0.0493081;0.0210345
724;609;-4.31068;-71.9922;72.1211;-0.00170711;0.0528027;0.0205868
747;609;-4.35198;-72.0493;72.1806;0.00196338;0.0596836;0.0246184
770;609;-4.22059;-71.8801;72.0039;0.0026391;0.0545545;0.0232401
793;609;-4.23116;-71.8518;71.9763;0.00128695;0.0517032;0.0206827
816;609;-4.1615;-71.7991;71.9196;0.0053261;0.0466611;0.0178247
839;609;-3.98691;-71.7558;71.8665;0.0033288;0.0426408;0.0142064
862;609;-4.00864;-71.7812;71.8931;0.00251527;0.0461045;0.0150145
885;609;-3.8715;-71.6375;71.742;0.00454876;0.0405548;0.0103806
908;609;-3.79989;-71.7387;71.8393;0.00242798;0.0472212;0.00559163
931;609;-3.76102;-71.9506;72.0489;0.00265484;0.0559036;0.0104359
954;609;-3.67793;-71.7528;71.847;0.00277285;0.0519985;0.0132266
977;609;-3.63452;-71.666;71.7581;0.00156415;0.0476878;0.00583083
1000;609;-3.60609;-71.8246;71.9151;-0.000674034;0.0565708;0.00419622
1023;609;-3.66599;-71.8701;71.9635;0.00129628;0.0576525;0.00867994
1046;609;-3.54669;-71.6923;71.78;0.00770134;0.0542438;0.00667543
1069;609;-3.31312;-71.9312;72.0074;0.00280148;0.0689496;0.00415116
1092;609;-3.41801;-71.7255;71.8069;-0.000596331;0.0624155;0.0106674
1115;609;-3.34113;-71.7017;71.7795;0.00440728;0.0529724;0.00454649
1138;609;-3.21577;-71.6602;71.7323;0.00477481;0.0552491;0.00219701
1161;609;-3.12211;-71.6058;71.6738;2.76054e-05;0.0507296;0.0012396
1184;609;-3.21494;-71.4592;71.5314;-0.00290609;0.0513711;0.00104826
1207;609;-3.25601;-71.652;71.726;0.00528975;0.0580642;-0.000687124
1230;609;-2.97266;-71.6553;71.7169;0.00736264;0.0528843;-0.00163852
1253;609;-2.91861;-71.5889;71.6484;0.00083188;0.0589906;-0.000918099
1276;609;-2.93463;-71.5151;71.5753;0.00125363;0.0590837;-0.00418368
1299;609;-2.861;-71.5502;71.6074;0.00118448;0.0549846;-0.00562314
1322;609;-2.88056;-71.3254;71.3835;0.00628184;0.0417007;-0.00614244
1345;609;-2.573;-71.6285;71.6747;0.00321113;0.0581422;-0.0154004
1368;609;-2.73331;-71.4695;71.5218;0.00158482;0.0490256;-0.00644955
1391;609;-2.5002;-71.5662;71.6099;-0.000136421;0.0553536;-0.0119559
1414;609;-2.7396;-71.4433;71.4958;-0.00163727;0.0537116;-0.0113412
1437;609;-2.57574;-71.6907;71.7369;0.00559949;0.0669341;-0.0131051
1460;609;-2.48274;-71.4683;71.5115;0.00586139;0.0587802;-0.0112849
1483;609;-2.30947;-71.2038;71.2412;0.000141521;0.0501302;-0.016405
1506;609;-2.47779;-71.0896;71.1328;-0.000287403;0.0448576;-0.0188066
1529;609;-2.32281;-71.0995;71.1374;0.00514166;0.0462972;-0.0272311
1552;609;-2.24188;-71.0862;71.1216;0.00157648;0.0556804;-0.0332912
1575;609;-2.25047;-70.9906;71.0263;-0.0119615;0.0616903;-0.0317971
1598;609;-2.79947;-70.4811;70.5367;-0.0233391;0.0672061;-0.026666
632;632;-2.57358;-68.2373;68.2858;-0.00104833;0.0479507;-0.0108425
655;632;-2.7137;-70.5431;70.5952;-0.00935957;0.0682784;0.00966711
678;632;-3.08294;-70.8815;70.9485;-0.0104885;0.064753;0.0303573
701;632;-3.19914;-70.7382;70.8105;-0.00345851;0.0615672;0.0270808
724;632;-3.24234;-70.8318;70.906;-0.00177423;0.0646088;0.0252982
747;632;-3.28083;-70.7388;70.8149;-0.000333956;0.065842;0.025891
770;632;-3.25796;-70.677;70.7521;-0.000925715;0.0599203;0.0227009
793;632;-3.32344;-70.709;70.787;-0.00299064;0.0590023;0.0200289
816;632;-3.39581;-70.7621;70.8435;-0.000463386;0.0573459;0.0181899
