Time,Displacement,Force
(s),(mm),(N)
"0.0000","-0.0020","0.0237"
"0.0430","-0.0014","0.0504"
"0.0490","-0.0008","0.0780"
"0.0550","0.0001","0.1033"
"0.0980","0.0050","0.1309"
"0.1040","0.0061","0.1593"
"0.1080","0.0070","0.1857"
"0.1120","0.0081","0.2177"
"0.1150","0.0092","0.2450"
"0.1180","0.0104","0.2744"
"0.1210","0.0117","0.3051"
"0.1240","0.0132","0.3363"
"0.1270","0.0148","0.3676"
"0.1300","0.0165","0.3981"
"0.1330","0.0183","0.4269"
"0.1360","0.0202","0.4535"
"0.1400","0.0228","0.4848"
"0.1440","0.0254","0.5108"
"0.1500","0.0294","0.5397"
"0.1600","0.0355","0.5650"
"0.2100","0.0590","0.5901"
"0.2310","0.0676","0.6157"
"0.2460","0.0738","0.6421"
"0.2640","0.0812","0.6677"
"0.2920","0.0921","0.6930"
"0.3060","0.0976","0.7191"
"0.3190","0.1029","0.7460"
"0.3350","0.1097","0.7720"
"0.3610","0.1203","0.7980"
"0.3770","0.1268","0.8233"
"0.3920","0.1331","0.8486"
"0.4300","0.1477","0.8740"
"0.4470","0.1542","0.9001"
"0.4590","0.1592","0.9262"
"0.4760","0.1665","0.9520"
"0.5070","0.1788","0.9774"
"0.5240","0.1857","1.0039"
"0.5490","0.1958","1.0293"
"0.5770","0.2064","1.0551"
"0.5940","0.2133","1.0805"
"0.6160","0.2224","1.1064"
"0.6350","0.2301","1.1321"
"0.6510","0.2366","1.1577"
"0.6750","0.2465","1.1829"
"0.7130","0.2613","1.2092"
"0.7300","0.2682","1.2351"
"0.7570","0.2789","1.2605"
"0.7800","0.2878","1.2868"
"0.7960","0.2945","1.3129"
"0.8430","0.3128","1.3387"
"0.8590","0.3190","1.3652"
"0.8730","0.3248","1.3918"
"0.9020","0.3368","1.4169"
"0.9320","0.3485","1.4428"
"0.9570","0.3587","1.4683"
"0.9850","0.3696","1.4934"
"1.0050","0.3775","1.5188"
"1.0300","0.3877","1.5438"
"1.0520","0.3967","1.5699"
"1.0720","0.4050","1.5954"
"1.1180","0.4229","1.6217"
"1.1350","0.4298","1.6471"
"1.1590","0.4396","1.6724"
"1.1880","0.4509","1.6977"
"1.2040","0.4576","1.7241"
"1.2560","0.4780","1.7494"
"1.2730","0.4847","1.7757"
"1.2920","0.4926","1.8009"
"1.3220","0.5047","1.8262"
"1.3430","0.5133","1.8514"
"1.3880","0.5310","1.8764"
"1.4060","0.5381","1.9017"
"1.4300","0.5479","1.9270"
"1.4590","0.5596","1.9527"
"1.4780","0.5675","1.9780"
"1.5290","0.5871","2.0031"
"1.5430","0.5928","2.0283"
"1.5620","0.6008","2.0537"
"1.6010","0.6162","2.0792"
"1.6240","0.6257","2.1047"
"1.6710","0.6437","2.1311"
"1.6890","0.6509","2.1568"
"1.7150","0.6617","2.1822"
