x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;632;0.88631;-301.308;301.31;-0.0641339;0.281573;0.10994
678;632;-0.756826;-303.551;303.552;-0.0553256;0.284415;0.119719
701;632;-1.83125;-304.223;304.228;-0.0373063;0.246647;0.14212
724;632;-2.50641;-303.695;303.706;-0.00635101;0.209093;0.153609
747;632;-2.12707;-303.722;303.729;0.0083416;0.197654;0.122145
770;632;-2.12591;-304.084;304.091;-7.01735e-06;0.23984;0.11962
793;632;-2.12815;-303.985;303.992;0.00668195;0.230719;0.117614
816;632;-1.81957;-304.06;304.065;0.00510762;0.23314;0.0990138
839;632;-1.89417;-304.171;304.177;-0.00890741;0.247175;0.0841783
862;632;-2.23275;-304.441;304.449;-0.0101723;0.27585;0.0893113
885;632;-2.36475;-304.32;304.329;0.00118136;0.286549;0.089829
908;632;-2.17848;-304.504;304.512;0.00420289;0.311348;0.079335
931;632;-2.17182;-304.325;304.333;0.000305738;0.300647;0.0761558
954;632;-2.16497;-304.278;304.285;0.00357013;0.314514;0.0680052
977;632;-2.00794;-304.396;304.403;-0.000586813;0.345291;0.0618007
1000;632;-2.1921;-304.383;304.391;-0.00536733;0.362024;0.0573901
1023;632;-2.25593;-304.593;304.602;-0.00159901;0.37274;0.0524079
1046;632;-2.26604;-304.557;304.565;0.000892475;0.375049;0.0500798
1069;632;-2.21707;-304.145;304.153;-0.00549549;0.356493;0.0406347
1092;632;-2.52003;-304.342;304.353;-0.00929006;0.371975;0.026503
1115;632;-2.64744;-304.449;304.461;-0.00208252;0.363404;0.0177716
1138;632;-2.61712;-304.674;304.685;0.00548306;0.403472;0.00695052
1161;632;-2.39632;-304.646;304.655;-0.00307953;0.388038;-0.00248787
1184;632;-2.7592;-304.809;304.821;-0.00484582;0.398674;-0.00795024
1207;632;-2.61981;-304.707;304.718;-0.000238784;0.376493;-0.0241587
1230;632;-2.77024;-304.877;304.89;-0.0072468;0.345814;-0.0292405
1253;632;-2.95461;-304.851;304.865;-0.00271444;0.336331;-0.0336528
1276;632;-2.89607;-305.148;305.162;-0.000551005;0.329594;-0.0480269
1299;632;-2.98288;-305.37;305.384;-0.000668967;0.311875;-0.0489976
1322;632;-2.92689;-305.209;305.223;0.00101332;0.30747;-0.0508966
1345;632;-2.93656;-305.212;305.226;0.00012536;0.291818;-0.0636987
1368;632;-2.92113;-305.22;305.234;0.00284538;0.26361;-0.0756014
1391;632;-2.80725;-305.569;305.582;0.00400297;0.26291;-0.0811244
1414;632;-2.7379;-305.443;305.456;-0.00874605;0.245832;-0.0844053
1437;632;-3.2117;-305.389;305.406;-0.00777321;0.225801;-0.0800976
1460;632;-3.09761;-305.703;305.718;0.000167979;0.231109;-0.0943991
1483;632;-3.20645;-305.867;305.883;-0.00868907;0.235537;-0.0975102
