x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;632;0.103499;-131.115;131.115;-0.0244036;0.150644;0.0739685
678;632;-0.483299;-132.026;132.027;-0.0258254;0.0989388;0.0603061
701;632;-1.12236;-132.523;132.528;-0.019933;0.0899899;0.0662513
724;632;-1.41092;-132.378;132.385;-0.00176919;0.0785019;0.0733129
747;632;-1.20458;-132.258;132.264;0.00400688;0.0717072;0.0614746
770;632;-1.227;-132.435;132.44;0.000458585;0.0866821;0.0600171
793;632;-1.18353;-132.316;132.322;0.00461188;0.0796532;0.0590815
816;632;-1.01536;-132.394;132.398;0.00331461;0.0873573;0.0484801
839;632;-1.03135;-132.376;132.38;-0.00419948;0.090089;0.0431545
862;632;-1.20914;-132.528;132.533;-0.00522329;0.0976229;0.0437175
885;632;-1.27236;-132.477;132.483;-1.72922e-05;0.101051;0.0443828
908;632;-1.20999;-132.598;132.604;0.00129446;0.111784;0.040728
931;632;-1.21289;-132.422;132.428;0.000783173;0.102571;0.0398623
954;632;-1.17422;-132.449;132.454;0.00212225;0.111286;0.0329127
977;632;-1.11553;-132.545;132.549;-0.000551779;0.123116;0.031155
1000;632;-1.19964;-132.504;132.51;-0.00287653;0.121646;0.0297824
1023;632;-1.24821;-132.669;132.675;-0.000694546;0.133332;0.0267324
1046;632;-1.23178;-132.631;132.636;0.000925542;0.131956;0.0268585
1069;632;-1.20696;-132.322;132.328;-0.00359731;0.123039;0.0216337
1092;632;-1.39799;-132.431;132.438;-0.00545322;0.129858;0.0141171
1115;632;-1.45885;-132.503;132.511;-0.00181046;0.127263;0.00810509
1138;632;-1.48233;-132.733;132.741;0.00193729;0.148719;0.00517015
1161;632;-1.36985;-132.556;132.563;-0.00150417;0.134036;0.000804196
1184;632;-1.55164;-132.659;132.668;-0.00272127;0.134714;-0.0040856
1207;632;-1.49543;-132.702;132.711;0.000935244;0.133472;-0.0143861
1230;632;-1.50878;-132.773;132.782;-0.00495625;0.123038;-0.0175409
1253;632;-1.72401;-132.741;132.753;-0.00234934;0.116729;-0.0167066
1276;632;-1.61698;-132.799;132.809;0.000822587;0.1113;-0.0251906
1299;632;-1.68653;-132.919;132.93;-0.00156749;0.108634;-0.0288491
1322;632;-1.68935;-132.936;132.947;0.00216481;0.112864;-0.0295948
1345;632;-1.58707;-132.956;132.966;0.000550094;0.104348;-0.0330376
1368;632;-1.66408;-132.88;132.891;-0.00186199;0.0878158;-0.0363193
1391;632;-1.6728;-132.973;132.983;0.00110904;0.086394;-0.0386319
1414;632;-1.61337;-133.038;133.048;-0.00382224;0.0870591;-0.0409494
1437;632;-1.84903;-132.892;132.905;-0.00326216;0.0772707;-0.0373698
1460;632;-1.76373;-133.115;133.126;0.000561509;0.084119;-0.0456084
1483;632;-1.82387;-133.139;133.151;-0.0028384;0.0830316;-0.0467312
1506;632;-1.89451;-133.072;133.086;0.00028357;0.0785795;-0.0465207
1529;632;-1.81093;-133.045;133.058;0.00333718;0.0881693;-0.0570018
1552;632;-1.74137;-133.176;133.188;-0.00700126;0.0954534;-0.0617203
1575;632;-2.13426;-132.932;132.949;-0.0138589;0.105636;-0.0617509
1598;632;-2.38549;-132.736;132.757;-0.0336428;0.15658;-0.0640739
1621;632;-3.7427;-131.196;131.25;-0.0550279;0.157902;-0.0417614
655;655;4.6451;-128.274;128.358;-0.0596747;0.164149;0.0453498
678;655;3.15021;-130.117;130.155;-0.0506686;0.137566;0.0510647
701;655;2.18126;-130.759;130.777;-0.0282498;0.118545;0.0682124
724;655;1.8258;-130.851;130.863;-0.0116511;0.107639;0.0736424
747;655;1.6421;-130.829;130.84;-0.00567324;0.101716;0.0688628
