x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;632;0.227248;-193.189;193.189;-0.0356551;0.190753;0.0956226
678;632;-0.651652;-194.58;194.581;-0.0330941;0.160448;0.0871516
701;632;-1.36352;-195.13;195.135;-0.0266765;0.138897;0.0951639
724;632;-1.8964;-194.85;194.859;-0.00450305;0.114694;0.103663
747;632;-1.57227;-194.806;194.812;0.00562132;0.107556;0.0853744
770;632;-1.63884;-195.016;195.023;7.92286e-05;0.132006;0.0854147
793;632;-1.56878;-194.925;194.931;0.00650781;0.123615;0.0823801
816;632;-1.34045;-195.028;195.032;0.00348551;0.132044;0.0688322
839;632;-1.40893;-195.063;195.068;-0.00653148;0.138586;0.0605765
862;632;-1.6426;-195.282;195.289;-0.00610193;0.152279;0.062501
885;632;-1.69076;-195.224;195.231;0.00210943;0.161176;0.064799
908;632;-1.54573;-195.204;195.21;0.0026652;0.167348;0.0563057
931;632;-1.56842;-195.131;195.138;0.000270349;0.163968;0.0524509
954;632;-1.53333;-195.155;195.161;0.00186642;0.175875;0.0467314
977;632;-1.48274;-195.227;195.233;-0.0011615;0.191307;0.0442995
1000;632;-1.58682;-195.209;195.216;-0.00320984;0.194474;0.0407182
1023;632;-1.63097;-195.404;195.411;-0.000870927;0.205625;0.0379559
1046;632;-1.62699;-195.303;195.309;0.00121455;0.205085;0.0366365
1069;632;-1.57697;-194.993;194.999;-0.00409456;0.194643;0.0286092
1092;632;-1.81605;-195.13;195.139;-0.00697448;0.204107;0.0188419
1115;632;-1.8995;-195.222;195.231;-0.00282209;0.198528;0.0118028
1138;632;-1.94697;-195.42;195.43;0.00285747;0.225683;0.00653308
1161;632;-1.76833;-195.314;195.322;-0.00120489;0.211282;-0.00129961
1184;632;-2.00247;-195.481;195.492;-0.00355454;0.21555;-0.00855406
1207;632;-1.93326;-195.635;195.644;-0.000580558;0.21646;-0.019737
1230;632;-2.02953;-195.661;195.671;-0.00662905;0.196248;-0.0200563
1253;632;-2.23935;-195.522;195.535;-0.00112528;0.183842;-0.0238056
1276;632;-2.08156;-195.809;195.82;0.000959441;0.182549;-0.0366369
1299;632;-2.1972;-195.948;195.96;-0.00276574;0.174;-0.0345852
1322;632;-2.20903;-195.731;195.743;0.00166547;0.16834;-0.0365025
1345;632;-2.12077;-195.846;195.858;0.000914696;0.161796;-0.0460222
1368;632;-2.167;-195.781;195.793;0.000348051;0.141441;-0.0526501
1391;632;-2.10531;-196.071;196.082;0.0012414;0.145243;-0.0552855
1414;632;-2.1101;-195.905;195.916;-0.00633741;0.13267;-0.057545
1437;632;-2.39801;-195.918;195.933;-0.00266191;0.127856;-0.056087
1460;632;-2.2335;-196.174;196.187;0.00142686;0.135227;-0.0673434
1483;632;-2.33383;-196.278;196.292;-0.00487647;0.135631;-0.0685454
1506;632;-2.45837;-196.185;196.201;-5.52429e-05;0.126802;-0.0654469
1529;632;-2.33694;-196.049;196.063;0.00272313;0.136786;-0.0801131
1552;632;-2.33328;-196.163;196.176;-0.01199;0.143552;-0.0851662
1575;632;-2.89293;-195.732;195.754;-0.0199049;0.156706;-0.0888447
1598;632;-3.26163;-195.607;195.634;-0.0492423;0.235316;-0.0931262
1621;632;-5.26773;-193.623;193.695;-0.0796991;0.219156;-0.0532798
655;655;6.45441;-189.883;189.992;-0.0730184;0.236191;0.0756517
678;655;4.63265;-191.68;191.736;-0.0647452;0.218472;0.0807671
701;655;3.28992;-192.55;192.579;-0.0405068;0.186562;0.0936287
724;655;2.71654;-192.768;192.788;-0.0186582;0.167122;0.101626
747;655;2.42296;-192.769;192.785;-0.00778704;0.160567;0.0975234
770;655;2.35594;-192.468;192.482;-0.0047595;0.167362;0.0917243
793;655;2.2028;-192.517;192.53;-0.01004;0.170324;0.0827362
816;655;1.89166;-192.371;192.38;-0.0142907;0.187455;0.0779423
839;655;1.5398;-192.238;192.244;-0.0118704;0.190993;0.0704499
862;655;1.34195;-192.182;192.187;-0.00648842;0.211788;0.0702437
885;655;1.23938;-191.938;191.942;-0.00769893;0.215348;0.0693552
908;655;0.98441;-191.753;191.756;-0.00916544;0.220859;0.0592498
931;655;0.815363;-191.735;191.736;-0.0068453;0.222902;0.0563126
954;655;0.667764;-191.505;191.506;-0.00485073;0.231777;0.0543961
977;655;0.58925;-191.262;191.263;-0.00585715;0.237555;0.0485536
1000;655;0.396356;-191.175;191.176;-0.0090271;0.254169;0.0424249
1023;655;0.171948;-191.14;191.14;-0.0125979;0.268021;0.0372297
1046;655;-0.187085;-191.028;191.028;-0.0114276;0.269286;0.0347426
1069;655;-0.357339;-190.911;190.911;-0.0133696;0.265574;0.0277002
1092;655;-0.806582;-190.855;190.857;-0.0177878;0.273422;0.0187238
1115;655;-1.18319;-191.046;191.049;-0.0169233;0.281368;0.0177938
1138;655;-1.59198;-190.714;190.721;-0.0131349;0.290582;0.0103621
1161;655;-1.79172;-190.881;190.89;-0.0132142;0.281459;-0.00658881
1184;655;-2.20461;-190.968;190.98;-0.02027;0.279566;-0.00995499
1207;655;-2.73439;-191.114;191.134;-0.0175998;0.281325;-0.0264378
1230;655;-3.02505;-191.538;191.562;-0.0110541;0.266408;-0.0301555
1253;655;-3.24879;-191.643;191.671;-0.0105974;0.243656;-0.0326591
1276;655;-3.51724;-191.975;192.007;-0.0126273;0.239012;-0.042132
1299;655;-3.83803;-192.295;192.333;-0.00922212;0.23492;-0.0420419
1322;655;-3.94397;-192.196;192.237;-0.00798041;0.222566;-0.0465743
1345;655;-4.20694;-192.468;192.514;-0.0110936;0.211131;-0.0595006
1368;655;-4.46158;-192.832;192.883;-0.007896;0.193144;-0.0616442
1391;655;-4.57544;-193.06;193.114;-0.00859263;0.192053;-0.0615631
1414;655;-4.85988;-193.18;193.241;-0.00560287;0.173939;-0.0650809
1437;655;-4.83434;-193.26;193.321;-0.00575176;0.167981;-0.0662157
1460;655;-5.12582;-193.412;193.48;-0.0142686;0.170702;-0.0727089
1483;655;-5.4963;-193.539;193.617;-0.0101679;0.176219;-0.0778336
1506;655;-5.59645;-193.625;193.706;-0.011414;0.176031;-0.0773165
1529;655;-6.02474;-193.356;193.45;-0.0189726;0.182274;-0.0860255
1552;655;-6.47819;-193.4;193.509;-0.029032;0.195403;-0.089352
1575;655;-7.38418;-192.759;192.9;-0.0543044;0.211179;-0.0746076
1598;655;-9.09723;-191.332;191.548;-0.0632284;0.264532;-0.0755668
1621;655;-10.5114;-189.543;189.834;-0.0565693;0.253385;-0.0686942
655;678;12.4076;-184.717;185.134;-0.0685308;0.267755;0.056701
678;678;10.6887;-186.617;186.923;-0.0698123;0.270244;0.0608495
701;678;8.93165;-188.219;188.431;-0.0581179;0.256864;0.0770049
724;678;7.88617;-188.624;188.788;-0.0384169;0.245425;0.0920916
747;678;7.12702;-188.654;188.789;-0.0286032;0.240385;0.091899
770;678;6.5509;-188.507;188.62;-0.0239662;0.237377;0.0889648
793;678;6.00879;-188.205;188.301;-0.0201085;0.256281;0.0896605
816;678;5.60602;-187.539;187.622;-0.0230589;0.268692;0.0836261
839;678;4.92759;-187.359;187.424;-0.0235138;0.272118;0.0778005
862;678;4.50431;-186.743;186.797;-0.0149711;0.291698;0.0752141
