x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;632;0.732655;-285.013;285.014;-0.0597328;0.276591;0.108155
678;632;-0.790995;-287.15;287.152;-0.0508715;0.274087;0.114783
701;632;-1.76249;-287.848;287.854;-0.0341304;0.240902;0.134148
724;632;-2.38922;-287.358;287.368;-0.00626416;0.203989;0.144798
747;632;-2.05374;-287.401;287.408;0.00746215;0.195;0.117017
770;632;-2.04821;-287.659;287.666;-0.000221303;0.231157;0.115901
793;632;-2.06406;-287.515;287.522;0.0061157;0.219977;0.113279
816;632;-1.76783;-287.572;287.577;0.00507443;0.222175;0.0954689
839;632;-1.83143;-287.649;287.655;-0.00828645;0.233472;0.0809775
862;632;-2.15185;-287.91;287.918;-0.00980242;0.259439;0.085485
885;632;-2.28476;-287.781;287.79;0.00124708;0.268345;0.0858866
908;632;-2.09459;-287.991;287.998;0.00426286;0.293264;0.0756109
931;632;-2.08908;-287.79;287.798;0.000161621;0.281834;0.0731709
954;632;-2.0879;-287.729;287.736;0.00302393;0.296955;0.065077
977;632;-1.95025;-287.86;287.867;-0.000346901;0.324932;0.0591616
1000;632;-2.104;-287.841;287.849;-0.00499675;0.33804;0.0556323
1023;632;-2.18087;-287.993;288.002;-0.00186955;0.345067;0.0506602
1046;632;-2.19024;-287.963;287.971;0.00047195;0.348192;0.047603
1069;632;-2.16104;-287.578;287.586;-0.0057793;0.331785;0.0387703
1092;632;-2.4572;-287.788;287.798;-0.00886459;0.348905;0.0258342
1115;632;-2.57163;-287.878;287.889;-0.00177946;0.339495;0.0184042
1138;632;-2.53973;-288.023;288.034;0.00533474;0.372641;0.00760098
1161;632;-2.32706;-288.007;288.017;-0.00274391;0.358787;-0.00265553
1184;632;-2.66648;-288.206;288.218;-0.00441126;0.370088;-0.00796868
1207;632;-2.53054;-288.107;288.118;-0.000228933;0.350004;-0.0231755
1230;632;-2.67705;-288.26;288.272;-0.00744468;0.32172;-0.0280305
1253;632;-2.87444;-288.228;288.243;-0.00263684;0.312973;-0.0316584
1276;632;-2.79905;-288.483;288.496;7.36532e-05;0.303818;-0.0456684
1299;632;-2.87355;-288.708;288.723;-0.000504631;0.288069;-0.0478291
1322;632;-2.82238;-288.587;288.601;0.000703139;0.286738;-0.0493166
1345;632;-2.84144;-288.565;288.579;-0.000195624;0.271232;-0.0612908
1368;632;-2.83138;-288.595;288.609;0.00272977;0.244158;-0.0725067
1391;632;-2.71742;-288.921;288.934;0.00322142;0.244075;-0.077187
1414;632;-2.68392;-288.807;288.819;-0.00824022;0.229066;-0.079951
1437;632;-3.09838;-288.747;288.764;-0.00683014;0.212271;-0.0763582
1460;632;-2.9998;-289.044;289.059;0.000468732;0.217001;-0.0897697
1483;632;-3.07892;-289.187;289.203;-0.00827189;0.219137;-0.0930385
1506;632;-3.3819;-289.02;289.039;-0.00187886;0.208853;-0.0904799
1529;632;-3.16631;-288.902;288.919;0.00461775;0.226134;-0.114636
1552;632;-3.17003;-289.09;289.107;-0.0174596;0.235376;-0.12139
1575;632;-3.97725;-288.658;288.685;-0.0270087;0.26191;-0.124647
1598;632;-4.4352;-288.387;288.421;-0.0655648;0.36556;-0.126196
1621;632;-7.19248;-285.831;285.921;-0.106521;0.313337;-0.067936
655;655;8.79841;-280.507;280.645;-0.0874946;0.360817;0.105066
678;655;6.59387;-282.502;282.579;-0.0816938;0.355274;0.112165
701;655;4.75765;-283.62;283.66;-0.0532606;0.312699;0.128019
724;655;4.05437;-283.838;283.867;-0.0277612;0.281733;0.13842
747;655;3.4618;-283.851;283.872;-0.0151003;0.272962;0.133226
770;655;3.35207;-283.375;283.395;-0.00855925;0.281769;0.124953
793;655;3.06411;-283.396;283.413;-0.0144834;0.28879;0.112398
816;655;2.68086;-283.29;283.303;-0.0200939;0.312609;0.105479
839;655;2.12917;-283.075;283.083;-0.0167687;0.320868;0.097329
862;655;1.90083;-282.855;282.861;-0.00898714;0.354835;0.0967009
885;655;1.71087;-282.551;282.556;-0.0112876;0.359866;0.0945541
908;655;1.37433;-282.229;282.232;-0.0128745;0.373934;0.0808974
931;655;1.11348;-282.208;282.21;-0.00935401;0.377671;0.0769013
954;655;0.940429;-281.85;281.851;-0.00570342;0.392918;0.0754365
977;655;0.844084;-281.45;281.451;-0.00824942;0.404122;0.0674389
1000;655;0.554516;-281.184;281.184;-0.013179;0.433063;0.057775
1023;655;0.233057;-281.19;281.19;-0.0177962;0.45702;0.0483147
1046;655;-0.271675;-281.068;281.068;-0.0153824;0.4582;0.0457732
1069;655;-0.480644;-280.96;280.96;-0.0169969;0.455993;0.0380183
1092;655;-1.06081;-280.852;280.854;-0.0234197;0.472042;0.0259533
1115;655;-1.57107;-281.092;281.097;-0.0224711;0.482528;0.0254578
1138;655;-2.10686;-280.641;280.649;-0.0163412;0.489391;0.0148441
1161;655;-2.32958;-280.865;280.874;-0.0185443;0.481088;-0.0071976
