Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0275","-0.4902"
"0.0260","0.0276","-0.4638"
"0.0320","0.0277","-0.4352"
"0.0350","0.0278","-0.4082"
"0.0370","0.0279","-0.3825"
"0.0390","0.0280","-0.3488"
"0.0410","0.0281","-0.3058"
"0.0420","0.0282","-0.2805"
"0.0430","0.0283","-0.2524"
"0.0440","0.0284","-0.2215"
"0.0450","0.0285","-0.1880"
"0.0460","0.0286","-0.1522"
"0.0470","0.0288","-0.1144"
"0.0480","0.0289","-0.0753"
"0.0490","0.0290","-0.0354"
"0.0500","0.0292","0.0047"
"0.0510","0.0293","0.0444"
"0.0520","0.0295","0.0832"
"0.0530","0.0296","0.1207"
"0.0540","0.0298","0.1566"
"0.0550","0.0299","0.1904"
"0.0560","0.0301","0.2223"
"0.0570","0.0302","0.2521"
"0.0580","0.0303","0.2799"
"0.0590","0.0305","0.3058"
"0.0610","0.0307","0.3519"
"0.0630","0.0310","0.3912"
"0.0650","0.0313","0.4240"
"0.0670","0.0315","0.4507"
"0.0700","0.0318","0.4804"
"0.0750","0.0324","0.5090"
"0.0820","0.0330","0.5373"
"0.0860","0.0334","0.5738"
"0.0880","0.0337","0.6038"
"0.0900","0.0339","0.6439"
"0.0920","0.0342","0.6955"
"0.0930","0.0343","0.7261"
"0.0940","0.0344","0.7599"
"0.0950","0.0346","0.7972"
"0.0960","0.0348","0.8380"
"0.0970","0.0350","0.8822"
"0.0980","0.0352","0.9300"
"0.0990","0.0354","0.9813"
"0.1000","0.0356","1.0361"
"0.1010","0.0358","1.0944"
"0.1020","0.0361","1.1561"
"0.1030","0.0363","1.2211"
"0.1040","0.0366","1.2894"
"0.1050","0.0369","1.3608"
"0.1060","0.0372","1.4351"
"0.1070","0.0375","1.5122"
"0.1080","0.0379","1.5920"
"0.1090","0.0382","1.6741"
"0.1100","0.0386","1.7585"
"0.1110","0.0390","1.8450"
"0.1120","0.0394","1.9334"
"0.1130","0.0398","2.0235"
"0.1140","0.0402","2.1151"
"0.1150","0.0407","2.2080"
"0.1160","0.0411","2.3022"
"0.1170","0.0416","2.3972"
"0.1180","0.0421","2.4930"
"0.1190","0.0426","2.5894"
"0.1200","0.0431","2.6861"
"0.1210","0.0436","2.7831"
"0.1220","0.0442","2.8801"
"0.1230","0.0447","2.9772"
"0.1240","0.0453","3.0741"
"0.1250","0.0459","3.1708"
"0.1260","0.0465","3.2673"
"0.1270","0.0471","3.3634"
"0.1280","0.0477","3.4591"
"0.1290","0.0483","3.5541"
"0.1300","0.0489","3.6484"
"0.1310","0.0495","3.7420"
"0.1320","0.0501","3.8346"
"0.1330","0.0507","3.9264"
"0.1340","0.0514","4.0172"
"0.1350","0.0520","4.1070"
"0.1360","0.0526","4.1959"
"0.1370","0.0533","4.2837"
"0.1380","0.0539","4.3704"
"0.1390","0.0546","4.4561"
"0.1400","0.0552","4.5406"
"0.1410","0.0558","4.6240"
"0.1420","0.0565","4.7063"
"0.1430","0.0571","4.7874"
"0.1440","0.0577","4.8675"
"0.1450","0.0584","4.9464"
"0.1460","0.0590","5.0244"
"0.1470","0.0596","5.1013"
"0.1480","0.0602","5.1773"
"0.1490","0.0608","5.2523"
"0.1500","0.0614","5.3263"
"0.1510","0.0621","5.3993"
"0.1520","0.0627","5.4714"
"0.1530","0.0632","5.5425"
"0.1540","0.0638","5.6128"
"0.1550","0.0644","5.6822"
"0.1560","0.0650","5.7508"
"0.1570","0.0656","5.8186"
"0.1580","0.0661","5.8856"
"0.1590","0.0667","5.9519"
"0.1600","0.0673","6.0175"
"0.1610","0.0678","6.0824"
"0.1620","0.0683","6.1466"
"0.1630","0.0689","6.2101"
"0.1640","0.0694","6.2729"
"0.1650","0.0700","6.3351"
"0.1660","0.0705","6.3965"
"0.1670","0.0710","6.4573"
"0.1680","0.0715","6.5174"
"0.1690","0.0720","6.5767"
"0.1700","0.0725","6.6353"
"0.1710","0.0730","6.6932"
"0.1720","0.0735","6.7502"
"0.1730","0.0740","6.8065"
"0.1740","0.0745","6.8620"
"0.1750","0.0750","6.9167"
"0.1760","0.0754","6.9705"
"0.1770","0.0759","7.0236"
"0.1780","0.0764","7.0758"
"0.1790","0.0769","7.1272"
"0.1800","0.0773","7.1777"
"0.1810","0.0778","7.2274"
"0.1820","0.0782","7.2762"
"0.1830","0.0787","7.3242"
"0.1840","0.0791","7.3713"
"0.1850","0.0795","7.4176"
"0.1860","0.0800","7.4630"
"0.1870","0.0804","7.5077"
"0.1880","0.0808","7.5515"
"0.1890","0.0813","7.5947"
"0.1900","0.0817","7.6370"
"0.1910","0.0821","7.6787"
"0.1920","0.0825","7.7197"
"0.1930","0.0829","7.7601"
"0.1940","0.0833","7.7998"
"0.1950","0.0837","7.8391"
"0.1960","0.0841","7.8778"
"0.1970","0.0845","7.9161"
"0.1980","0.0849","7.9540"
"0.1990","0.0853","7.9916"
"0.2000","0.0857","8.0288"
"0.2010","0.0861","8.0658"
"0.2020","0.0865","8.1027"
"0.2030","0.0869","8.1394"
"0.2040","0.0872","8.1760"
"0.2050","0.0876","8.2126"
"0.2060","0.0880","8.2492"
"0.2070","0.0884","8.2858"
"0.2080","0.0887","8.3226"
"0.2090","0.0891","8.3597"
"0.2100","0.0895","8.3969"
"0.2110","0.0899","8.4345"
"0.2120","0.0902","8.4725"
"0.2130","0.0906","8.5108"
"0.2140","0.0910","8.5496"
"0.2150","0.0913","8.5889"
"0.2160","0.0917","8.6288"
"0.2170","0.0921","8.6692"
"0.2180","0.0925","8.7103"
"0.2190","0.0928","8.7521"
"0.2200","0.0932","8.7945"
"0.2210","0.0936","8.8377"
"0.2220","0.0940","8.8817"
"0.2230","0.0943","8.9263"
"0.2240","0.0947","8.9718"
"0.2250","0.0951","9.0180"
"0.2260","0.0955","9.0650"
"0.2270","0.0959","9.1127"
"0.2280","0.0963","9.1613"
"0.2290","0.0967","9.2107"
"0.2300","0.0971","9.2610"
"0.2310","0.0975","9.3120"
"0.2320","0.0979","9.3638"
"0.2330","0.0983","9.4163"
"0.2340","0.0987","9.4696"
"0.2350","0.0991","9.5235"
"0.2360","0.0995","9.5781"
"0.2370","0.0999","9.6334"
"0.2380","0.1003","9.6892"
"0.2390","0.1007","9.7455"
"0.2400","0.1011","9.8024"
"0.2410","0.1015","9.8597"
"0.2420","0.1020","9.9174"
"0.2430","0.1024","9.9755"
"0.2440","0.1028","10.0339"
"0.2450","0.1032","10.0926"
"0.2460","0.1037","10.1514"
"0.2470","0.1041","10.2104"
"0.2480","0.1045","10.2695"
"0.2490","0.1049","10.3286"
"0.2500","0.1054","10.3877"
"0.2510","0.1058","10.4467"
"0.2520","0.1062","10.5055"
"0.2530","0.1067","10.5642"
"0.2540","0.1071","10.6227"
"0.2550","0.1075","10.6809"
"0.2560","0.1080","10.7387"
"0.2570","0.1084","10.7961"
"0.2580","0.1088","10.8531"
"0.2590","0.1093","10.9097"
"0.2600","0.1097","10.9658"
"0.2610","0.1101","11.0215"
"0.2620","0.1105","11.0766"
"0.2630","0.1110","11.1313"
"0.2640","0.1114","11.1854"
"0.2650","0.1118","11.2391"
"0.2660","0.1122","11.2922"
"0.2670","0.1127","11.3449"
"0.2680","0.1131","11.3971"
"0.2690","0.1135","11.4489"
"0.2700","0.1139","11.5003"
"0.2710","0.1143","11.5513"
"0.2720","0.1147","11.6019"
"0.2730","0.1151","11.6522"
"0.2740","0.1156","11.7022"
"0.2750","0.1160","11.7520"
"0.2760","0.1164","11.8017"
"0.2770","0.1168","11.8511"
"0.2780","0.1172","11.9005"
"0.2790","0.1176","11.9499"
"0.2800","0.1180","11.9993"
"0.2810","0.1184","12.0487"
"0.2820","0.1188","12.0983"
"0.2830","0.1192","12.1480"
"0.2840","0.1196","12.1979"
"0.2850","0.1200","12.2480"
"0.2860","0.1204","12.2985"
