x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;655;-0.089009;-19.7176;19.7178;-0.00575631;0.0289307;0.0131799
678;655;-0.222385;-19.883;19.8842;-0.00447491;0.0212145;0.0110576
701;655;-0.295976;-19.9633;19.9655;-0.0022877;0.0171639;0.00966532
724;655;-0.327751;-19.9143;19.917;-0.00348239;0.0119934;0.00918734
747;655;-0.456448;-19.951;19.9562;-0.00302495;0.0127531;0.00845498
770;655;-0.46716;-19.9826;19.9881;-0.000731813;0.0129446;0.00697753
793;655;-0.490224;-20.0469;20.0529;0.00022371;0.0116305;0.00662153
816;655;-0.456881;-20.0123;20.0175;0.000314684;0.00976018;0.00656401
839;655;-0.475939;-19.9152;19.9209;-0.00210915;0.00589478;0.00568197
862;655;-0.554013;-19.9838;19.9915;-0.00128994;0.00860574;0.0043874
885;655;-0.535385;-19.9957;20.0029;-0.000190298;0.0058896;0.00331678
908;655;-0.562917;-20.1012;20.1091;-0.00226896;0.0103485;0.00244944
931;655;-0.64019;-20.1654;20.1755;-0.00024736;0.0128403;0.00517164
954;655;-0.574324;-20.0518;20.06;0.0011503;0.00754494;0.00533702
977;655;-0.587419;-20.0636;20.0722;-0.000480151;0.00720275;0.00196654
1000;655;-0.59642;-20.0711;20.0799;-0.000981161;0.00783797;0.00197592
1023;655;-0.632581;-20.0879;20.0979;-0.00125141;0.00774758;0.000839205
1046;655;-0.654023;-20.0858;20.0964;-0.000832785;0.00766538;0.00254042
1069;655;-0.670916;-20.1199;20.1311;0.00114996;0.00871276;0.000930925
1092;655;-0.601211;-20.1573;20.1662;0.00137445;0.0106668;6.95395e-05
1115;655;-0.607735;-20.1284;20.1376;-0.000936251;0.00925662;0.00145942
1138;655;-0.644466;-20.0332;20.0436;-0.00120093;0.00488778;0.000390092
1161;655;-0.663016;-20.1073;20.1183;-0.000223286;0.00831441;-0.00110566
1184;655;-0.654892;-20.1521;20.1628;0.000258132;0.0132733;-0.00155172
1207;655;-0.651154;-20.1378;20.1483;0.00106449;0.0126931;-0.00187479
1230;655;-0.605981;-20.0996;20.1087;0.000694328;0.00709659;-0.00106755
1253;655;-0.61923;-20.1192;20.1287;-0.00192936;0.00962703;-0.00260253
1276;655;-0.694882;-20.1764;20.1884;-0.00278983;0.00988514;-0.00292553
1299;655;-0.747832;-20.2106;20.2244;-0.000133044;0.0167339;-0.00153402
1322;655;-0.701008;-20.1983;20.2104;0.000430391;0.0150989;-0.003795
1345;655;-0.728054;-20.1732;20.1863;0.000343837;0.0114828;-0.00160143
1368;655;-0.685287;-20.1058;20.1175;-0.000297426;0.0111454;-0.00292163
1391;655;-0.741825;-20.0835;20.0972;-0.000723786;0.00686594;-0.00322118
1414;655;-0.718612;-20.0641;20.0769;-0.00154596;0.00744154;-0.00462492
1437;655;-0.813072;-19.9988;20.0153;-0.0035491;0.00502915;-0.00430739
1460;655;-0.882186;-20.0162;20.0357;-0.000685946;0.00716571;-0.00423098
1483;655;-0.844653;-20.0377;20.0555;-1.75808e-05;0.00837648;-0.00619473
1506;655;-0.883001;-20.0407;20.0601;-0.000882657;0.0135933;-0.00631555
1529;655;-0.885287;-20.0017;20.0213;0.000285555;0.01383;-0.00804275
