Time,Displacement,Force
(s),(mm),(N)
"0.0000","-0.0009","0.0320"
"0.0520","0.0003","0.0572"
"0.0620","0.0016","0.0853"
"0.1140","0.0092","0.1109"
"0.1210","0.0107","0.1384"
"0.1260","0.0122","0.1638"
"0.1310","0.0141","0.1926"
"0.1360","0.0164","0.2225"
"0.1410","0.0191","0.2513"
"0.1460","0.0220","0.2768"
"0.1520","0.0258","0.3021"
"0.1610","0.0314","0.3280"
"0.1780","0.0413","0.3537"
"0.2260","0.0633","0.3794"
"0.2450","0.0712","0.4056"
"0.2740","0.0832","0.4307"
"0.3100","0.0972","0.4567"
"0.3310","0.1059","0.4827"
"0.3550","0.1160","0.5078"
"0.3820","0.1269","0.5338"
"0.4240","0.1437","0.5589"
"0.4520","0.1543","0.5843"
"0.4710","0.1622","0.6098"
"0.5050","0.1762","0.6348"
"0.5300","0.1863","0.6598"
"0.5780","0.2050","0.6855"
"0.6000","0.2137","0.7106"
"0.6290","0.2257","0.7356"
"0.6540","0.2360","0.7606"
"0.7070","0.2569","0.7861"
"0.7290","0.2657","0.8117"
"0.7670","0.2808","0.8370"
"0.7980","0.2933","0.8622"
"0.8420","0.3106","0.8873"
"0.8660","0.3198","0.9129"
"0.9140","0.3394","0.9381"
"0.9390","0.3494","0.9633"
"0.9790","0.3654","0.9889"
"1.0170","0.3804","1.0146"
"1.0490","0.3935","1.0405"
"1.0740","0.4039","1.0657"
"1.1320","0.4265","1.0910"
"1.1590","0.4377","1.1162"
"1.1960","0.4522","1.1415"
"1.2300","0.4664","1.1667"
"1.2760","0.4840","1.1922"
"1.3040","0.4957","1.2173"
"1.3430","0.5113","1.2429"
"1.3920","0.5308","1.2680"
"1.4220","0.5427","1.2932"
"1.4630","0.5592","1.3188"
"1.5170","0.5809","1.3439"
"1.5460","0.5921","1.3697"
"1.5930","0.6111","1.3951"
"1.6180","0.6210","1.4202"
"1.6760","0.6437","1.4452"
"1.7010","0.6539","1.4705"
"1.7430","0.6710","1.4960"
"1.7910","0.6901","1.5211"
"1.8230","0.7030","1.5469"
"1.8620","0.7192","1.5719"
"1.9180","0.7413","1.5969"
"1.9530","0.7545","1.6225"
"1.9750","0.7639","1.6476"
"2.0280","0.7854","1.6730"
"2.0820","0.8064","1.6983"
"2.1080","0.8169","1.7239"
"2.1520","0.8351","1.7496"
"2.2080","0.8572","1.7749"
"2.2350","0.8679","1.8004"
"2.2840","0.8875","1.8255"
"2.3400","0.9099","1.8507"
"2.3700","0.9217","1.8766"
"2.4190","0.9413","1.9023"
"2.4510","0.9542","1.9274"
"2.5020","0.9745","1.9530"
"2.5430","0.9910","1.9784"
"2.5770","1.0050","2.0035"
"2.6310","1.0263","2.0286"
"2.6750","1.0440","2.0539"
"2.7110","1.0584","2.0793"
"2.7650","1.0795","2.1050"
"2.8000","1.0939","2.1302"
"2.8420","1.1108","2.1558"
"2.8960","1.1323","2.1811"
"2.9440","1.1515","2.2062"
"2.9720","1.1630","2.2319"
"3.0320","1.1865","2.2574"
"3.0670","1.2010","2.2827"
"3.1110","1.2182","2.3079"
"3.1750","1.2432","2.3337"
"3.1990","1.2530","2.3593"
"3.2410","1.2704","2.3846"
"3.3070","1.2963","2.4104"
"3.3390","1.3095","2.4360"
"3.3870","1.3291","2.4613"
"3.4440","1.3510","2.4870"
"3.4720","1.3627","2.5122"
"3.5240","1.3835","2.5374"
"3.5810","1.4062","2.5628"
"3.6180","1.4212","2.5880"
"3.6600","1.4383","2.6135"
"3.7160","1.4604","2.6385"
"3.7580","1.4776","2.6636"
"3.8000","1.4942","2.6890"
"3.8640","1.5189","2.7143"
"3.8900","1.5298","2.7395"
"3.9420","1.5508","2.7646"
"3.9970","1.5722","2.7903"
"4.0330","1.5870","2.8156"
"4.0790","1.6058","2.8408"
"4.1340","1.6274","2.8661"
"4.1890","1.6496","2.8917"
"4.2170","1.6612","2.9173"
"4.2830","1.6867","2.9428"
"4.3260","1.7045","2.9684"
"4.3850","1.7281","2.9934"
"4.4180","1.7412","3.0185"
"4.4660","1.7605","3.0440"
"4.5350","1.7877","3.0691"
"4.5610","1.7983","3.0945"
"4.6130","1.8191","3.1201"
"4.6740","1.8428","3.1454"
"4.7000","1.8536","3.1704"
"4.7580","1.8772","3.1959"
"4.8140","1.8991","3.2217"
"4.8650","1.9199","3.2468"
"4.8970","1.9331","3.2720"
"4.9590","1.9572","3.2977"
"5.0040","1.9755","3.3230"
"5.0630","1.9993","3.3483"
"5.1000","2.0138","3.3738"
"5.1450","2.0322","3.3989"
"5.2140","2.0595","3.4246"
"5.2470","2.0729","3.4498"
"5.2970","2.0930","3.4753"
"5.3620","2.1181","3.5009"
"5.4080","2.1371","3.5262"
"5.4520","2.1548","3.5516"
"5.5060","2.1760","3.5770"
"5.5540","2.1954","3.6026"
"5.6090","2.2176","3.6277"
"5.6550","2.2361","3.6527"
"5.6990","2.2536","3.6782"
"5.7690","2.2810","3.7032"
"5.7970","2.2927","3.7283"
"5.8530","2.3155","3.7534"
"5.9100","2.3377","3.7790"
"5.9600","2.3579","3.8044"
"6.0190","2.3816","3.8299"
"6.0580","2.3970","3.8551"
"6.1130","2.4190","3.8807"
"6.1770","2.4439","3.9064"
"6.2140","2.4593","3.9314"
"6.2560","2.4765","3.9564"
"6.3190","2.5012","3.9818"
"6.3690","2.5214","4.0072"
"6.4400","2.5496","4.0327"
"6.4640","2.5594","4.0581"
"6.5270","2.5846","4.0840"
"6.5820","2.6068","4.1094"
"6.6200","2.6221","4.1347"
"6.6830","2.6476","4.1602"
"6.7280","2.6654","4.1855"
"6.7910","2.6902","4.2113"
"6.8540","2.7151","4.2368"
"6.8990","2.7334","4.2618"
"6.9370","2.7483","4.2870"
"7.0070","2.7764","4.3126"
"7.0460","2.7921","4.3378"
"7.1120","2.8188","4.3630"
"7.1520","2.8350","4.3882"
"7.2070","2.8568","4.4136"
"7.2690","2.8811","4.4388"
"7.3180","2.9013","4.4639"
"7.3730","2.9233","4.4889"
"7.4190","2.9415","4.5142"
"7.4710","2.9626","4.5397"
"7.5360","2.9880","4.5653"
"7.5970","3.0126","4.5908"
"7.6290","3.0257","4.6158"
"7.6940","3.0512","4.6413"
"7.7420","3.0707","4.6668"
"7.8080","3.0967","4.6923"
"7.8520","3.1146","4.7175"
"7.8930","3.1317","4.7427"
"7.9580","3.1568","4.7683"
"8.0210","3.1823","4.7935"
"8.0810","3.2061","4.8189"
"8.1200","3.2219","4.8444"
"8.1800","3.2462","4.8697"
"8.2330","3.2674","4.8947"
"8.2860","3.2881","4.9199"
"8.3600","3.3174","4.9449"
"8.3880","3.3293","4.9702"
"8.4510","3.3543","4.9954"
"8.5150","3.3795","5.0205"
"8.5550","3.3960","5.0458"
"8.6220","3.4226","5.0714"
"8.6880","3.4486","5.0968"
"8.7160","3.4604","5.1221"
"8.7860","3.4881","5.1474"
"8.8410","3.5101","5.1729"
"8.8900","3.5301","5.1981"
"8.9530","3.5553","5.2239"
"9.0320","3.5863","5.2498"
"9.0560","3.5963","5.2753"
"9.1170","3.6208","5.3009"
"9.1900","3.6491","5.3260"
"9.2280","3.6652","5.3513"
"9.2980","3.6927","5.3764"
"9.3540","3.7155","5.4018"
"9.3900","3.7304","5.4268"
"9.4590","3.7571","5.4518"
"9.5150","3.7800","5.4768"
"9.5840","3.8073","5.5020"
"9.6230","3.8231","5.5275"
"9.6670","3.8416","5.5527"
"9.7360","3.8686","5.5779"
"9.7900","3.8898","5.6038"
"9.8650","3.9193","5.6291"
"9.9180","3.9411","5.6542"
"9.9740","3.9636","5.6795"
"10.0290","3.9854","5.7046"
"10.0760","4.0048","5.7296"
"10.1410","4.0302","5.7547"
"10.2020","4.0546","5.7797"
"10.2720","4.0823","5.8048"
"10.3090","4.0976","5.8299"
"10.3860","4.1283","5.8551"
"10.4250","4.1440","5.8804"
"10.4810","4.1666","5.9054"
"10.5480","4.1927","5.9310"
"10.6090","4.2173","5.9563"
"10.6750","4.2432","5.9820"
"10.7190","4.2614","6.0072"
"10.7900","4.2899","6.0322"
"10.8360","4.3082","6.0576"
"10.8840","4.3276","6.0835"
"10.9600","4.3577","6.1095"
"11.0170","4.3807","6.1345"
"11.0850","4.4078","6.1602"
"11.1270","4.4249","6.1853"
"11.2060","4.4565","6.2108"
"11.2350","4.4682","6.2363"
"11.3060","4.4968","6.2616"
"11.3710","4.5217","6.2868"
"11.4290","4.5455","6.3123"
"11.4970","4.5724","6.3376"
"11.5510","4.5941","6.3630"
"11.6250","4.6237","6.3882"
"11.6640","4.6396","6.4133"
"11.7240","4.6639","6.4383"
"11.7840","4.6873","6.4635"
"11.8430","4.7113","6.4887"
"11.9070","4.7365","6.5141"
"11.9660","4.7605","6.5392"
"12.0360","4.7880","6.5642"
"12.0930","4.8112","6.5894"
"12.1650","4.8394","6.6145"
"12.2060","4.8560","6.6401"
"12.2630","4.8793","6.6653"
"12.3280","4.9050","6.6910"
"12.3790","4.9257","6.7164"
"12.4540","4.9551","6.7417"
"12.5150","4.9799","6.7670"
"12.5810","5.0060","6.7922"
"12.6200","5.0218","6.8174"
"12.6920","5.0510","6.8425"
"12.7420","5.0711","6.8676"
"12.8000","5.0942","6.8933"
"12.8740","5.1231","6.9183"
"12.9330","5.1468","6.9438"
"13.0030","5.1747","6.9694"
"13.0520","5.1947","6.9949"
"13.1280","5.2251","7.0205"
"13.1890","5.2494","7.0457"
"13.2570","5.2765","7.0713"
"13.3040","5.2957","7.0963"
"13.3770","5.3249","7.1215"
"13.4200","5.3419","7.1465"
"13.4770","5.3651","7.1717"
"13.5520","5.3945","7.1970"
"13.6090","5.4173","7.2224"
"13.6840","5.4467","7.2475"
"13.7260","5.4643","7.2728"
"13.8050","5.4956","7.2983"
"13.8640","5.5195","7.3235"
"13.9370","5.5485","7.3486"
"13.9740","5.5636","7.3736"
"14.0390","5.5897","7.3988"
"14.1110","5.6182","7.4242"
"14.1650","5.6404","7.4495"
"14.2370","5.6690","7.4747"
"14.2900","5.6902","7.5001"
"14.3630","5.7184","7.5262"
"14.4320","5.7466","7.5517"
"14.4950","5.7715","7.5770"
"14.5510","5.7943","7.6023"
"14.6230","5.8229","7.6274"
"14.6910","5.8501","7.6525"
"14.7560","5.8762","7.6775"
"14.8020","5.8949","7.7028"
"14.8560","5.9167","7.7279"
"14.9310","5.9464","7.7533"
"15.0180","5.9811","7.7783"
"15.0530","5.9949","7.8035"
"15.1170","6.0206","7.8292"
"15.1880","6.0485","7.8545"
"15.2490","6.0736","7.8798"
"15.3130","6.0987","7.9052"
"15.3750","6.1240","7.9305"
"15.4470","6.1523","7.9559"
"15.5050","6.1760","7.9811"
"15.5840","6.2072","8.0061"
"15.6270","6.2249","8.0317"
"15.7110","6.2583","8.0567"
"15.7540","6.2758","8.0820"
"15.8390","6.3096","8.1073"
"15.8770","6.3246","8.1324"
"15.9560","6.3564","8.1576"
"16.0270","6.3846","8.1828"
"16.0710","6.4025","8.2082"
"16.1520","6.4347","8.2337"
"16.2030","6.4553","8.2590"
"16.2810","6.4861","8.2841"
"16.3460","6.5125","8.3095"
"16.4110","6.5381","8.3347"
"16.4730","6.5635","8.3602"
"16.5430","6.5908","8.3858"
"16.6140","6.6194","8.4112"
"16.6820","6.6460","8.4366"
"16.7410","6.6704","8.4617"
"16.8160","6.6998","8.4867"
"16.8680","6.7213","8.5123"
"16.9520","6.7543","8.5382"
"17.0020","6.7748","8.5634"
"17.0770","6.8045","8.5887"
"17.1280","6.8253","8.6138"
"17.2040","6.8556","8.6390"
"17.2730","6.8831","8.6641"
"17.3430","6.9109","8.6893"
"17.4080","6.9370","8.7143"
"17.4700","6.9619","8.7393"
"17.5310","6.9863","8.7645"
"17.6110","7.0184","8.7897"
"17.6540","7.0357","8.8148"
"17.7210","7.0627","8.8399"
"17.7850","7.0875","8.8651"
"17.8690","7.1217","8.8901"
"17.9250","7.1439","8.9153"
"17.9820","7.1674","8.9405"
"18.0610","7.1983","8.9656"
"18.1230","7.2229","8.9907"
"18.1990","7.2531","9.0160"
"18.2530","7.2752","9.0410"
"18.3260","7.3042","9.0661"
"18.3820","7.3270","9.0912"
