x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;655;-0.788804;-9.48645;9.51919;-0.00149424;0.0149246;0.00656941
678;655;-0.823197;-9.48617;9.52182;-0.00148502;0.0103367;0.00499648
701;655;-0.857242;-9.5704;9.60872;-0.0021181;0.0115117;0.0025523
724;655;-0.920911;-9.61416;9.65817;-0.00176332;0.00939623;0.00382865
747;655;-0.938436;-9.60119;9.64694;-0.00140086;0.00737306;0.00419746
770;655;-0.985396;-9.62136;9.67169;-0.000623442;0.00874252;0.00311584
793;655;-0.967149;-9.64993;9.69827;0.000952036;0.0104004;0.00358108
816;655;-0.941624;-9.61316;9.65917;-4.3408e-05;0.00646543;0.00229434
839;655;-0.969146;-9.64754;9.69609;-0.00152479;0.00866825;0.00222293
862;655;-1.01183;-9.65179;9.70468;7.51706e-05;0.00657439;0.00180742
885;655;-0.965694;-9.62484;9.67317;-2.33991e-05;0.00293398;0.000559807
908;655;-1.01291;-9.66651;9.71943;-0.00273146;0.00426759;0.00148818
931;655;-1.09153;-9.66432;9.72576;-0.00122185;0.00729007;0.00312663
954;655;-1.06918;-9.62083;9.68006;0.00122348;0.00520071;0.0034018
977;655;-1.0353;-9.62996;9.68545;0.00163119;0.00468608;-0.000465188
1000;655;-0.994374;-9.74699;9.79758;-0.000706309;0.00819458;0.000118545
1023;655;-1.06783;-9.68587;9.74455;-0.00176314;0.0040729;0.0022511
1046;655;-1.0757;-9.62824;9.68815;-0.000418091;0.00647264;0.00270351
1069;655;-1.08708;-9.65778;9.71876;0.00218804;0.00612494;0.00027411
1092;655;-0.975182;-9.66945;9.7185;0.00149476;0.00456056;-0.00115426
1115;655;-1.01839;-9.70056;9.75387;-0.00232021;0.00602139;-0.000672222
1138;655;-1.08212;-9.75939;9.81919;-0.00092458;0.00768715;0.000836297
1161;655;-1.061;-9.77327;9.8307;0.000861928;0.00609112;0.000969778
1184;655;-1.04249;-9.75866;9.81419;0.000882594;0.0111336;1.9984e-05
1207;655;-1.02043;-9.74443;9.79772;0.000692378;0.00894096;-0.00164817
1230;655;-1.01066;-9.75007;9.80231;0.000293527;0.00549814;-0.000354479
1253;655;-1.00697;-9.80489;9.85647;-0.000743572;0.00987902;-0.000695228
1276;655;-1.04493;-9.82251;9.87793;-0.00141009;0.00909238;-0.000727663
1299;655;-1.07188;-9.81341;9.87178;0.00023933;0.0119431;0.000996285
1322;655;-1.03393;-9.79503;9.84945;0.000699741;0.00997196;-0.00135809
1345;655;-1.03973;-9.76073;9.81595;-0.000488677;0.00952249;0.000342576
1368;655;-1.05651;-9.70055;9.75791;-0.00123653;0.00819173;-0.000207348
1391;655;-1.09667;-9.71323;9.77495;0.000540119;0.00671725;-0.000318202
1414;655;-1.03167;-9.68978;9.74455;0.000146508;0.00540277;-0.00342243
1437;655;-1.08997;-9.77337;9.83396;-0.00148565;0.00954281;-0.00278736
1460;655;-1.10014;-9.77236;9.83409;0.000322776;0.00967486;-0.00128627
1483;655;-1.07512;-9.77108;9.83005;0.000197798;0.0104706;-0.00136505
1506;655;-1.0911;-9.6986;9.75979;-0.000439504;0.01217;-0.00336304
1529;655;-1.09536;-9.7307;9.79216;-0.00076731;0.0114582;-0.00357873
1552;655;-1.12642;-9.72169;9.78673;-0.00255343;0.0127452;-0.00582369
1575;655;-1.21302;-9.79892;9.87372;-0.00530276;0.0176594;-0.00237178
1598;655;-1.37112;-9.61523;9.7125;-0.0287019;0.0165833;-0.00708182
1621;655;-2.55401;-10.1248;10.4419;-0.0498623;0.0422215;-0.0187021
655;678;-0.486442;-9.14767;9.16059;-0.00277324;0.0141381;0.00351287
678;678;-0.550549;-9.25124;9.26761;-0.00407856;0.0108119;0.00299479
