x [mm];y [mm];x-displacement [mm];y-displacement [mm];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S];Maximum normal strain - GL [S];Minimum normal strain - GL [S];Affine transformation a [];Affine transformation b [];Affine transformation c [];Affine transformation d [];Confidence region [pixel];Correlation value [count];Enough pixels valid [];Number of iterations [];Vector status []
31.5305;1641.06;-1.81527;0.686947;0.0116949;0.000579743;-0.00323899;0.0125699;-0.00029523;1.0151;0.00814313;0.000946106;1.00099;0.0348331;0.970764;1;4;1
54.5305;1641.06;-1.54803;0.594134;0.0118647;-0.00402858;0.000591255;0.0118867;-0.00405054;1.00931;0.00804327;-0.00114654;0.992109;0.0460623;0.962745;1;4;1
77.5306;1641.06;-1.27276;0.763526;0.010233;-0.000262951;0.00324529;0.0111554;-0.00118532;1.00409;-0.00116773;-0.00785903;1.00253;0.0348685;0.97607;1;3;1
100.531;1641.06;-1.0806;0.883317;0.0106183;0.00230788;0.0004338;0.0106409;0.0022853;1.01284;0.00368291;-0.00816591;1.00251;0.0329353;0.977488;1;3;1
123.531;1641.06;-0.786957;0.846476;0.0109972;-0.00407824;0.00175453;0.0111987;-0.00427975;1.00928;-0.0110142;0.00196464;0.990527;0.0305715;0.9819;1;3;1
146.531;1641.06;-0.57752;0.819737;0.00903258;-0.00540298;0.00277658;0.00954822;-0.00591861;1.01273;-0.00825146;-0.00433546;0.98672;0.0394545;0.963715;1;4;1
169.531;1641.06;-0.373319;0.856023;0.0077917;-0.00680361;0.00426981;0.00894905;-0.00796096;1.00345;0.00237586;3.49357e-05;0.991316;0.0292793;0.986607;1;4;1
192.531;1641.06;-0.221241;1.08407;0.010877;0.000873932;0.001407;0.0110711;0.000679796;1.0116;0.00356597;-0.00966003;1.00311;0.0335986;0.983244;1;4;1
215.531;1641.06;0.123848;1.06786;0.011855;-0.00237491;0.00197161;0.0121231;-0.00264303;1.00766;-0.0125682;-0.000721341;0.998817;0.0297585;0.988248;1;3;1
238.531;1641.06;0.320887;1.10874;0.00704767;0.000743342;0.00258602;0.00797271;-0.000181701;1.01218;-0.00800319;-0.00357665;0.998943;0.033264;0.974073;1;4;1
261.531;1641.06;0.446786;1.17344;0.0101455;0.000366275;0.000684091;0.0101931;0.000318652;1.01001;0.00634655;-0.00642855;0.997694;0.0318735;0.982258;1;3;1
284.531;1641.06;0.785015;1.25197;0.0108343;0.00156463;0.00286242;0.011647;0.000751974;1.00837;-0.00537211;0.000921956;1.003;0.0315045;0.98114;1;4;1
307.531;1641.06;0.942066;1.37293;0.00756608;0.00461815;0.0032512;0.00966183;0.00252239;1.00944;-0.00310817;-0.00575492;1.0138;0.0370602;0.963417;1;4;1
330.531;1641.06;1.13118;1.48128;0.0101753;0.00521329;-0.00101043;0.0103732;0.00501543;1.01089;0.00409422;-0.000736466;1.01749;0.0366594;0.98611;1;3;1
353.531;1641.06;1.40776;1.34375;0.0122133;-6.57254e-06;-0.00153038;0.012402;-0.000195317;1.01936;-0.00729165;-0.00381492;0.995467;0.0348607;0.9805;1;4;1
