x [mm];y [mm];x-displacement [mm];y-displacement [mm];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S];Maximum normal strain - GL [S];Minimum normal strain - GL [S];Affine transformation a [];Affine transformation b [];Affine transformation c [];Affine transformation d [];Confidence region [pixel];Correlation value [count];Enough pixels valid [];Number of iterations [];Vector status []
31.5305;1641.06;5.53599;1.42191;0.00458441;0.00466726;-0.00224824;0.00687446;0.00237722;0.998133;0.0166567;-0.00629995;1.01183;0.0338896;0.971347;1;3;1
54.5305;1641.06;5.64102;1.33318;-0.000555368;0.0014895;0.0025889;0.00325055;-0.00231642;0.995585;-0.0088861;0.0080671;1.00929;0.0376896;0.974794;1;4;1
77.5306;1641.06;5.51018;1.26786;-0.00759192;-0.00503914;0.00441938;-0.00171552;-0.0109155;0.993315;-0.0112274;-0.00220294;0.990978;0.0274697;0.985038;1;4;1
100.531;1641.06;5.29024;1.47147;-0.00421393;0.00174307;0.001244;0.00199241;-0.00446328;0.995258;0.00558751;-0.00889558;1.00394;0.0300908;0.980233;1;3;1
123.531;1641.06;5.31571;1.40682;-0.00193315;-0.000306372;0.00104568;0.000205019;-0.00244454;1.00017;-0.00788821;0.00374091;0.999337;0.0284386;0.984379;1;3;1
146.531;1641.06;5.20112;1.36913;-0.00368833;-0.00205373;-0.000161142;-0.002038;-0.00370406;0.994464;-0.00180508;-0.00357386;0.998444;0.0343263;0.970182;1;3;1
169.531;1641.06;5.14573;1.38105;-0.00366262;-0.00210181;0.00243616;-0.00032411;-0.00544032;0.984513;0.00155677;-0.00163319;1.00042;0.029353;0.986499;1;3;1
192.531;1641.06;5.03232;1.40118;-0.00469908;-0.0015619;0.0015661;-0.000913928;-0.00534705;1.00227;0.000615689;-0.00334499;0.997155;0.027277;0.988988;1;4;1
215.531;1641.06;4.929;1.45773;-0.00348688;0.00209847;-0.000406912;0.00212796;-0.00351637;0.993151;-0.00282344;0.00140603;1.00192;0.0290577;0.98883;1;3;1
238.531;1641.06;4.87164;1.38412;-0.00453391;-0.000402892;0.00141987;3.80624e-05;-0.00497486;0.999697;6.5701e-06;-0.00350105;0.995757;0.0309904;0.97768;1;3;1
261.531;1641.06;4.71995;1.49352;-0.00397935;0.00268271;0.000440331;0.00271169;-0.00400833;0.996933;0.00479545;-0.000530618;1.00565;0.027455;0.987363;1;3;1
284.531;1641.06;4.68822;1.38081;-0.00335501;-0.00290722;0.000763747;-0.00233522;-0.003927;0.996426;-0.00986799;0.00355063;0.989139;0.0262933;0.986811;1;3;1
307.531;1641.06;4.56536;1.49006;-0.00549872;0.00501328;0.00308776;0.00585316;-0.0063386;0.998039;-0.00129718;0.000292625;1.00769;0.0359977;0.965082;1;3;1
330.531;1641.06;4.43401;1.60925;-0.00230155;0.00728568;-0.000917157;0.00737263;-0.0023885;0.995162;0.00581229;-0.00568015;1.01743;0.0295158;0.990973;1;3;1
353.531;1641.06;4.45932;1.42307;-0.00164552;0.000632273;-0.00138941;0.00128991;-0.00230316;1.00173;-0.0141765;-0.00290877;0.991671;0.035185;0.980125;1;4;1
376.531;1641.06;4.35795;1.44297;-0.00408341;-0.000943974;0.00200341;3.14333e-05;-0.00505882;1.00226;0.00260201;0.000358297;0.997265;0.0283586;0.984533;1;3;1
399.531;1641.06;4.27076;1.59881;-0.0037541;0.00435023;0.000961006;0.00446262;-0.0038665;0.991186;0.0124312;-0.00490557;1.01482;0.0269459;0.984917;1;4;1
422.531;1641.06;4.18472;1.58591;-0.00348432;0.00695117;-0.0019271;0.00729567;-0.00382882;0.991168;-0.00363774;0.00899435;1.00805;0.0267758;0.988557;1;3;1
445.531;1641.06;4.10991;1.43512;-0.00332597;-0.000600954;-0.00323218;0.00154416;-0.00547108;0.996702;0.00229742;-0.000438371;0.992554;0.0272154;0.990559;1;3;1
468.531;1641.06;4.03092;1.36268;-0.00102763;-0.00167806;-0.000248495;-0.000943556;-0.00176213;1.00177;0.00282362;0.00123896;0.989172;0.0295641;0.986307;1;3;1
491.531;1641.06;4.0626;1.4607;-0.00294643;0.000276546;0.00282384;0.00191636;-0.00458624;0.997369;-0.00647184;0.00057466;0.999036;0.0267616;0.987498;1;4;1
514.531;1641.06;3.89502;1.4883;-0.00303286;-0.000172901;4.84804e-05;-0.000172079;-0.00303368;0.99768;0.00632487;0.00302672;1.00129;0.0306249;0.986708;1;4;1
537.531;1641.06;3.92287;1.4826;-0.00174415;0.00107867;0.00212047;0.00221451;-0.00287999;0.996848;-0.0061445;-0.001528;1.0003;0.0304678;0.982832;1;6;1
