x [mm];y [mm];x-displacement [mm];y-displacement [mm];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S];Maximum normal strain - GL [S];Minimum normal strain - GL [S];Affine transformation a [];Affine transformation b [];Affine transformation c [];Affine transformation d [];Confidence region [pixel];Correlation value [count];Enough pixels valid [];Number of iterations [];Vector status []
31.5305;1641.06;-0.496689;3.56866;0.00704829;0.00206874;-0.00497329;0.0101202;-0.00100319;1.00292;0.00730956;-0.000437512;1.00777;0.031964;0.971649;1;3;1
54.5305;1641.06;-0.336253;3.34223;0.00498417;-0.00636758;0.00159543;0.00520414;-0.00658754;1.00297;-0.00382601;0.00843295;0.995797;0.0434185;0.966298;1;4;1
77.5306;1641.06;-0.268539;3.3425;-0.00228566;-0.00560421;0.0054209;0.00172422;-0.0096141;0.996195;-0.0112989;-0.00304856;0.995496;0.0327288;0.978372;1;4;1
100.531;1641.06;-0.441556;3.40498;-0.0003885;-0.00373201;0.000846103;-0.000186581;-0.00393393;0.998723;-0.00498506;-0.00472697;0.997522;0.028964;0.982669;1;4;1
123.531;1641.06;-0.286415;3.35436;0.00324042;-0.0072638;0.00226948;0.00370978;-0.00773316;1.00246;-0.0181485;0.00255087;0.989471;0.0304155;0.982404;1;4;1
146.531;1641.06;-0.292901;3.28219;-0.00297575;-0.00787034;0.00137036;-0.00261821;-0.00822789;1.00274;-0.00655558;-0.000484943;0.993038;0.0356229;0.959791;1;8;1
169.531;1641.06;-0.423774;3.19683;-0.00300158;-0.0132406;-0.000244906;-0.00299573;-0.0132465;1.00299;0.00489437;-0.000683773;0.982909;0.035784;0.979727;1;5;1
192.531;1641.06;-0.431202;3.23909;0.00209142;-0.008211;-0.000291572;0.00209966;-0.00821925;0.998511;0.00634583;0.00435849;0.987488;0.0295635;0.987476;1;3;1
215.531;1641.06;-0.32782;3.31457;0.00377685;-0.00199029;0.00120618;0.00401896;-0.0022324;1.00635;-0.00674054;0.00346681;1.00102;0.0300939;0.985338;1;3;1
238.531;1641.06;-0.257817;3.19273;0.000465583;-0.00421451;0.00322294;0.0021084;-0.00585733;1.00081;-0.0124346;-0.00435879;0.987849;0.0320967;0.976521;1;3;1
261.531;1641.06;-0.306442;3.37056;-0.000355926;0.00281243;0.00116944;0.00319732;-0.000740808;0.99964;-0.00070523;0.000397327;1.00594;0.0355761;0.980987;1;7;1
284.531;1641.06;-0.274194;3.203;0.00177385;-0.00466807;-0.000491503;0.00181113;-0.00470535;1.00369;-0.00534499;0.0126213;0.989067;0.0325901;0.982354;1;5;1
307.531;1641.06;-0.225185;3.21341;7.20425e-05;-0.00305596;0.00285318;0.00176177;-0.00474569;1.00235;-0.0021709;-0.00698273;1.00484;0.0403433;0.956813;1;4;1
330.531;1641.06;-0.270884;3.22314;-0.000144511;-0.00169305;0.000158102;-0.000128534;-0.00170902;0.993536;0.000324832;-0.00154015;1.00205;0.0351525;0.989369;1;4;1
353.531;1641.06;-0.231882;3.14649;0.00144372;-0.00122047;-0.00228243;0.00275435;-0.00253109;1.00614;-0.00770548;-0.00165563;0.990174;0.0310943;0.981911;1;4;1
376.531;1641.06;-0.20467;3.10598;0.00115846;-0.00427721;0.000125308;0.00116135;-0.0042801;1.00508;-0.00110439;0.0012733;0.989246;0.033097;0.978567;1;4;1
399.531;1641.06;-0.178664;3.08538;0.00152557;-0.00260326;0.00127215;0.00188606;-0.00296376;1.00084;0.00153413;0.00655481;0.998841;0.0260169;0.985382;1;4;1
422.531;1641.06;-0.13458;3.16137;-0.000788061;0.00363664;0.000632457;0.00372526;-0.000876688;0.999877;-0.00687638;0.00299675;1.0047;0.0277369;0.989319;1;4;1
445.531;1641.06;-0.214971;3.02372;-0.000662233;-0.00224404;-0.00361047;0.00224295;-0.00514922;1.00136;0.00380846;0.00424876;0.991797;0.0314239;0.989672;1;3;1
