x [mm];y [mm];x-displacement [mm];y-displacement [mm];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S];Maximum normal strain - GL [S];Minimum normal strain - GL [S];Affine transformation a [];Affine transformation b [];Affine transformation c [];Affine transformation d [];Confidence region [pixel];Correlation value [count];Enough pixels valid [];Number of iterations [];Vector status []
31.5305;1641.06;0.303806;-1.04228;0.0105572;-0.00312913;-0.000608028;0.0105841;-0.00315609;1.00555;0.00190657;0.000483468;0.997494;0.0342877;0.971132;1;3;1
54.5305;1641.06;0.545291;-1.09567;0.00720665;-0.00595064;0.00367527;0.00816366;-0.00690765;1.00972;-0.0118977;0.00304151;0.994588;0.0398917;0.971824;1;4;1
77.5306;1641.06;0.634122;-1.0239;0.00225507;-0.00490276;0.00422853;0.00421593;-0.00686362;0.999992;-0.00285489;-0.00366773;0.998998;0.0331837;0.978156;1;3;1
100.531;1641.06;0.648739;-0.970783;0.00282292;-0.00619963;0.00132164;0.00301253;-0.00638924;1.00323;-0.00294581;-0.00792098;0.997679;0.0357061;0.971765;1;4;1
123.531;1641.06;0.763751;-0.960993;0.00397279;-0.00685485;0.000116171;0.00397404;-0.0068561;1.0047;-0.00283207;0.00195963;0.990835;0.0344323;0.978147;1;3;1
146.531;1641.06;0.831123;-0.955101;0.00661973;-0.00467891;-0.000784411;0.00667393;-0.00473311;1.00452;0.00240416;-0.00121897;1.00102;0.0360375;0.968108;1;4;1
169.531;1641.06;1.06726;-0.948645;0.00591654;-0.0103592;0.00343036;0.00661;-0.0110527;1.00215;-0.00702492;-0.00601736;0.993331;0.0341388;0.981915;1;3;1
192.531;1641.06;1.10247;-0.914873;0.00556342;-0.00802842;-0.00223725;0.00592221;-0.00838721;1.00603;0.00748195;0.00403166;0.988816;0.0326395;0.9846;1;3;1
215.531;1641.06;1.32246;-0.950417;0.00655661;-0.00744158;0.0012869;0.00667394;-0.0075589;1.00296;-0.0129025;-0.00568787;0.98781;0.0373619;0.982085;1;4;1
238.531;1641.06;1.40303;-0.844468;0.00179429;-0.00238855;0.0030487;0.00339997;-0.00399424;1.00571;-0.0105654;-0.00161962;0.993224;0.0295772;0.97918;1;4;1
261.531;1641.06;1.40453;-0.758307;0.00554221;-0.00252794;-0.00103862;0.00567374;-0.00265946;1.01035;0.0148608;-0.00768566;1.00031;0.0317814;0.982139;1;3;1
284.531;1641.06;1.65719;-0.756678;0.00847365;-0.00377781;0.00270115;0.00904275;-0.00434691;1.00372;-0.00807971;0.00641872;0.991411;0.0282966;0.984052;1;4;1
307.531;1641.06;1.79261;-0.676857;0.00237302;-0.000745622;0.00464209;0.00571069;-0.00408329;1.00161;-0.0115643;-0.00246931;1.00285;0.0403206;0.955967;1;4;1
330.531;1641.06;1.76607;-0.639575;0.00448446;-0.00253022;-0.00170121;0.00487527;-0.00292102;1.0069;0.0115371;-0.00148604;1.01332;0.0362895;0.984798;1;5;1
353.531;1641.06;1.99838;-0.743887;0.00721865;-0.00473223;8.21703e-05;0.00721922;-0.0047328;1.01498;-0.015872;-0.00273087;0.988242;0.0383165;0.97801;1;4;1
376.531;1641.06;2.09694;-0.648348;0.00456602;-0.0045727;0.00217146;0.00505574;-0.00506242;1.00546;0.0020359;-0.000212821;0.996022;0.0294044;0.983724;1;4;1
399.531;1641.06;2.20765;-0.579855;0.00431258;-0.000474294;0.000189703;0.00432008;-0.0004818;1.00608;0.0100259;-0.00498967;1.00854;0.0289121;0.985486;1;4;1
422.531;1641.06;2.29476;-0.53703;0.00628236;0.000880697;-0.000718053;0.00637618;0.000786874;0.993289;0.00220094;0.000850535;1.00391;0.0274247;0.988172;1;4;1
445.531;1641.06;2.49574;-0.570916;0.00613286;-0.00251469;-0.00116792;0.00628782;-0.00266965;1.00927;-0.0042245;0.00196086;0.999799;0.0265008;0.990592;1;3;1
468.531;1641.06;2.57582;-0.669997;0.00633131;-0.00536303;-0.000786526;0.00638397;-0.00541569;1.00423;0.00626512;-0.00343991;0.989883;0.0336606;0.981997;1;4;1
491.531;1641.06;2.78606;-0.588025;0.0054925;-0.00507968;0.00231389;0.00597675;-0.00556393;1.00493;-0.00588947;0.00284318;0.991036;0.0297744;0.984315;1;3;1
514.531;1641.06;2.82732;-0.463429;0.00478216;-0.00258644;0.000647162;0.00483857;-0.00264285;1.00049;0.00333596;0.00419879;0.997291;0.0325603;0.984375;1;4;1
537.531;1641.06;3.00516;-0.407385;0.00796706;0.00353444;0.000794844;0.00810528;0.00339622;1.01228;-0.00253514;-0.0076919;0.999919;0.0343317;0.977129;1;5;1
560.531;1641.06;3.19232;-0.520838;0.00423309;-0.00450347;-0.00240812;0.00485288;-0.00512327;1.00198;-0.0160564;0.00709944;0.99631;0.0308112;0.979145;1;4;1
583.531;1641.06;3.1979;-0.788609;0.00397796;-0.0156115;-0.00108989;0.00403842;-0.015672;1.0069;0.0102831;0.00129929;0.966704;0.0330635;0.975033;1;4;1
606.531;1641.06;3.37493;-0.482154;0.00801079;-0.00101555;0.00475814;0.0100557;-0.00306047;1.00723;0.0116412;-0.0113601;0.996019;0.0364443;0.977006;1;3;1
629.531;1641.06;3.56277;-0.34047;0.00513496;-0.00188021;0.0039817;0.0069337;-0.00367896;1.00334;-0.00954167;-0.00327079;0.999083;0.0289771;0.982089;1;4;1
652.531;1641.06;3.61011;-0.28459;0.00311145;0.00131212;-0.00165597;0.00409636;0.000327208;1.00377;0.000547969;4.20311e-05;1.01009;0.028712;0.988492;1;4;1
