x [mm];y [mm];x-displacement [mm];y-displacement [mm];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S];Maximum normal strain - GL [S];Minimum normal strain - GL [S];Affine transformation a [];Affine transformation b [];Affine transformation c [];Affine transformation d [];Confidence region [pixel];Correlation value [count];Enough pixels valid [];Number of iterations [];Vector status []
31.5305;1641.06;-1.67365;-3.41863;0.0131631;-0.00928465;-0.00191517;0.0133253;-0.00944688;1.00503;0.0164813;-0.0108453;0.989472;0.0370618;0.965878;1;4;1
54.5305;1641.06;-1.37289;-3.38399;0.00932144;-0.0112598;0.00197391;0.00950905;-0.0114474;1.00864;-0.00829958;0.00324833;0.987392;0.0462962;0.962119;1;3;1
77.5306;1641.06;-1.24691;-3.34198;0.00272647;-0.0118886;0.00456154;0.00403332;-0.0131955;0.995784;-0.00752246;-0.00739797;0.984521;0.0332546;0.978442;1;5;1
100.531;1641.06;-1.24833;-3.13379;0.0021501;-0.00791923;0.00176067;0.00244909;-0.00821821;1.01121;0.00678432;-0.00710368;1.00138;0.0368084;0.971859;1;3;1
123.531;1641.06;-1.14902;-3.05213;0.00216285;-0.0112707;-0.00148021;0.00232402;-0.0114319;1.0026;0.00657457;-0.00146901;0.996056;0.0339814;0.979957;1;4;1
146.531;1641.06;-1.14895;-3.11471;0.00478987;-0.0135578;-0.00225048;0.00506187;-0.0138298;1.00541;0.0174387;-0.0118261;0.985397;0.0437006;0.957872;1;5;1
169.531;1641.06;-0.929692;-2.84177;0.00711426;-0.0112776;0.00147604;0.00723197;-0.0113953;1.00191;0.0102717;-0.00500446;0.988405;0.0346807;0.982204;1;4;1
192.531;1641.06;-0.823709;-2.83174;0.00636146;-0.0131537;-0.00156227;0.00648573;-0.0132779;1.00454;0.0130659;0.00340139;0.979014;0.0330338;0.984902;1;4;1
215.531;1641.06;-0.638216;-2.69729;0.00549916;-0.00966895;-0.000217697;0.00550229;-0.00967207;1.00391;-0.003481;-0.00545817;0.992886;0.0334955;0.987033;1;4;1
238.531;1641.06;-0.571753;-2.6615;0.00485293;-0.0146779;0.000778217;0.00488389;-0.0147088;1.00561;0.00162554;-0.00537253;0.984618;0.0288437;0.980828;1;4;1
261.531;1641.06;-0.416295;-2.42955;0.00689242;-0.00835669;0.00231949;0.00723742;-0.00870169;1.01237;0.00800316;-0.00590223;0.99595;0.0294979;0.985146;1;3;1
