x [mm];y [mm];x-displacement [mm];y-displacement [mm];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S];Maximum normal strain - GL [S];Minimum normal strain - GL [S];Affine transformation a [];Affine transformation b [];Affine transformation c [];Affine transformation d [];Confidence region [pixel];Correlation value [count];Enough pixels valid [];Number of iterations [];Vector status []
31.5305;1641.06;5.81715;-0.669149;0.0053399;0.00181902;-0.00121885;0.00572066;0.00143826;1.00322;0.00734543;0.000620559;1.00689;0.0303534;0.976561;1;3;1
54.5305;1641.06;5.93956;-0.730632;0.00200791;-0.00112991;0.00194001;0.00293401;-0.00205602;1.00536;-0.00475324;0.00112037;0.993772;0.0333043;0.980444;1;3;1
77.5306;1641.06;5.90941;-0.700141;-0.000517867;0.000843687;0.00238271;0.00264097;-0.00231515;0.995242;0.00369828;-0.000478665;0.999444;0.0288291;0.983675;1;3;1
100.531;1641.06;5.91531;-0.534321;-0.000285088;0.0069364;0.00283884;0.00791875;-0.00126743;1.00134;-0.00126326;-0.00699017;1.0117;0.0281216;0.982462;1;4;1
123.531;1641.06;5.89616;-0.590928;-0.00099062;0.00351175;3.17174e-05;0.00351197;-0.000990844;0.999422;0.00228154;-0.000955395;1.00113;0.0253738;0.987615;1;3;1
146.531;1641.06;5.86967;-0.601015;0.000827745;0.00397062;-0.00186319;0.00483657;-3.82093e-05;0.997644;-4.3918e-05;0.00343732;1.00846;0.0360979;0.968061;1;4;1
169.531;1641.06;5.93416;-0.668676;0.00232401;-0.00257982;-0.000185404;0.00233101;-0.00258682;0.997247;0.00851451;-0.00163626;0.993882;0.032181;0.984679;1;3;1
192.531;1641.06;5.97635;-0.697107;0.0028645;-0.00203779;0.000560638;0.0029278;-0.00210109;1.00327;0.00188245;0.00216359;0.990717;0.0272929;0.989042;1;3;1
215.531;1641.06;6.06568;-0.598218;0.00125272;0.00274437;0.00179458;0.00394194;5.51538e-05;1.00302;-0.00640972;0.00350749;1.00541;0.0298042;0.988626;1;3;1
238.531;1641.06;6.03388;-0.622574;-0.000188061;0.00643977;0.000401973;0.00646406;-0.000212352;0.999511;-0.00219145;-0.00779802;1.0012;0.0268371;0.983001;1;3;1
261.531;1641.06;6.05684;-0.466062;0.000695119;0.00777292;0.000655729;0.00783315;0.000634881;1.00276;0.00488971;-0.0011614;1.00931;0.0286367;0.985282;1;3;1
284.531;1641.06;6.06569;-0.503832;0.00146724;0.00288344;-0.00152414;0.00385593;0.000494747;1.00035;-0.00469396;-0.00141905;1.0017;0.0253059;0.987151;1;3;1
307.531;1641.06;6.12408;-0.604121;-0.000152724;2.26503e-05;0.00138476;0.0013225;-0.00145257;1.00438;-0.00527261;0.00745026;0.990811;0.0366206;0.963311;1;3;1
330.531;1641.06;6.05862;-0.436686;0.00175725;0.00791146;-0.00212309;0.00857282;0.00109589;0.993198;0.00763497;-0.00683586;1.01695;0.0313245;0.988695;1;4;1
353.531;1641.06;6.20482;-0.641662;0.00262042;-2.16088e-05;-0.0014423;0.00325524;-0.000656436;1.00171;-0.0117729;0.00174516;0.989806;0.0347673;0.981394;1;3;1
376.531;1641.06;6.1788;-0.5719;-0.000184573;0.00198635;0.00163948;0.00286713;-0.00106535;1.00605;0.00578573;-0.00301424;1.01028;0.0303368;0.98218;1;3;1
399.531;1641.06;6.19608;-0.489233;9.21797e-05;0.00587008;-0.000328255;0.00588867;7.35906e-05;0.996805;0.0172677;-0.00362125;1.01605;0.027004;0.986768;1;3;1
422.531;1641.06;6.1828;-0.423041;0.000518353;0.00828276;-0.000961925;0.00840016;0.000400956;0.997841;0.00632368;-0.00306212;1.00638;0.0248025;0.989954;1;3;1
445.531;1641.06;6.21987;-0.422965;0.00259695;0.00632536;-0.00303633;0.00802409;0.000898215;1.00369;0.0038953;0.00495641;1.01014;0.0231157;0.992892;1;3;1
468.531;1641.06;6.3018;-0.59077;0.00406143;-0.00123215;-0.000221767;0.0040707;-0.00124142;1.00318;0.00246473;-8.79377e-05;0.99406;0.0292503;0.986202;1;3;1
491.531;1641.06;6.40625;-0.503023;0.000376732;0.001257;0.00321779;0.00406462;-0.00243089;0.998302;-0.00733067;-0.00195192;0.994339;0.0253103;0.988599;1;3;1
514.531;1641.06;6.3186;-0.371648;-0.000402091;0.0082268;0.000469683;0.00825229;-0.000427582;1.00011;0.00501897;0.000537103;1.00497;0.0308748;0.985684;1;3;1
