x [mm];y [mm];x-displacement [mm];y-displacement [mm];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S];Maximum normal strain - GL [S];Minimum normal strain - GL [S];Affine transformation a [];Affine transformation b [];Affine transformation c [];Affine transformation d [];Confidence region [pixel];Correlation value [count];Enough pixels valid [];Number of iterations [];Vector status []
31.5305;1641.06;-4.36245;3.76881;0.0109568;0.00206478;-0.00259454;0.0116585;0.00136311;1.00547;0.012497;0.00486081;1.01028;0.0345345;0.967696;1;4;1
54.5305;1641.06;-4.11201;3.67115;0.0075902;-0.0021199;0.00127326;0.00775439;-0.00228409;1.01251;-0.00103045;-0.000151814;1.00527;0.042489;0.967218;1;4;1
77.5306;1641.06;-4.01474;3.66154;0.000747687;-0.000950781;0.00354507;0.00354382;-0.00374692;0.990049;0.00674976;-0.00170445;1.00582;0.0327899;0.977855;1;3;1
100.531;1641.06;-4.0777;3.75166;-0.000516646;0.00194946;0.00242097;0.0034333;-0.00200048;1.00293;0.000640048;-0.0076221;1.00364;0.0318254;0.980078;1;4;1
123.531;1641.06;-4.03851;3.67037;0.00251634;-0.00234424;-0.0023799;0.00348755;-0.00331546;1.00157;-0.00374945;0.00564822;0.986898;0.025817;0.987405;1;5;1
146.531;1641.06;-3.96315;3.44047;0.00343193;-0.00912997;-0.00223494;0.00381771;-0.00951575;1.00412;0.000296285;0.00422416;0.990828;0.031973;0.967804;1;6;1
169.531;1641.06;-3.88148;3.44167;0.00264754;-0.00948751;0.00144328;0.00281683;-0.0096568;1.01121;0.00195249;-0.00427655;0.984921;0.0305669;0.98523;1;7;1
192.531;1641.06;-3.84174;3.58412;0.00450957;-0.00153504;0.000706172;0.00459097;-0.00161644;0.998871;0.0105103;-0.00179206;0.996666;0.030998;0.986386;1;3;1
215.531;1641.06;-3.67481;3.61082;0.00523476;0.000333186;-0.00266216;0.00640246;-0.000834514;1.00559;0.002682;0.00650096;1.00432;0.0290012;0.984409;1;7;1
238.531;1641.06;-3.60247;3.29524;0.00301556;-0.0122094;-0.000696005;0.00304731;-0.0122411;1.00547;-1.51094e-05;0.000819798;0.979811;0.0326164;0.975765;1;4;1
261.531;1641.06;-3.53648;3.48445;0.00518395;-0.00326546;0.00228929;0.00576434;-0.00384586;1.00529;0.00595133;-0.00283891;0.998378;0.0364236;0.97982;1;5;1
284.531;1641.06;-3.36481;3.42568;0.0052694;-0.00478643;0.0018652;0.00560422;-0.00512125;1.00451;-0.0127645;0.00461252;0.992206;0.0379888;0.976206;1;4;1
307.531;1641.06;-3.29476;3.4275;0.00376473;-0.0040326;0.00230956;0.00439748;-0.00466534;1.01015;-0.00824313;-0.00173641;0.991777;0.0391402;0.959923;1;3;1
330.531;1641.06;-3.19196;3.43072;0.00277284;-0.00218306;0.000384509;0.00280249;-0.00221272;0.99442;0.00668364;0.00295793;0.992016;0.0375386;0.987282;1;3;1
353.531;1641.06;-3.16742;3.37327;0.00432521;-0.00387016;-0.00165648;0.00464736;-0.00419231;1.00327;0.00544377;-0.0101623;0.99773;0.0381194;0.972274;1;4;1
376.531;1641.06;-2.99344;3.40159;0.00581542;-0.00254916;0.00231012;0.00641102;-0.00314476;1.00786;-0.00268861;-0.000270079;0.999225;0.0348258;0.976655;1;4;1
