x [mm];y [mm];x-displacement [mm];y-displacement [mm];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S];Maximum normal strain - GL [S];Minimum normal strain - GL [S];Affine transformation a [];Affine transformation b [];Affine transformation c [];Affine transformation d [];Confidence region [pixel];Correlation value [count];Enough pixels valid [];Number of iterations [];Vector status []
31.5305;1641.06;4.43198;1.62846;-0.00291311;-1.89725e-07;-0.000278672;2.62306e-05;-0.00293953;0.997239;0.00919858;-0.00773696;1.0085;0.0361921;0.967005;1;3;1
54.5305;1641.06;4.36486;1.6555;-0.0024772;-0.00172898;-0.000358777;-0.00158475;-0.00262143;0.992275;-0.0064439;0.00382043;1.00038;0.0387539;0.973654;1;3;1
77.5306;1641.06;4.31788;1.60616;-0.00556545;-0.0051751;0.0015615;-0.00379662;-0.00694392;0.986908;0.00284322;-0.0081432;1.00161;0.0318821;0.980113;1;4;1
100.531;1641.06;4.10813;1.64139;-0.00631055;-0.00649736;0.000460967;-0.00593362;-0.00687429;1.00344;0.00455571;0.000468496;0.996917;0.0357199;0.973724;1;4;1
123.531;1641.06;4.02666;1.64671;-0.00789635;-0.00983013;0.00213819;-0.0065166;-0.0112099;0.989768;-0.00706363;-0.00708675;0.982753;0.0336326;0.978288;1;6;1
146.531;1641.06;3.74335;1.73948;-0.00490472;-0.00579763;-0.000283905;-0.0048221;-0.00588025;0.994794;0.00784436;-0.000373063;0.994446;0.0402005;0.957995;1;4;1
169.531;1641.06;3.80003;1.8509;-0.00410762;-0.00609646;0.00406259;-0.000919509;-0.00928456;0.991817;-0.00442985;-0.00780486;0.995475;0.033455;0.98205;1;4;1
192.531;1641.06;3.55356;1.94252;-0.00672069;-0.00395159;-0.00240664;-0.00255965;-0.00811263;0.993298;0.00803719;0.00110106;0.994807;0.0379153;0.978841;1;3;1
215.531;1641.06;3.48983;1.8455;-0.0021689;-0.00829261;-0.00201405;-0.00156588;-0.00889564;0.993258;-0.00252942;-0.00363602;0.990192;0.0380925;0.978854;1;4;1
238.531;1641.06;3.45366;1.89828;-0.00572994;-0.00933003;0.00325285;-0.00381229;-0.0112477;0.997196;-0.00398602;-0.00407146;0.995585;0.0344665;0.972394;1;3;1
261.531;1641.06;3.22482;2.09321;-0.00698485;-0.00481428;0.00107047;-0.00437518;-0.00742395;0.990944;0.00102969;-0.0056666;0.999209;0.0365293;0.977804;1;4;1
284.531;1641.06;3.13103;2.03262;-0.00592571;-0.00878131;0.00191715;-0.0049631;-0.00974392;0.998081;-0.000588151;0.00577081;0.991747;0.0339772;0.978888;1;3;1
307.531;1641.06;2.95115;2.25347;-0.00735505;0.000257311;0.00207753;0.00078739;-0.00788513;0.990508;0.0091612;-0.00874509;1.01077;0.0435548;0.94927;1;3;1
330.531;1641.06;2.79093;2.2503;-0.00345934;-0.00251512;-0.00403572;0.00107601;-0.00705047;0.999571;0.0149285;-0.00562183;1.0118;0.0417713;0.98208;1;3;1
353.531;1641.06;2.79168;2.17669;-0.00283358;-0.00582288;-0.000470776;-0.00276119;-0.00589527;0.994691;-0.00962061;-0.0107054;0.995045;0.036305;0.977326;1;4;1
376.531;1641.06;2.66038;2.21245;-0.00692755;-0.00935176;0.00215479;-0.00566735;-0.010612;1.00145;-0.00342601;0.00161593;0.982568;0.0360267;0.974298;1;4;1
