Time,Displacement,Force
(s),(mm),(N)
"0.0000","-0.0052","0.0565"
"0.0490","-0.0042","0.0840"
"0.0570","-0.0033","0.1133"
"0.0640","-0.0020","0.1394"
"0.1040","0.0038","0.1648"
"0.1120","0.0052","0.1940"
"0.1170","0.0065","0.2212"
"0.1210","0.0078","0.2471"
"0.1250","0.0093","0.2758"
"0.1290","0.0111","0.3063"
"0.1330","0.0131","0.3373"
"0.1370","0.0153","0.3672"
"0.1410","0.0176","0.3951"
"0.1460","0.0206","0.4257"
"0.1520","0.0243","0.4543"
"0.1610","0.0298","0.4810"
"0.1890","0.0441","0.5061"
"0.2210","0.0579","0.5319"
"0.2440","0.0674","0.5577"
"0.2610","0.0745","0.5842"
"0.2800","0.0824","0.6100"
"0.3110","0.0943","0.6358"
"0.3290","0.1016","0.6612"
"0.3450","0.1084","0.6862"
"0.3670","0.1175","0.7113"
"0.3870","0.1256","0.7365"
"0.4050","0.1332","0.7621"
"0.4530","0.1517","0.7880"
"0.4680","0.1577","0.8140"
"0.4830","0.1640","0.8391"
"0.5130","0.1761","0.8646"
"0.5350","0.1850","0.8898"
"0.5770","0.2016","0.9155"
"0.5950","0.2085","0.9405"
"0.6110","0.2150","0.9656"
"0.6310","0.2234","0.9912"
"0.6650","0.2373","1.0170"
"0.6960","0.2497","1.0420"
"0.7270","0.2617","1.0676"
"0.7460","0.2695","1.0930"
"0.7830","0.2841","1.1189"
"0.8020","0.2917","1.1451"
"0.8530","0.3118","1.1705"
"0.8700","0.3183","1.1958"
"0.8870","0.3253","1.2214"
"0.9280","0.3418","1.2466"
"0.9460","0.3490","1.2716"
"0.9840","0.3643","1.2974"
"1.0120","0.3753","1.3232"
"1.0370","0.3855","1.3482"
"1.0640","0.3964","1.3742"
"1.0890","0.4068","1.3994"
"1.1370","0.4253","1.4245"
"1.1540","0.4323","1.4504"
"1.1920","0.4475","1.4754"
"1.2120","0.4556","1.5014"
"1.2670","0.4774","1.5275"
"1.2850","0.4845","1.5539"
"1.3070","0.4937","1.5795"
"1.3440","0.5086","1.6047"
"1.3820","0.5240","1.6298"
"1.4110","0.5351","1.6552"
"1.4420","0.5477","1.6804"
"1.4730","0.5602","1.7060"
"1.5030","0.5726","1.7312"
"1.5460","0.5888","1.7567"
"1.5680","0.5980","1.7823"
"1.6100","0.6146","1.8077"
"1.6290","0.6224","1.8332"
"1.6850","0.6443","1.8587"
"1.7070","0.6532","1.8840"
"1.7340","0.6643","1.9097"
"1.7670","0.6777","1.9352"
"1.8140","0.6960","1.9603"
"1.8330","0.7039","1.9861"
"1.8710","0.7197","2.0116"
"1.9030","0.7323","2.0367"
"1.9500","0.7503","2.0627"
"1.9700","0.7585","2.0882"
"2.0090","0.7745","2.1134"
"2.0400","0.7870","2.1392"
"2.0890","0.8062","2.1645"
"2.1120","0.8153","2.1906"
"2.1450","0.8290","2.2159"
"2.1770","0.8421","2.2412"
"2.2240","0.8603","2.2671"
"2.2530","0.8722","2.2925"
"2.2920","0.8875","2.3177"
"2.3150","0.8971","2.3429"
"2.3710","0.9188","2.3682"
"2.3920","0.9276","2.3936"
"2.4390","0.9461","2.4193"
"2.4690","0.9584","2.4447"
"2.5130","0.9758","2.4706"
"2.5470","0.9894","2.4958"
"2.5710","0.9992","2.5209"
"2.6230","1.0201","2.5459"
"2.6440","1.0285","2.5712"
"2.6980","1.0497","2.5964"
"2.7160","1.0571","2.6220"
"2.7720","1.0792","2.6471"
"2.7910","1.0869","2.6733"
"2.8370","1.1057","2.6990"
"2.8650","1.1170","2.7241"
"2.9120","1.1355","2.7501"
"2.9460","1.1493","2.7751"
"2.9740","1.1606","2.8003"
"3.0280","1.1821","2.8254"
"3.0540","1.1923","2.8506"
"3.1030","1.2119","2.8758"
"3.1250","1.2207","2.9009"
"3.1840","1.2436","2.9262"
"3.2010","1.2505","2.9517"
"3.2370","1.2656","2.9768"
"3.2920","1.2876","3.0019"
