x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;632;-0.288005;-124.171;124.171;-0.000622037;0.143046;0.0833336
678;632;-0.302641;-124.293;124.293;-0.00854552;0.0797862;0.0570395
701;632;-0.683336;-124.393;124.395;-0.0103875;0.0660197;0.0497101
724;632;-0.783435;-124.498;124.5;-0.0007303;0.0557057;0.0436361
747;632;-0.717205;-124.549;124.551;0.000700771;0.056134;0.0398046
770;632;-0.75142;-124.637;124.639;2.98153e-05;0.0565573;0.0357199
793;632;-0.716253;-124.745;124.747;-0.00204833;0.0681947;0.0365771
816;632;-0.84581;-124.557;124.559;-0.00337717;0.0543614;0.0353059
839;632;-0.871937;-124.664;124.667;0.00111973;0.0611235;0.0316194
862;632;-0.794436;-124.655;124.657;-0.000292467;0.0632066;0.0271627
885;632;-0.885393;-124.662;124.665;-0.00197209;0.0630847;0.0261864
908;632;-0.885295;-124.724;124.727;0.0019529;0.0652304;0.0273929
931;632;-0.795669;-124.617;124.619;0.00489248;0.0607601;0.0206746
954;632;-0.661095;-124.556;124.558;-0.000658381;0.062567;0.0155054
977;632;-0.826082;-124.72;124.723;-0.00391623;0.0677073;0.0151228
1000;632;-0.842433;-124.833;124.836;-0.00189142;0.0662276;0.0135077
1023;632;-0.913317;-124.837;124.84;-0.00120931;0.0658672;0.0157465
1046;632;-0.898279;-124.703;124.706;-0.000611033;0.0623671;0.0139447
1069;632;-0.941901;-124.629;124.633;0.00224445;0.0619969;0.00734312
1092;632;-0.79548;-124.877;124.88;0.00126146;0.0692813;0.00185116
1115;632;-0.884274;-124.812;124.815;-0.00364161;0.0689101;0.0044019
1138;632;-0.963302;-124.89;124.894;-0.00397524;0.0710401;0.000468709
1161;632;-1.06776;-124.967;124.972;-0.000508423;0.0745903;0.00043
1184;632;-0.986699;-124.874;124.878;0.0018689;0.0702045;-0.00224592
1207;632;-0.981981;-124.867;124.871;0.000997981;0.0625972;-0.00757214
1230;632;-0.940936;-124.98;124.983;-0.00264959;0.0648173;-0.00782155
1253;632;-1.10403;-124.89;124.894;-0.00251617;0.0638285;-0.0094027
1276;632;-1.05689;-124.906;124.91;-0.000264053;0.0601183;-0.0139606
1299;632;-1.11619;-124.917;124.922;-0.000277194;0.062283;-0.0167995
1322;632;-1.06965;-124.936;124.941;0.00245728;0.0524098;-0.0172349
1345;632;-1.00357;-125.078;125.082;0.000943121;0.0596434;-0.0200263
1368;632;-1.02634;-125.01;125.014;-0.000752176;0.0549294;-0.0173708
1391;632;-1.03866;-124.868;124.873;0.000325812;0.0458939;-0.0221457
1414;632;-1.01137;-124.981;124.985;-0.00351355;0.0456747;-0.0257652
1437;632;-1.20062;-124.936;124.942;-0.00136121;0.0377419;-0.0225726
1460;632;-1.07407;-125.047;125.052;0.000168934;0.0467988;-0.0239519
1483;632;-1.19285;-124.944;124.949;-0.0036704;0.0543565;-0.0352147
1506;632;-1.24325;-124.994;125.001;0.00140778;0.0453928;-0.0309617
1529;632;-1.1285;-125.127;125.132;0.00406926;0.0596309;-0.038916
1552;632;-1.05682;-125.181;125.186;0.00180209;0.0604517;-0.0354446
1575;632;-1.04599;-124.959;124.964;-0.00157594;0.0702954;-0.0413458
1598;632;-1.13374;-124.548;124.553;-0.031295;0.107986;-0.0179038
1621;632;-2.71106;-120.72;120.75;-0.0523751;0.140766;0.0223541
655;655;3.68476;-121.391;121.447;-0.050098;0.16947;0.0541545
678;655;2.46399;-122.68;122.705;-0.0407962;0.126687;0.0509856
701;655;1.73731;-123.042;123.054;-0.0247308;0.102506;0.0561175
724;655;1.30708;-123.341;123.348;-0.0118989;0.0913728;0.0546346
747;655;1.1855;-123.367;123.372;-0.00675859;0.0909467;0.0508995
770;655;0.995031;-123.434;123.438;-0.00560257;0.0869701;0.049031
793;655;0.926978;-123.282;123.285;-0.0055012;0.0857489;0.0438122
816;655;0.741255;-123.391;123.393;-0.00637394;0.0836318;0.0408161
839;655;0.632792;-123.346;123.347;-0.00621581;0.090069;0.0406791
862;655;0.454291;-123.276;123.277;-0.0059452;0.0917737;0.034661
885;655;0.358456;-123.286;123.287;-0.00230519;0.0919923;0.0327879
908;655;0.348123;-123.301;123.302;-0.0064212;0.0940178;0.0306035
931;655;0.0621244;-123.274;123.274;-0.00520952;0.0907615;0.0271257
954;655;0.107674;-123.171;123.172;-0.000905411;0.091738;0.0231576
977;655;0.0204325;-123.227;123.227;-0.00574899;0.0918292;0.0178512
1000;655;-0.157961;-123.367;123.367;-0.00601478;0.0971778;0.0158738
1023;655;-0.257331;-123.377;123.378;-0.0045223;0.0950276;0.0170841
1046;655;-0.366487;-123.316;123.317;-0.00552999;0.0963459;0.0153721
1069;655;-0.512599;-123.249;123.25;-0.00534415;0.0935919;0.01055
1092;655;-0.612982;-123.336;123.338;-0.00350554;0.100304;0.00592171
1115;655;-0.674147;-123.279;123.281;-0.00532291;0.0991647;0.00512109
1138;655;-0.858498;-123.311;123.314;-0.00828469;0.0999434;0.00102191
1161;655;-1.05685;-123.311;123.316;-0.00616839;0.102763;-0.000784169
1184;655;-1.14312;-123.313;123.318;-0.00469997;0.0973821;-0.00737204
1207;655;-1.27384;-123.471;123.478;-0.00316906;0.0982865;-0.0110322
1230;655;-1.28968;-123.537;123.544;-0.00656931;0.097451;-0.011849
1253;655;-1.57702;-123.47;123.48;-0.00854804;0.0960587;-0.0151685
1276;655;-1.6846;-123.57;123.582;-0.00641489;0.0911134;-0.0183572
1299;655;-1.87311;-123.538;123.553;-0.00197671;0.0888167;-0.0215724
1322;655;-1.77606;-123.771;123.784;-0.000246874;0.0847033;-0.0245853
1345;655;-1.88501;-123.761;123.776;-0.00348553;0.0855783;-0.0247163
1368;655;-1.93668;-123.796;123.812;-0.00405577;0.0808168;-0.0274191
1391;655;-2.07206;-123.858;123.875;-0.00495277;0.0742117;-0.0311256
1414;655;-2.16544;-123.981;124;-0.00289626;0.076896;-0.0362623
1437;655;-2.20614;-124.105;124.124;-0.000130879;0.0724256;-0.0326928
1460;655;-2.17148;-124.02;124.039;-0.0137965;0.0757673;-0.0311258
1483;655;-2.84636;-123.782;123.815;-0.0086326;0.0767848;-0.0388812
1506;655;-2.57031;-124.01;124.036;0.000719826;0.0781295;-0.0419522
1529;655;-2.81332;-123.852;123.884;-0.00438382;0.0883034;-0.0463586
1552;655;-2.77257;-123.891;123.922;-0.010243;0.101892;-0.0525588
1575;655;-3.28831;-123.498;123.542;-0.0340873;0.113627;-0.0459337
1598;655;-4.39343;-122.396;122.475;-0.0542996;0.145907;-0.00764216
1621;655;-6.2176;-117.92;118.084;-0.0572286;0.117912;0.0261214
655;678;8.08454;-117.605;117.883;-0.0636705;0.185081;0.0372954
678;678;6.50754;-119.246;119.423;-0.055996;0.178782;0.0431573
701;678;5.35094;-120.259;120.378;-0.038819;0.151773;0.0515475
724;678;4.65956;-120.768;120.858;-0.0267873;0.143838;0.0603615
747;678;4.09883;-120.772;120.842;-0.0207806;0.139561;0.0575711
770;678;3.69293;-120.995;121.051;-0.0174016;0.134074;0.0505081
793;678;3.28994;-121.118;121.163;-0.0148955;0.12417;0.0489527
816;678;3.00256;-121.007;121.045;-0.0112324;0.132515;0.0507488
839;678;2.76938;-120.826;120.857;-0.0140951;0.13402;0.0470448
862;678;2.34857;-120.71;120.733;-0.0130467;0.12827;0.0406002
885;678;2.1651;-120.702;120.722;-0.00893887;0.130647;0.0367156
908;678;1.93551;-120.665;120.681;-0.01282;0.134354;0.0312122
931;678;1.57154;-120.672;120.682;-0.0111397;0.132327;0.031899
954;678;1.42007;-120.557;120.565;-0.0115028;0.133302;0.0259287
977;678;1.03931;-120.709;120.713;-0.0135638;0.134142;0.0213302
1000;678;0.791834;-120.588;120.59;-0.00927736;0.141425;0.0204588
1023;678;0.610546;-120.679;120.68;-0.00885473;0.141788;0.0198393
1046;678;0.382576;-120.483;120.483;-0.0119831;0.145304;0.0168117
1069;678;0.055699;-120.518;120.518;-0.0129114;0.144459;0.0127278
1092;678;-0.215233;-120.478;120.478;-0.0106874;0.150279;0.00901281
1115;678;-0.438616;-120.459;120.459;-0.0133441;0.148144;0.00371994
1138;678;-0.833221;-120.502;120.505;-0.0150982;0.149624;-0.000798591
1161;678;-1.13846;-120.461;120.466;-0.0142167;0.148446;-0.00413769
1184;678;-1.492;-120.596;120.605;-0.0132934;0.143959;-0.00883331
1207;678;-1.75417;-120.554;120.567;-0.0118333;0.145361;-0.0114331
1230;678;-2.03973;-120.708;120.726;-0.0155375;0.142353;-0.0161364
1253;678;-2.47472;-120.684;120.709;-0.0138536;0.137116;-0.0195812
1276;678;-2.68195;-120.916;120.946;-0.00888954;0.130354;-0.0243975
1299;678;-2.88679;-121.03;121.064;-0.00883741;0.127365;-0.0266468
1322;678;-3.09138;-121.233;121.273;-0.00801123;0.129179;-0.03096
1345;678;-3.25791;-121.348;121.392;-0.00784518;0.125603;-0.0327435
1368;678;-3.45441;-121.491;121.54;-0.00992829;0.11965;-0.0365076
1391;678;-3.71787;-121.645;121.702;-0.0137611;0.118339;-0.0375758
1414;678;-4.09218;-121.666;121.735;-0.0097219;0.11938;-0.0415242
1437;678;-4.16755;-121.806;121.878;-0.00511135;0.121974;-0.0430848
1460;678;-4.32808;-121.792;121.869;-0.0139048;0.120679;-0.0445758
1483;678;-4.81189;-121.671;121.766;-0.0150397;0.116644;-0.0439606
1506;678;-5.02534;-121.676;121.779;-0.015718;0.130775;-0.0507577
1529;678;-5.54135;-121.425;121.552;-0.02791;0.132946;-0.050607
1552;678;-6.33292;-120.988;121.153;-0.0336841;0.152581;-0.0575591
1575;678;-7.13051;-120.364;120.575;-0.0466686;0.170067;-0.0476544
1598;678;-8.58696;-118.799;119.109;-0.0720387;0.188349;-0.0227274
1621;678;-10.7751;-116.222;116.721;-0.0843361;0.122641;-0.0159071
655;701;11.449;-114.109;114.682;-0.0613068;0.168209;0.0220017
678;701;9.94071;-115.608;116.034;-0.0606746;0.177299;0.0250179
701;701;8.47371;-116.956;117.262;-0.0485233;0.174505;0.0344324
724;701;7.60968;-117.524;117.77;-0.0344255;0.165929;0.0481288
747;701;6.85646;-117.651;117.851;-0.0318398;0.154967;0.0484893
770;701;6.11948;-117.886;118.045;-0.0287294;0.154423;0.0425186
793;701;5.51318;-118.091;118.22;-0.0212358;0.155953;0.0450823
816;701;5.13201;-117.839;117.951;-0.0178209;0.157561;0.048072
839;701;4.68433;-117.705;117.798;-0.0221932;0.150463;0.0370083
862;701;4.09954;-117.841;117.913;-0.0208215;0.153051;0.0346669
885;701;3.71635;-117.734;117.793;-0.01887;0.152881;0.0347989
908;701;3.22234;-117.568;117.612;-0.0174296;0.155272;0.0290113
931;701;2.90734;-117.622;117.658;-0.0142175;0.152476;0.0279808
954;701;2.56349;-117.46;117.488;-0.0185608;0.156655;0.0239213
977;701;2.04518;-117.462;117.48;-0.0184362;0.160208;0.0236051
