x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;678;0.341136;-72.0931;72.0939;-0.0342045;0.117008;0.0316625
678;678;-0.479843;-73.0432;73.0448;-0.0219583;0.0960652;0.0407592
701;678;-0.693531;-73.1845;73.1877;-0.00780629;0.0684192;0.0390309
724;678;-0.840977;-73.2833;73.2881;-0.0040904;0.0587985;0.0355561
747;678;-0.882407;-73.3589;73.3642;-0.00170221;0.0604441;0.0315103
770;678;-0.919536;-73.4157;73.4215;-0.00315738;0.05949;0.0280319
793;678;-1.0281;-73.5025;73.5097;-7.73719e-05;0.0524536;0.0250324
816;678;-0.923149;-73.4858;73.4916;-0.000580753;0.0530968;0.0215298
839;678;-1.05483;-73.5135;73.5211;-0.00288238;0.0526282;0.0210389
862;678;-1.05602;-73.5745;73.5821;-0.00130334;0.057421;0.0192659
885;678;-1.11482;-73.5148;73.5232;-0.000737301;0.0513588;0.0187129
908;678;-1.09002;-73.4931;73.5012;-0.000242705;0.0457333;0.0138317
931;678;-1.12602;-73.5761;73.5847;-0.00107247;0.0502366;0.0132517
954;678;-1.1395;-73.5977;73.6065;0.00011929;0.0492035;0.0134354
977;678;-1.12064;-73.481;73.4896;-0.00435984;0.0427352;0.00913393
1000;678;-1.34053;-73.5347;73.5469;-0.00311189;0.0474827;0.0098362
1023;678;-1.26422;-73.6195;73.6303;-0.000287052;0.0504452;0.0076555
1046;678;-1.35375;-73.569;73.5815;-0.00196453;0.0497459;0.00523099
1069;678;-1.35472;-73.6863;73.6988;4.51374e-06;0.0541807;0.00369446
1092;678;-1.35364;-73.6626;73.675;0.000175369;0.0547431;0.00359798
1115;678;-1.34668;-73.6426;73.6549;-0.00334739;0.0498001;0.00118482
1138;678;-1.50795;-73.5784;73.5939;-0.00266535;0.0471234;0.00196353
1161;678;-1.46945;-73.655;73.6696;0.00110269;0.0503062;-0.00293723
1184;678;-1.45763;-73.7644;73.7788;-0.00113544;0.0536775;-0.00167916
1207;678;-1.52172;-73.617;73.6327;-0.00158291;0.0446868;-0.00393648
1230;678;-1.53064;-73.6543;73.6702;-0.00105704;0.0502985;-0.00435848
1253;678;-1.57037;-73.6111;73.6278;-3.92811e-05;0.0479213;-0.00696669
1276;678;-1.53256;-73.5498;73.5657;-0.00069067;0.0445787;-0.0126443
1299;678;-1.60224;-73.6979;73.7153;-0.00275675;0.0516581;-0.0142339
1322;678;-1.65973;-73.6798;73.6985;-0.00219769;0.0526746;-0.012148
1345;678;-1.70359;-73.5822;73.6019;-0.00189275;0.0534534;-0.0131538
1368;678;-1.74711;-73.534;73.5548;-0.001238;0.049389;-0.0169785
1391;678;-1.76057;-73.5864;73.6074;-0.000982135;0.052019;-0.0197448
1414;678;-1.7926;-73.6951;73.7169;-0.000787336;0.0562334;-0.019118
1437;678;-1.79681;-73.5614;73.5833;-0.00364284;0.0513875;-0.0239015
1460;678;-1.96051;-73.6358;73.6619;-0.00438918;0.0575514;-0.0249302
1483;678;-1.99916;-73.5692;73.5964;-0.00286082;0.062616;-0.0278014
1506;678;-2.0923;-73.6128;73.6426;-0.00327939;0.0689474;-0.0312558
1529;678;-2.15028;-73.5263;73.5577;-0.00641182;0.0777531;-0.0319535
1552;678;-2.38932;-73.2924;73.3313;-0.0118205;0.0837166;-0.0346118
1575;678;-2.69899;-73.1319;73.1817;-0.0214669;0.0993963;-0.0344135
1598;678;-3.39766;-72.3423;72.422;-0.0372584;0.116221;-0.0191847
1621;678;-4.53325;-70.3552;70.5011;-0.0444223;0.0970816;0.00215666
