x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;678;0.696137;-135.298;135.3;-0.0570249;0.219247;0.0524919
678;678;-0.723731;-137.02;137.022;-0.0391761;0.192762;0.0689025
701;678;-1.18704;-137.276;137.281;-0.0142263;0.145878;0.0717512
724;678;-1.38411;-137.356;137.363;-0.00772375;0.122544;0.064137
747;678;-1.54457;-137.555;137.563;-0.00440839;0.123832;0.0593563
770;678;-1.58763;-137.518;137.527;-0.00444196;0.108861;0.0524653
793;678;-1.74943;-137.638;137.649;-0.00194605;0.104364;0.0462853
816;678;-1.67737;-137.63;137.641;-0.0021201;0.101533;0.0424136
839;678;-1.84709;-137.584;137.596;-0.00535541;0.0958044;0.0392353
862;678;-1.92459;-137.768;137.781;-0.00177689;0.108201;0.0380227
885;678;-1.9289;-137.56;137.573;0.000803799;0.0957714;0.0344461
908;678;-1.88798;-137.589;137.602;0.0011588;0.0892112;0.0250184
931;678;-1.87591;-137.721;137.734;-0.0027122;0.0954306;0.0216204
954;678;-2.01353;-137.828;137.842;-0.00501777;0.0969697;0.0222188
977;678;-2.10734;-137.774;137.79;-0.00653483;0.0958137;0.0183266
1000;678;-2.31513;-137.793;137.813;-0.00481509;0.0994731;0.016107
1023;678;-2.3298;-137.972;137.992;-0.00136722;0.110416;0.0175169
1046;678;-2.37808;-137.754;137.775;-0.00160855;0.10196;0.0105276
1069;678;-2.40386;-137.989;138.01;-0.00185914;0.105333;0.00777234
1092;678;-2.46403;-137.932;137.954;-0.00158017;0.101083;0.00880981
1115;678;-2.47676;-137.868;137.891;-0.00454755;0.0980665;0.00479002
1138;678;-2.67392;-137.789;137.815;-0.00296187;0.0924405;0.00261236
1161;678;-2.6133;-137.961;137.986;0.00217813;0.101608;-0.00615092
1184;678;-2.57512;-138.133;138.157;-0.00260878;0.105806;-0.00371431
1207;678;-2.73346;-137.977;138.004;-0.00321209;0.0977374;-0.00571626
1230;678;-2.72326;-138.014;138.041;-0.00166675;0.101706;-0.0103908
1253;678;-2.81023;-137.923;137.952;-0.00173833;0.100899;-0.0119029
1276;678;-2.80376;-137.807;137.836;-0.00288238;0.0902339;-0.0188679
1299;678;-2.9431;-138.014;138.045;-0.00320739;0.102639;-0.0242588
1322;678;-2.95278;-138.145;138.176;-0.00135182;0.105797;-0.0218605
1345;678;-3.00537;-137.95;137.983;-0.00187428;0.106362;-0.0231997
1368;678;-3.0396;-137.925;137.959;-0.00370006;0.099383;-0.0306358
1391;678;-3.17589;-137.93;137.966;-0.00355348;0.10159;-0.03236
1414;678;-3.20344;-138.013;138.05;0.0005489;0.109606;-0.0362678
1437;678;-3.15067;-137.884;137.92;-0.00473979;0.103259;-0.0460643
1460;678;-3.42214;-138.131;138.173;-0.00807632;0.120436;-0.047049
1483;678;-3.52383;-137.993;138.038;-0.00657817;0.128102;-0.0507474
1506;678;-3.7259;-138.01;138.06;-0.00854442;0.135261;-0.0544178
1529;678;-3.91893;-137.811;137.866;-0.0133612;0.150153;-0.0575325
1552;678;-4.34818;-137.445;137.514;-0.0197269;0.162271;-0.0621326
1575;678;-4.84097;-137.109;137.194;-0.0379048;0.18997;-0.0631645
1598;678;-6.15433;-135.867;136.007;-0.0661014;0.224293;-0.0242753
1621;678;-8.28245;-132.105;132.365;-0.0748693;0.217742;0.0122894
655;701;5.43819;-131.123;131.236;-0.0649984;0.205626;0.0301058
678;701;3.77799;-133.324;133.377;-0.0623092;0.201049;0.0433493
701;701;2.35352;-134.376;134.397;-0.0426449;0.170615;0.0563927
724;701;1.74498;-134.883;134.894;-0.0227917;0.147466;0.0605122
747;701;1.28825;-135.021;135.027;-0.0185449;0.142277;0.0573819
770;701;0.882298;-135.258;135.261;-0.0181073;0.128297;0.0487198
