x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;678;2.59248;-302.845;302.856;-0.108995;0.494973;0.0931834
678;678;-0.247246;-305.537;305.537;-0.0808901;0.43416;0.121674
701;678;-1.43672;-306.327;306.33;-0.0328244;0.36293;0.141021
724;678;-1.78947;-306.307;306.312;-0.0159799;0.305713;0.130987
747;678;-2.17909;-306.672;306.68;-0.00784421;0.312682;0.126213
770;678;-2.15173;-306.313;306.32;-0.0111643;0.263761;0.10415
793;678;-2.69567;-306.78;306.792;-0.01376;0.258565;0.0919972
816;678;-2.79176;-306.803;306.816;-0.00351347;0.261247;0.0925311
839;678;-2.85785;-306.62;306.634;-0.00582224;0.245254;0.0786506
862;678;-3.06062;-306.956;306.971;-0.00751957;0.276993;0.0772748
885;678;-3.20511;-306.557;306.574;-0.00420983;0.24877;0.0707937
908;678;-3.25575;-306.643;306.66;-0.00334561;0.238548;0.055021
931;678;-3.36052;-306.896;306.914;-0.00613499;0.251401;0.0514679
954;678;-3.54002;-306.973;306.993;-0.00824226;0.246461;0.0455764
977;678;-3.74145;-307.037;307.06;-0.0103703;0.256609;0.0390006
1000;678;-4.01956;-306.999;307.025;-0.00743267;0.263184;0.0356421
1023;678;-4.08503;-307.226;307.253;-0.00278413;0.279745;0.0336398
1046;678;-4.14787;-307.072;307.1;-0.00389722;0.273295;0.0238816
1069;678;-4.26466;-307.209;307.238;-0.00680949;0.26415;0.0197249
1092;678;-4.46219;-307.093;307.126;-0.00388557;0.258396;0.0184091
1115;678;-4.44399;-307.058;307.09;-0.00463143;0.252964;0.00936112
1138;678;-4.67602;-306.931;306.966;-0.00547965;0.240199;0.000483098
1161;678;-4.69723;-307.267;307.303;-0.00131703;0.26458;-0.0139619
1184;678;-4.74065;-307.537;307.574;-0.00474104;0.272213;-0.0137626
1207;678;-4.91632;-307.479;307.518;-0.00506576;0.263778;-0.0179446
1230;678;-4.97429;-307.587;307.627;-0.00594429;0.267329;-0.0212755
1253;678;-5.19077;-307.612;307.655;-0.00428343;0.272202;-0.0263218
1276;678;-5.17189;-307.477;307.521;-0.004839;0.256624;-0.0366363
1299;678;-5.41394;-307.664;307.712;-0.00731191;0.27253;-0.0462402
1322;678;-5.51049;-307.782;307.831;-0.00385934;0.275596;-0.0469363
1345;678;-5.59185;-307.6;307.651;-0.00603694;0.284656;-0.0513997
1368;678;-5.78975;-307.526;307.58;-0.00973491;0.269366;-0.0618659
1391;678;-6.04193;-307.677;307.736;-0.0103241;0.276748;-0.0655155
1414;678;-6.26723;-307.62;307.684;-0.00723358;0.279902;-0.0707243
1437;678;-6.3762;-307.505;307.572;-0.00689844;0.274289;-0.0880124
1460;678;-6.58593;-307.778;307.848;-0.0131637;0.302823;-0.0969038
1483;678;-6.98583;-307.577;307.656;-0.0155278;0.31836;-0.103948
1506;678;-7.30597;-307.67;307.756;-0.0150261;0.337431;-0.114639
1529;678;-7.68254;-307.431;307.527;-0.0261808;0.37112;-0.121615
1552;678;-8.53191;-306.973;307.091;-0.044322;0.408028;-0.122587
1575;678;-9.79136;-306.019;306.175;-0.0776081;0.450492;-0.11141
1598;678;-12.3651;-303.887;304.138;-0.117449;0.502216;0.0361258
1621;678;-17.633;-293.256;293.785;-0.0959845;0.460126;0.17362
655;701;11.643;-294.688;294.918;-0.118851;0.46401;0.043156
678;701;8.39483;-298.31;298.428;-0.112635;0.470557;0.0759547
701;701;5.78342;-299.987;300.043;-0.0785721;0.420194;0.10947
724;701;4.55224;-300.807;300.842;-0.0445412;0.367059;0.120246
747;701;3.67639;-300.94;300.963;-0.0381477;0.354057;0.11405
770;701;2.75974;-301.314;301.326;-0.0377188;0.316904;0.0934372
793;701;1.89845;-301.825;301.831;-0.0294584;0.312547;0.0938353
816;701;1.38212;-301.732;301.736;-0.022018;0.30578;0.0909805
839;701;0.874205;-301.79;301.791;-0.0193723;0.287987;0.0838255
862;701;0.481612;-301.504;301.505;-0.0214989;0.295743;0.0769055
885;701;-0.126098;-301.58;301.58;-0.021313;0.2934;0.0639245
908;701;-0.510603;-301.825;301.825;-0.014007;0.281975;0.057361
931;701;-0.775627;-301.819;301.82;-0.017848;0.289569;0.0504801
954;701;-1.33927;-301.956;301.959;-0.0244086;0.290317;0.0481847
977;701;-1.91247;-301.803;301.809;-0.0195837;0.28972;0.0457859
1000;701;-2.25024;-301.638;301.646;-0.0124025;0.287021;0.0409559
1023;701;-2.48729;-301.548;301.559;-0.0173559;0.301834;0.0346008
1046;701;-3.0559;-301.49;301.505;-0.018305;0.288087;0.0222545
1069;701;-3.33782;-301.79;301.809;-0.0140002;0.29493;0.0156568
1092;701;-3.70539;-301.777;301.8;-0.0166821;0.28988;0.0142311
1115;701;-4.11172;-301.835;301.863;-0.0176683;0.285627;0.00462114
1138;701;-4.52576;-301.947;301.98;-0.0183705;0.278802;0.00168968
1161;701;-4.96467;-301.827;301.867;-0.0155065;0.292598;-0.00343103
1184;701;-5.24468;-301.959;302.004;-0.0161723;0.296684;-0.013271
1207;701;-5.71533;-302.063;302.117;-0.0136234;0.292142;-0.0174027
1230;701;-5.87593;-302.108;302.165;-0.0163782;0.295591;-0.0215975
1253;701;-6.475;-302.057;302.127;-0.0205841;0.296643;-0.029765
1276;701;-6.83293;-302.233;302.31;-0.0191936;0.292733;-0.0362806
1299;701;-7.36663;-302.142;302.232;-0.019054;0.303193;-0.0407681
1322;701;-7.71793;-302.221;302.32;-0.0164707;0.30485;-0.0433451
1345;701;-8.13127;-301.9;302.009;-0.0193296;0.303372;-0.0515012
1368;701;-8.61593;-302.136;302.259;-0.0192901;0.30488;-0.064468
