Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0199"
"0.0450","0.0009","0.0463"
"0.0540","0.0020","0.0734"
"0.0920","0.0069","0.0985"
"0.1000","0.0082","0.1282"
"0.1050","0.0093","0.1561"
"0.1090","0.0105","0.1827"
"0.1130","0.0120","0.2118"
"0.1170","0.0137","0.2425"
"0.1210","0.0156","0.2737"
"0.1250","0.0178","0.3035"
"0.1290","0.0201","0.3308"
"0.1340","0.0232","0.3595"
"0.1400","0.0269","0.3849"
"0.1540","0.0353","0.4102"
"0.2070","0.0597","0.4356"
"0.2250","0.0669","0.4618"
"0.2400","0.0731","0.4873"
"0.2830","0.0905","0.5129"
"0.3020","0.0979","0.5394"
"0.3150","0.1033","0.5661"
"0.3310","0.1102","0.5911"
"0.3630","0.1233","0.6163"
"0.3870","0.1332","0.6414"
"0.4270","0.1486","0.6673"
"0.4450","0.1557","0.6926"
"0.4640","0.1637","0.7182"
"0.4970","0.1770","0.7438"
"0.5180","0.1856","0.7699"
"0.5550","0.2005","0.7952"
"0.5820","0.2108","0.8216"
"0.6020","0.2191","0.8466"
"0.6290","0.2303","0.8721"
"0.6530","0.2401","0.8976"
"0.7020","0.2592","0.9239"
"0.7180","0.2656","0.9496"
"0.7610","0.2828","0.9749"
"0.7810","0.2908","1.0006"
"0.8290","0.3099","1.0259"
"0.8510","0.3182","1.0522"
"0.8710","0.3265","1.0780"
"0.9110","0.3426","1.1038"
"0.9320","0.3511","1.1295"
"0.9820","0.3707","1.1550"
"1.0010","0.3782","1.1812"
"1.0350","0.3922","1.2069"
"1.0600","0.4025","1.2323"
"1.1120","0.4228","1.2576"
"1.1280","0.4292","1.2839"
"1.1740","0.4478","1.3095"
"1.1950","0.4564","1.3351"
"1.2440","0.4758","1.3608"
"1.2690","0.4855","1.3864"
"1.3020","0.4992","1.4118"
"1.3250","0.5085","1.4376"
"1.3780","0.5295","1.4626"
"1.4010","0.5386","1.4878"
"1.4390","0.5540","1.5137"
"1.4590","0.5621","1.5389"
"1.5200","0.5860","1.5646"
"1.5400","0.5941","1.5903"
"1.5800","0.6102","1.6157"
"1.6010","0.6186","1.6409"
"1.6610","0.6421","1.6669"
"1.6820","0.6504","1.6926"
"1.7130","0.6632","1.7179"
"1.7530","0.6796","1.7430"
"1.7930","0.6951","1.7681"
"1.8120","0.7029","1.7935"
"1.8600","0.7225","1.8191"
"1.9110","0.7427","1.8442"
"1.9350","0.7516","1.8694"
"1.9570","0.7608","1.8949"
"2.0040","0.7800","1.9204"
"2.0460","0.7969","1.9454"
"2.0810","0.8104","1.9710"
"2.1140","0.8239","1.9963"
"2.1410","0.8349","2.0216"
"2.1960","0.8567","2.0468"
"2.2200","0.8664","2.0720"
"2.2650","0.8842","2.0972"
"2.2870","0.8932","2.1228"
"2.3470","0.9167","2.1482"
"2.3690","0.9257","2.1737"
"2.4160","0.9443","2.1992"
"2.4530","0.9595","2.2245"
"2.4900","0.9739","2.2502"
"2.5290","0.9897","2.2756"
"2.5570","1.0013","2.3010"
"2.6130","1.0234","2.3266"
"2.6420","1.0351","2.3520"
"2.6820","1.0508","2.3773"
"2.7030","1.0597","2.4023"
"2.7620","1.0827","2.4284"
"2.7930","1.0956","2.4535"
"2.8280","1.1096","2.4792"
"2.8860","1.1324","2.5052"
"2.9080","1.1413","2.5304"
"2.9500","1.1583","2.5560"
"3.0100","1.1823","2.5810"
"3.0330","1.1912","2.6073"
"3.0820","1.2110","2.6324"
"3.1070","1.2209","2.6576"
"3.1630","1.2428","2.6833"
"3.1840","1.2512","2.7083"
"3.2290","1.2700","2.7335"
"3.2810","1.2904","2.7589"
"3.3090","1.3016","2.7847"
"3.3500","1.3183","2.8101"
"3.3740","1.3282","2.8357"
"3.4400","1.3537","2.8609"
"3.4620","1.3630","2.8863"
"3.5060","1.3805","2.9123"
"3.5670","1.4050","2.9379"
"3.5910","1.4144","2.9639"
"3.6300","1.4305","2.9894"
"3.6880","1.4537","3.0145"
"3.7130","1.4635","3.0404"
"3.7650","1.4844","3.0656"
"3.7930","1.4958","3.0911"
"3.8460","1.5159","3.1161"
"3.8670","1.5247","3.1418"
"3.9190","1.5459","3.1668"
"3.9740","1.5674","3.1922"
"4.0010","1.5784","3.2177"
"4.0440","1.5959","3.2431"
"4.0970","1.6171","3.2682"
"4.1260","1.6286","3.2936"
"4.1740","1.6480","3.3192"
"4.2030","1.6598","3.3443"
"4.2610","1.6821","3.3698"
"4.2850","1.6922","3.3953"
"4.3330","1.7116","3.4209"
"4.3820","1.7310","3.4463"
"4.4110","1.7428","3.4717"
"4.4630","1.7639","3.4974"
"4.5230","1.7870","3.5233"
"4.5460","1.7965","3.5485"
"4.5970","1.8169","3.5741"
"4.6570","1.8406","3.5998"
"4.6860","1.8522","3.6252"
"4.7230","1.8673","3.6507"
"4.7860","1.8924","3.6760"
"4.8120","1.9027","3.7021"
"4.8450","1.9164","3.7274"
"4.8900","1.9347","3.7525"
"4.9420","1.9547","3.7778"
"4.9770","1.9691","3.8030"
"5.0230","1.9876","3.8281"
"5.0710","2.0064","3.8537"
"5.1000","2.0183","3.8790"
"5.1490","2.0383","3.9049"
"5.2050","2.0602","3.9305"
"5.2570","2.0812","3.9555"
"5.2830","2.0915","3.9814"
"5.3470","2.1165","4.0072"
"5.3720","2.1269","4.0325"
"5.4150","2.1441","4.0582"
"5.4770","2.1687","4.0833"
"5.5030","2.1791","4.1089"
"5.5440","2.1958","4.1342"
"5.6100","2.2221","4.1597"
"5.6330","2.2313","4.1850"
"5.6840","2.2519","4.2107"
"5.7430","2.2754","4.2359"
"5.7710","2.2863","4.2612"
"5.8180","2.3056","4.2867"
"5.8740","2.3279","4.3117"
"5.9060","2.3405","4.3370"
"5.9480","2.3575","4.3629"
"6.0160","2.3845","4.3880"
"6.0410","2.3944","4.4133"
"6.0850","2.4122","4.4384"
"6.1500","2.4379","4.4635"
"6.1760","2.4480","4.4886"
"6.2130","2.4633","4.5138"
"6.2710","2.4867","4.5390"
"6.3060","2.5003","4.5650"
"6.3570","2.5210","4.5902"
"6.3840","2.5323","4.6154"
"6.4450","2.5558","4.6410"
"6.4970","2.5770","4.6662"
"6.5230","2.5876","4.6920"
"6.5860","2.6123","4.7171"
"6.6170","2.6252","4.7424"
"6.6600","2.6429","4.7675"
"6.7180","2.6655","4.7931"
"6.7680","2.6854","4.8190"
"6.7950","2.6966","4.8442"
